subject_id,outer_fold,pm,target_id,calibration_record_group_id,calibration_budget_seconds,budget_fully_available,calibration_exact_lag_slots,calibration_low,calibration_high,calibration_middle,calibration_extreme,calibration_extreme_sample_hash,evaluation_low,evaluation_high,evaluation_extreme,evaluation_extreme_sample_hash,evaluation_ready,eligible,eligibility_reason,calibration_evaluation_overlap,record_stitching_used,middle_used_for_training
a1721173,1,engagement,target_engagement,a1721173__day1____2023.11.30T14.11.21p03.00,1800,False,27,0,26,1,26,7478042c4b9be314af514faf7ff58b824dec3e1b5a91ccffb15c92e491b6ae2c,33,14,47,4d826942164a95e47093c7ae84f91f2ba9f28e3dec087edef66f7eed90a6c4a0,True,False,operational_fallback,0,False,False
c060c06a,1,engagement,target_engagement,c060c06a__day1____2023.11.29T09.22.25p03.00,1800,True,180,48,87,45,135,1a5a21ba66e173e42cb1496757dd60c5881eea7b541a65647635ef31bd2e3b1d,98,84,182,600fdaf46a0b79041c15c1a3f9972f4b772b1388911edd38c067c77de2ffb5f0,True,True,full1800_min10_each_eval_ready,0,False,False
c112918e,1,engagement,target_engagement,c112918e__day1____2023.12.04T15.14.19p03.00,1800,True,180,55,54,71,109,6b82d6ee33df6b4142d9876e16e0eba58267c139bcc26c650fa8629ce204ab1d,235,197,432,959460e0472e73056b3a4df2f8b435ecaeab0a8eede79db4f3c9ebea328d06f7,True,True,full1800_min10_each_eval_ready,0,False,False
d111e017,1,engagement,target_engagement,d111e017__day1____2023.12.05T11.06.22p03.00,1800,True,180,4,134,42,138,9e1f90a85645643e4e1bbccc56f68f4e7bf16241d9c596c3f589f790c15ad7ec,407,284,691,08f51ad31afd6ccce5c9eed46c35ec15135086aa84866c6c243f5984c0c794db,True,False,operational_fallback,0,False,False
f1d06060,1,engagement,target_engagement,f1d06060__day1____2023.12.11T17.50.49p03.00,1800,True,178,42,64,72,106,98a783a2ea0615ac7b61f487e3e5369a0bd5575a34bbc7e10e1bcdfe2a4ceb88,207,53,260,3df9af7d5b9bb00fb6f2ccfab376d1d42a30a614f1f7291c48fb081ed028ecae,True,True,full1800_min10_each_eval_ready,0,False,False
30c140ca,1,excitement,target_excitement,30c140ca__day1____2023.12.18T09.42.40p03.00,1800,True,180,53,53,74,106,789003aa59d83d874cc9b60c831a2af4ed186f97c7ee88bc642372d689087e2d,113,47,160,156805c476a35a05e48cb3733a91ca484da7b5fa15e2db079f90e1f31cc1de4b,True,True,full1800_min10_each_eval_ready,0,False,False
3110e0c7,1,excitement,target_excitement,3110e0c7__day1____2024.01.29T09.42.53p01.00,1800,True,147,31,46,70,77,258612e94fb81e8a801cb9f13a7a84ef82994cf076a114ac2dc9303758e4755b,62,171,233,4c54fc7d6ffdc9446ea942e3f690fc0de0d64fb490066333b73cf3d51681840a,True,True,full1800_min10_each_eval_ready,0,False,False
40f0714a,1,excitement,target_excitement,40f0714a__day2____2023.12.15T11.55.06p03.00,1800,False,154,118,8,28,126,ee380395f2f2b3f6c08d76e739695f5efe83e35973b01869432344663563cfae,0,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,False,False,operational_fallback,0,False,False
7150e10a,1,excitement,target_excitement,7150e10a__day1____2023.12.09T09.37.19p03.00,1800,True,180,123,20,37,143,440741abd6228753f8c688ef205ec922b542db17b3b309800ebf7387633de4d0,320,82,402,391d7c318e625e81cf2e72fc210e438d1ba423387f7eb3f417a5aaf4445edd3b,True,True,full1800_min10_each_eval_ready,0,False,False
71f0603f,1,excitement,target_excitement,71f0603f__day1____2023.11.28T09.25.58p03.00,1800,True,180,43,52,85,95,ef1703bd9d8165add18f221f6ce9923b0a59563d4ad78a7f64627263068a941e,256,365,621,897a8c81caee2087a0f6590982f571d507fc215958f9a2d44b9d931f6a29f6b0,True,True,full1800_min10_each_eval_ready,0,False,False
