model,estimator,model_params_hash,outer_fold,subject_id,pm,target_id,lag_seconds,feature_count,calibration_budget_seconds,n_outer_train,n_outer_train_subjects,outer_train_sample_hash,threshold_hash,n_calibration_low,n_calibration_high,n_calibration_extreme,calibration_sample_hash,evaluation_low,evaluation_high,n_evaluation_extreme,evaluation_sample_hash,base_outer_train_sample_weight,personal_total_mass,calibration_low_sample_weight,calibration_high_sample_weight,calibration_low_total_mass,calibration_high_total_mass,specification_hash,run_id
xgboost,XGBClassifier,6f5020a62aa64b2ba8e9eeb74b2bb836f9767f0e14b46b7d244a45e2f8dda4ec,1,7150e10a,engagement,target_engagement,-10,371,1800,15934,42,2f364e6dd6dac221493bbb8db98c51438d544371f8f0610cd470727d40b9c04b,7d374ea6928381e1ee56d96473fa6567757f8df43407f81bbd24c398d82e419e,58,29,87,0b18a79282efce6ab8e2d53c58c3f951b42b07a4a0452ed0ac06bb11c3578238,311,135,446,16aa6107d40974882689466629f9195169c84121a5d31d071e4e97551edcae97,1.0,379.3809523809524,3.2705254515599345,6.541050903119869,189.6904761904762,189.6904761904762,8e62caeef2543856c606ef98fca8df8b94322ee280b9874205e9fb34da3dd512,xgboost__fold_01__engagement__7150e10a__weighted_aug__8e62caeef254
xgboost,XGBClassifier,6f5020a62aa64b2ba8e9eeb74b2bb836f9767f0e14b46b7d244a45e2f8dda4ec,1,71f0603f,engagement,target_engagement,-10,371,1800,15934,42,2f364e6dd6dac221493bbb8db98c51438d544371f8f0610cd470727d40b9c04b,7d374ea6928381e1ee56d96473fa6567757f8df43407f81bbd24c398d82e419e,39,94,133,cd7a93dc972b50831dffe789a6eb73f15b87a33be4167ca4fd0ed6293f556e60,328,296,624,b9e416d0ae782905233d16d9fb5ef741890087f7eab54551646b30d85e5ede93,1.0,379.3809523809524,4.863858363858364,2.017983789260385,189.6904761904762,189.6904761904762,d7b7ea7580ce807ffcfac8c4018c1f0b97220cbc8097bddcaa9daeb823fcbac6,xgboost__fold_01__engagement__71f0603f__weighted_aug__d7b7ea7580ce
xgboost,XGBClassifier,6f5020a62aa64b2ba8e9eeb74b2bb836f9767f0e14b46b7d244a45e2f8dda4ec,1,81f1f0fe,engagement,target_engagement,-10,371,1800,15934,42,2f364e6dd6dac221493bbb8db98c51438d544371f8f0610cd470727d40b9c04b,7d374ea6928381e1ee56d96473fa6567757f8df43407f81bbd24c398d82e419e,58,63,121,5338b58154bc6879c421d6a441433664457e8c8d4949c7e5228fbcdb805acb68,33,289,322,65315387c9e25fe45f52e8ba48ab49af392d37dc4139620d8f92b974230a199b,1.0,379.3809523809524,3.2705254515599345,3.0109599395313684,189.6904761904762,189.6904761904762,cf3e0b3cef6ff94444aa1fc2db2668bc1fb8e148633f8863c10564d8406b95ca,xgboost__fold_01__engagement__81f1f0fe__weighted_aug__cf3e0b3cef6f
xgboost,XGBClassifier,6f5020a62aa64b2ba8e9eeb74b2bb836f9767f0e14b46b7d244a45e2f8dda4ec,1,c060c06a,engagement,target_engagement,-10,371,1800,15934,42,2f364e6dd6dac221493bbb8db98c51438d544371f8f0610cd470727d40b9c04b,7d374ea6928381e1ee56d96473fa6567757f8df43407f81bbd24c398d82e419e,48,87,135,1a5a21ba66e173e42cb1496757dd60c5881eea7b541a65647635ef31bd2e3b1d,98,84,182,600fdaf46a0b79041c15c1a3f9972f4b772b1388911edd38c067c77de2ffb5f0,1.0,379.3809523809524,3.951884920634921,2.1803503010399563,189.6904761904762,189.6904761904762,ff8e6649731c9636244cadcd3d2dc30cb80826da0267c54bec6e36d142469ac0,xgboost__fold_01__engagement__c060c06a__weighted_aug__ff8e6649731c
xgboost,XGBClassifier,6f5020a62aa64b2ba8e9eeb74b2bb836f9767f0e14b46b7d244a45e2f8dda4ec,1,c112918e,engagement,target_engagement,-10,371,1800,15934,42,2f364e6dd6dac221493bbb8db98c51438d544371f8f0610cd470727d40b9c04b,7d374ea6928381e1ee56d96473fa6567757f8df43407f81bbd24c398d82e419e,55,54,109,6b82d6ee33df6b4142d9876e16e0eba58267c139bcc26c650fa8629ce204ab1d,235,197,432,959460e0472e73056b3a4df2f8b435ecaeab0a8eede79db4f3c9ebea328d06f7,1.0,379.3809523809524,3.4489177489177494,3.5127865961199296,189.6904761904762,189.6904761904762,9b1559281b1e958af3a1408f587e39330b1cb2207f3bc16f4bd49325031d511c,xgboost__fold_01__engagement__c112918e__weighted_aug__9b1559281b1e
xgboost,XGBClassifier,6f5020a62aa64b2ba8e9eeb74b2bb836f9767f0e14b46b7d244a45e2f8dda4ec,1,f1d06060,engagement,target_engagement,-10,371,1800,15934,42,2f364e6dd6dac221493bbb8db98c51438d544371f8f0610cd470727d40b9c04b,7d374ea6928381e1ee56d96473fa6567757f8df43407f81bbd24c398d82e419e,42,64,106,98a783a2ea0615ac7b61f487e3e5369a0bd5575a34bbc7e10e1bcdfe2a4ceb88,207,53,260,3df9af7d5b9bb00fb6f2ccfab376d1d42a30a614f1f7291c48fb081ed028ecae,1.0,379.3809523809524,4.516439909297053,2.9639136904761907,189.69047619047623,189.6904761904762,57155806ae5599fb1ae669a563aa7c1359fc813decfc7db471c80dc7ba8edae2,xgboost__fold_01__engagement__f1d06060__weighted_aug__57155806ae55
xgboost,XGBClassifier,6f5020a62aa64b2ba8e9eeb74b2bb836f9767f0e14b46b7d244a45e2f8dda4ec,1,30c140ca,excitement,target_excitement,-10,371,1800,15941,43,46755c1e20e5799d3c8e3c0be4a2f4a3f18856086f1b6fe611eda5fc71a849dd,f13db677a8358b59d7e0528258ba7ff9bf95b5314741ce39a724cf74d183ddaa,53,53,106,789003aa59d83d874cc9b60c831a2af4ed186f97c7ee88bc642372d689087e2d,113,47,160,156805c476a35a05e48cb3733a91ca484da7b5fa15e2db079f90e1f31cc1de4b,1.0,370.72093023255815,3.497367266344888,3.497367266344888,185.36046511627907,185.36046511627907,1134dd8d66f7b91b57bda4b2286485753ed166b04be3ed64d7ac262bec8dece0,xgboost__fold_01__excitement__30c140ca__weighted_aug__1134dd8d66f7
xgboost,XGBClassifier,6f5020a62aa64b2ba8e9eeb74b2bb836f9767f0e14b46b7d244a45e2f8dda4ec,1,3110e0c7,excitement,target_excitement,-10,371,1800,15941,43,46755c1e20e5799d3c8e3c0be4a2f4a3f18856086f1b6fe611eda5fc71a849dd,f13db677a8358b59d7e0528258ba7ff9bf95b5314741ce39a724cf74d183ddaa,31,46,77,258612e94fb81e8a801cb9f13a7a84ef82994cf076a114ac2dc9303758e4755b,62,171,233,4c54fc7d6ffdc9446ea942e3f690fc0de0d64fb490066333b73cf3d51681840a,1.0,370.72093023255815,5.979369842460615,4.029575328614762,185.36046511627907,185.36046511627907,d8ad80999d4d625a8ffca9f82faba77203d58472b635b98d3f9b323cfcf81514,xgboost__fold_01__excitement__3110e0c7__weighted_aug__d8ad80999d4d
xgboost,XGBClassifier,6f5020a62aa64b2ba8e9eeb74b2bb836f9767f0e14b46b7d244a45e2f8dda4ec,1,7150e10a,excitement,target_excitement,-10,371,1800,15941,43,46755c1e20e5799d3c8e3c0be4a2f4a3f18856086f1b6fe611eda5fc71a849dd,f13db677a8358b59d7e0528258ba7ff9bf95b5314741ce39a724cf74d183ddaa,123,20,143,440741abd6228753f8c688ef205ec922b542db17b3b309800ebf7387633de4d0,320,82,402,391d7c318e625e81cf2e72fc210e438d1ba423387f7eb3f417a5aaf4445edd3b,1.0,370.72093023255815,1.5069956513518623,9.268023255813954,185.36046511627907,185.3604651162791,3b3247582f835cacdc8f2cbac37e6e99d38b17e62692c4f43ae6d9228a1bb116,xgboost__fold_01__excitement__7150e10a__weighted_aug__3b3247582f83
xgboost,XGBClassifier,6f5020a62aa64b2ba8e9eeb74b2bb836f9767f0e14b46b7d244a45e2f8dda4ec,1,71f0603f,excitement,target_excitement,-10,371,1800,15941,43,46755c1e20e5799d3c8e3c0be4a2f4a3f18856086f1b6fe611eda5fc71a849dd,f13db677a8358b59d7e0528258ba7ff9bf95b5314741ce39a724cf74d183ddaa,43,52,95,ef1703bd9d8165add18f221f6ce9923b0a59563d4ad78a7f64627263068a941e,256,365,621,897a8c81caee2087a0f6590982f571d507fc215958f9a2d44b9d931f6a29f6b0,1.0,370.72093023255815,4.310708491076258,3.564624329159213,185.3604651162791,185.36046511627907,3923f2ae3e307034df4796a02699f3f2217b37b04969f270e4895d4bf4223baa,xgboost__fold_01__excitement__71f0603f__weighted_aug__3923f2ae3e30
xgboost,XGBClassifier,6f5020a62aa64b2ba8e9eeb74b2bb836f9767f0e14b46b7d244a45e2f8dda4ec,1,81f1f0fe,excitement,target_excitement,-10,371,1800,15941,43,46755c1e20e5799d3c8e3c0be4a2f4a3f18856086f1b6fe611eda5fc71a849dd,f13db677a8358b59d7e0528258ba7ff9bf95b5314741ce39a724cf74d183ddaa,28,44,72,42ebbe399c694733657c6a517241392bfd282968cb9ead8b071bafc8519adedc,121,188,309,29ec33230e5f5d7dc02e7944cc4a18e2ac1f68f1d70267757247387b4d29d51c,1.0,370.72093023255815,6.620016611295681,4.212737843551797,185.36046511627907,185.36046511627907,307252d69fa5eb9c96879c9b67cc03dc97d156e3c4e7c76f4f2ec3a4d88fe045,xgboost__fold_01__excitement__81f1f0fe__weighted_aug__307252d69fa5
xgboost,XGBClassifier,6f5020a62aa64b2ba8e9eeb74b2bb836f9767f0e14b46b7d244a45e2f8dda4ec,1,c060c06a,excitement,target_excitement,-10,371,1800,15941,43,46755c1e20e5799d3c8e3c0be4a2f4a3f18856086f1b6fe611eda5fc71a849dd,f13db677a8358b59d7e0528258ba7ff9bf95b5314741ce39a724cf74d183ddaa,107,10,117,1f0549ad95f5c1c870329954662460432774d278055acb5bab80930f76f8f60c,126,34,160,e54ffb71f604e97bcafd2838613c608f11e60d7f72360e5b3de6354e8a0846cc,1.0,370.72093023255815,1.7323407954792436,18.53604651162791,185.36046511627907,185.3604651162791,34e671fe7c8b3e7e510577574a7ff429d206f4088329910cccc8774d860b4259,xgboost__fold_01__excitement__c060c06a__weighted_aug__34e671fe7c8b
xgboost,XGBClassifier,6f5020a62aa64b2ba8e9eeb74b2bb836f9767f0e14b46b7d244a45e2f8dda4ec,1,c112918e,excitement,target_excitement,-10,371,1800,15941,43,46755c1e20e5799d3c8e3c0be4a2f4a3f18856086f1b6fe611eda5fc71a849dd,f13db677a8358b59d7e0528258ba7ff9bf95b5314741ce39a724cf74d183ddaa,34,79,113,f3565ce7256ad0c0ba28645e8bda5d73f7b300a087cbbe979e45c7805f2a164d,335,118,453,693e4056b5822d6afcffde91dc97469eea4081dfcf6bc773f6af498b88953a59,1.0,370.72093023255815,5.451778385772914,2.346335001471887,185.36046511627907,185.36046511627907,93b0f96b3936b012bc0cd1171ea68f9786bc7d9bfecf109e7e4ceb927aa4822b,xgboost__fold_01__excitement__c112918e__weighted_aug__93b0f96b3936
