estimand,model,participants,participant_pm_rows,delta_roc_auc_mean,delta_roc_auc_median,delta_pr_auc_mean,delta_pr_auc_median,brier_improvement_mean,brier_improvement_median,log_loss_improvement_mean,log_loss_improvement_median,delta_balanced_accuracy_vs_frozen_median_mean,delta_balanced_accuracy_vs_frozen_median_median,delta_macro_f1_vs_frozen_median_mean,delta_macro_f1_vs_frozen_median_median
operational_all_eval_ready_with_fallback,xgboost,50,345,0.016215898634259273,0.010887764428814426,0.014789639912067698,0.010286829778782163,0.029264909069269075,0.02756177013921792,0.13707936226396708,0.10747716724154874,0.009452301440310718,0.010840589932328575,0.008606108154946026,0.006613834471541125
operational_all_eval_ready_with_fallback,lightgbm,50,345,0.014680213243382714,0.013103277626460026,0.015280961332972487,0.009575876144290472,0.026668232435945995,0.019488616325860124,0.08554219554734745,0.05256827745462453,0.009071053076067693,0.006049839556561206,0.006240189509272589,0.005062900044882369
adaptation_applied_only,xgboost,48,285,0.01914514712457177,0.013831118897207118,0.017619606911359567,0.013214048107184994,0.0350603800246742,0.030296345376741744,0.1698423091591211,0.1205608530547904,0.010993318182096123,0.012513003387110734,0.009830644578351254,0.010024503232350965
adaptation_applied_only,lightgbm,48,285,0.0172477863230748,0.016278121103764354,0.018225098367413543,0.011898210979400876,0.032314948623094746,0.025090273589342283,0.10517618062884426,0.06618088555418435,0.010424557536159782,0.008391112099661348,0.006880979499747337,0.008213249891442988
