target_id,display_name,target_type,processed_columns,output_names,output_dim,missing_value_policy,cohort_policy,transform_policy,fit_scope,recommended_metrics,allowed_feature_inputs,raw_input_supported,execution_status,registry_status
pm_attention_regression,PM Attention regression,continuous_regression,"[""target_attention""]","[""attention""]",1,drop_rows_with_missing_target,target_complete_cases_inside_fixed_outer_subject_folds,identity,none,"[""mae"", ""rmse"", ""r2"", ""spearman""]","[""eeg"", ""pow"", ""eeg_pow""]",True,executable,canonical
pm_engagement_regression,PM Engagement regression,continuous_regression,"[""target_engagement""]","[""engagement""]",1,drop_rows_with_missing_target,target_complete_cases_inside_fixed_outer_subject_folds,identity,none,"[""mae"", ""rmse"", ""r2"", ""spearman""]","[""eeg"", ""pow"", ""eeg_pow""]",True,executable,canonical
pm_excitement_regression,PM Excitement regression,continuous_regression,"[""target_excitement""]","[""excitement""]",1,drop_rows_with_missing_target,target_complete_cases_inside_fixed_outer_subject_folds,identity,none,"[""mae"", ""rmse"", ""r2"", ""spearman""]","[""eeg"", ""pow"", ""eeg_pow""]",True,executable,canonical
pm_stress_regression,PM Stress regression,continuous_regression,"[""target_stress""]","[""stress""]",1,drop_rows_with_missing_target,target_complete_cases_inside_fixed_outer_subject_folds,identity,none,"[""mae"", ""rmse"", ""r2"", ""spearman""]","[""eeg"", ""pow"", ""eeg_pow""]",True,executable,canonical
pm_relaxation_regression,PM Relaxation regression,continuous_regression,"[""target_relaxation""]","[""relaxation""]",1,drop_rows_with_missing_target,target_complete_cases_inside_fixed_outer_subject_folds,identity,none,"[""mae"", ""rmse"", ""r2"", ""spearman""]","[""eeg"", ""pow"", ""eeg_pow""]",True,executable,canonical
pm_interest_regression,PM Interest regression,continuous_regression,"[""target_interest""]","[""interest""]",1,drop_rows_with_missing_target,target_complete_cases_inside_fixed_outer_subject_folds,identity,none,"[""mae"", ""rmse"", ""r2"", ""spearman""]","[""eeg"", ""pow"", ""eeg_pow""]",True,executable,canonical
pm_focus_regression,PM Focus regression,continuous_regression,"[""target_focus""]","[""focus""]",1,drop_rows_with_missing_target,target_complete_cases_inside_fixed_outer_subject_folds,identity,none,"[""mae"", ""rmse"", ""r2"", ""spearman""]","[""eeg"", ""pow"", ""eeg_pow""]",True,executable,canonical
pm_multioutput_regression_7,Seven-output PM regression,multioutput_regression,"[""target_attention"", ""target_engagement"", ""target_excitement"", ""target_stress"", ""target_relaxation"", ""target_interest"", ""target_focus""]","[""attention"", ""engagement"", ""excitement"", ""stress"", ""relaxation"", ""interest"", ""focus""]",7,drop_rows_unless_all_seven_targets_present,complete_cases_inside_fixed_outer_subject_folds,identity,none,"[""mae"", ""rmse"", ""r2"", ""spearman""]","[""eeg"", ""pow"", ""eeg_pow""]",True,executable,canonical
label_focus_q5_legacy,Legacy global focus quintile label,legacy_classification,"[""label_q5""]","[""focus_q5""]",1,drop_rows_with_missing_target,target_complete_cases_inside_fixed_outer_subject_folds,precomputed_global_quantile_label_no_refit,legacy_global_pre_split,"[""accuracy"", ""balanced_accuracy"", ""macro_f1"", ""weighted_f1"", ""kappa"", ""auc"", ""ordinal_mae"", ""adjacent_accuracy"", ""severe_error_rate""]","[""eeg"", ""pow"", ""eeg_pow""]",True,executable,legacy_global_benchmark_label
