trial_id,seed,bandpass,notch,car,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,kappa_mean,kappa_std,auc_mean,auc_std,epochs_mean,epochs_std,best_validation_loss_mean,training_time_seconds,delta_accuracy,delta_balanced_accuracy,delta_macro_f1,delta_weighted_f1,delta_kappa,delta_auc
A,42,0,0,0,0.279308137772,0.0163722900703,0.282386246306,0.0169853029621,0.259938508851,0.0150336374861,0.259900420612,0.0140723019925,0.100963103013,0.0189494978743,0.603076699886,0.0171537050117,10.6,3.26190128606,1.54126955573,713.508066416,0,0,0,0,0,0
B,42,1,0,0,0.284699243308,0.0156684194251,0.287331469669,0.0156125498788,0.265272021817,0.0271037875615,0.265027048168,0.0304603432672,0.107430513698,0.0192875941072,0.614509318797,0.0192660717096,11.8,3.1874754901,1.52879545897,786.82304883,0.00539110553609,0.0049452233628,0.00533351296573,0.00512662755628,0.00646741068417,0.011432618911
C,42,0,1,0,0.280717461536,0.0177159371572,0.283280441272,0.0170341230936,0.26109779234,0.0249700308666,0.261556199372,0.0252038534125,0.103146145958,0.0201718962505,0.603893245341,0.0236726833098,11,3.40587727319,1.54995647267,737.704440594,0.0014093237633,0.000894194966551,0.00115928348861,0.00165577875982,0.00218304294441,0.000816545455526
D,42,0,0,1,0.259574506254,0.00808632949043,0.26195247731,0.0114757814811,0.239614587139,0.0131899027396,0.23975536913,0.0138056894471,0.0758877950381,0.0108236164233,0.582325508235,0.012951455453,10,3.22490309932,1.56788224125,694.151926517,-0.0197336315181,-0.0204337689958,-0.0203239217117,-0.0201450514818,-0.0250753079754,-0.0207511916512
E,42,1,1,0,0.284856465763,0.0144657980638,0.288880778526,0.0147718110592,0.265855438932,0.0249921951263,0.265444492789,0.0284833415654,0.108676115377,0.0174396812605,0.615127861772,0.0188699474643,11.8,3.1874754901,1.52863298337,803.282011271,0.00554832799109,0.00649453222057,0.00591693008138,0.00554407217675,0.00771301236312,0.0120511618865
F,42,1,0,1,0.248921012748,0.0204019321704,0.251427343902,0.0243259394986,0.23154919278,0.0157934870338,0.231381988974,0.014582539932,0.0628262877364,0.0270200942345,0.565878542138,0.0217161878119,10.4,2.49799919936,1.55271747703,736.910542011,-0.0303871250238,-0.0309589024038,-0.0283893160712,-0.0285184316384,-0.0381368152771,-0.0371981577484
G,42,0,1,1,0.260172039805,0.00325493903457,0.263361114946,0.00724375708524,0.243340294581,0.00981225401087,0.243792370728,0.0079792891141,0.0780480177961,0.00581757141565,0.584387498987,0.01186777182,11,3.40587727319,1.5629453966,794.684431791,-0.019136097967,-0.0190251313598,-0.0165982142703,-0.0161080498838,-0.0229150852173,-0.018689200899
H,42,1,1,1,0.248439653136,0.020797339958,0.250970835214,0.0245810253989,0.231502320458,0.0163576528286,0.231281437583,0.0153192644133,0.0622146276183,0.0275118636088,0.565987162319,0.0217666182839,10.4,2.49799919936,1.5518524229,731.024377108,-0.030868484636,-0.0314154110916,-0.0284361883927,-0.0286189830289,-0.0387484753952,-0.0370895375673
