subject_id,pm,outer_fold,full_subject_pm_timeline_hash,post_1800s_evaluation_extreme_sample_hash,post_1800s_evaluation_extreme,post_1800s_evaluation_ready_min20_both_classes
01c2a0d8,excitement,4,5adda108ab2ef7a13b4b81f7b2004a26d99ce7a1ca61645e1ae573aef3b97fb1,6cd7a72869784ddf8c9cb708a5c18dfdefd93e6e600bd2b4d77b35e8be6efbb9,243,True
01c2a0d8,stress,4,5adda108ab2ef7a13b4b81f7b2004a26d99ce7a1ca61645e1ae573aef3b97fb1,3b315db7bfe716727c597c423616e3406e7b2d655c9e991137fd0627217e8815,222,True
01c2a0d8,relaxation,4,5adda108ab2ef7a13b4b81f7b2004a26d99ce7a1ca61645e1ae573aef3b97fb1,70dadf5d9f37fcd4dd72d08607ce55999b72138c489affe9cf24a5c0f4a21d87,260,True
01c2a0d8,interest,4,5adda108ab2ef7a13b4b81f7b2004a26d99ce7a1ca61645e1ae573aef3b97fb1,70493fabd30850fd3d09833f21b4923fdf46323f998247676b31d6fc9ee6c857,269,True
01c2a0d8,focus,4,5adda108ab2ef7a13b4b81f7b2004a26d99ce7a1ca61645e1ae573aef3b97fb1,564b0da1774b311d8a81b434de6ecf15f3088682dcb99f92d6812e5c90f5073e,216,True
1081b177,attention,2,1bf91adf5e9c65d98ca4edc71b6f051409b93279ea000ae2322d24c69cbb6e05,227b4d6f57fd47553846d9a3a6e5364e14a45acf91da8350eea968667ce17014,267,True
1081b177,engagement,2,1bf91adf5e9c65d98ca4edc71b6f051409b93279ea000ae2322d24c69cbb6e05,640b314903571314524906e7c771a2579d3b14df967959cdb6ee38e6371794e7,261,True
1081b177,excitement,2,1bf91adf5e9c65d98ca4edc71b6f051409b93279ea000ae2322d24c69cbb6e05,ec62b2e04fac79fcb79fc9adae1cbcb83f594284fccebf53f5534341c754bec8,306,True
1081b177,stress,2,1bf91adf5e9c65d98ca4edc71b6f051409b93279ea000ae2322d24c69cbb6e05,6293eef1d07861679cf1cb0c1772c2ce42c9fd23d4afd543db35323b34380205,319,True
1081b177,relaxation,2,1bf91adf5e9c65d98ca4edc71b6f051409b93279ea000ae2322d24c69cbb6e05,3b1d0a3245dc7ac8a5fda059d2429c786e88ef1179b27e74e72757ae4f7f2683,271,True
1081b177,interest,2,1bf91adf5e9c65d98ca4edc71b6f051409b93279ea000ae2322d24c69cbb6e05,c6d7d62ba703c3bf617592f9ff76f80a7db5e40b1cfa3b76564f57d3ea0fde7a,317,True
1081b177,focus,2,1bf91adf5e9c65d98ca4edc71b6f051409b93279ea000ae2322d24c69cbb6e05,1a8050db84ac55060018f5c41ffb62078cffa5d9b5c82a289dcfca39ca175f54,331,True
20201194,attention,3,7d5395e583f9c6c5d8cd2a5499286e578a2b8ed40a7819fc55818286235f4bfd,5857e5bd4f65425c5bd12d068684905fd34cdca9f518d4122dab9870ee8de6c8,214,True
20201194,engagement,3,7d5395e583f9c6c5d8cd2a5499286e578a2b8ed40a7819fc55818286235f4bfd,4506280bf6c53edd5ffc525410612ca3bee92631fcdf715d8df5e88e9da8b58c,182,True
20201194,excitement,3,7d5395e583f9c6c5d8cd2a5499286e578a2b8ed40a7819fc55818286235f4bfd,3287199a8d03c926fe440b9ea613ca2770105cc8aa20d2b950ca2f5991cd8b11,232,True
20201194,stress,3,7d5395e583f9c6c5d8cd2a5499286e578a2b8ed40a7819fc55818286235f4bfd,eaa39568c4292804ac17333a3313a2e6071b8e74f9ea9d6557f992392ddeb27a,223,True
20201194,relaxation,3,7d5395e583f9c6c5d8cd2a5499286e578a2b8ed40a7819fc55818286235f4bfd,02c1bd2b8c8b445baf70e7f69c94a9827aaf3b3825501e519e471ada1a9d641c,193,True
20201194,interest,3,7d5395e583f9c6c5d8cd2a5499286e578a2b8ed40a7819fc55818286235f4bfd,7cd83d862e1d1ea90cbcdd3809fddc20e0425829348d2f74d3a150ff0af7e434,183,True
20201194,focus,3,7d5395e583f9c6c5d8cd2a5499286e578a2b8ed40a7819fc55818286235f4bfd,b1050272c185b403bcf5007505d86a1b3e2f1e3d213fc23d80e41c8dec06d1be,231,True
2162c09e,attention,3,bfbb98d00f8ca427b37ff707e123e537b943381b762983f18f2b1fabb6903cbc,56b6995bd55372a81a1ed4292d43e6f45dd430a0df12116b98c122f2d74c7fd6,339,True
2162c09e,engagement,3,bfbb98d00f8ca427b37ff707e123e537b943381b762983f18f2b1fabb6903cbc,e29f1a104077dc43e909b1b75783c9d580322dffb2efffe2aaa895dfcd763b63,255,True
2162c09e,excitement,3,bfbb98d00f8ca427b37ff707e123e537b943381b762983f18f2b1fabb6903cbc,08810eb8678a954e9879d3daa73c5547781dd657ba088d0079c1023f27a95608,269,True
2162c09e,stress,3,bfbb98d00f8ca427b37ff707e123e537b943381b762983f18f2b1fabb6903cbc,b13a6e8216077cfff973249b6b40d6a7d9821abf8cb0843e38d1999fdec8502a,351,True
2162c09e,relaxation,3,bfbb98d00f8ca427b37ff707e123e537b943381b762983f18f2b1fabb6903cbc,4f5582fb4e537a58357567a5bdb9205d5b30cb890ab52652556fc2f1032cb3a7,331,True
2162c09e,interest,3,bfbb98d00f8ca427b37ff707e123e537b943381b762983f18f2b1fabb6903cbc,a3746bc25d9b7f7e9989e919b59208b7e5968962d47756535d6143d444da264b,353,True
2162c09e,focus,3,bfbb98d00f8ca427b37ff707e123e537b943381b762983f18f2b1fabb6903cbc,2e7ebe4d6c913e29721277e84aeb06135979ac5667ae5459d2df89c42e08c81a,295,True
2182c1cd,attention,5,0a281800322181b9daa445acd6a622cef62b065a9e3a69f4fe5f00553c67f3e0,b61b92a7ad08aff171493e66df0cb767cc3c794da75a756e7f200637178ab325,159,True
2182c1cd,engagement,5,0a281800322181b9daa445acd6a622cef62b065a9e3a69f4fe5f00553c67f3e0,8768395083ceedc21bd6c15154336d7cdd2da40cc337b3ed7f185e9e1e2373e6,166,True
2182c1cd,excitement,5,0a281800322181b9daa445acd6a622cef62b065a9e3a69f4fe5f00553c67f3e0,b7feb518535afb27c88cf394665733240e2cf0e3a7271899ce2ccce19e70fd89,184,True
2182c1cd,stress,5,0a281800322181b9daa445acd6a622cef62b065a9e3a69f4fe5f00553c67f3e0,6f008db1a969690387a20a7f606ba4edfdb17b0b1f16816e5def16fe96cb0c76,214,True
2182c1cd,relaxation,5,0a281800322181b9daa445acd6a622cef62b065a9e3a69f4fe5f00553c67f3e0,844eb24eefa3249c04caf3efc66a5134e23cc5c11b28e9f32727d8c3667e2713,180,True
2182c1cd,interest,5,0a281800322181b9daa445acd6a622cef62b065a9e3a69f4fe5f00553c67f3e0,3b85025b9c5b868f98b053ea1813dd97dc66a45468a97e3106842ae9396b407f,163,True
2182c1cd,focus,5,0a281800322181b9daa445acd6a622cef62b065a9e3a69f4fe5f00553c67f3e0,15821744601d5d1651deacef09b9db92b565ce4708bd97130a149f967ea9e18d,168,True
219060fa,attention,5,9a04f91e213befb2e99cd819b6e0e350e19ab24ec600b4a7d2c1425651b44719,9424d93ce8f8119a77ef7179f6a3badbb9796bbf90e9da7df9c4148694dbbcee,202,True
219060fa,engagement,5,9a04f91e213befb2e99cd819b6e0e350e19ab24ec600b4a7d2c1425651b44719,9ad8806d75ce61d4c1a769240d565fb9e1be151e74c4fc6743016fdabcb4a7fb,218,True
219060fa,excitement,5,9a04f91e213befb2e99cd819b6e0e350e19ab24ec600b4a7d2c1425651b44719,47682a48d9fc3e1811e08e035b95882aa329f0ca140b8c7c5b5ee8bc5a603572,222,True
219060fa,stress,5,9a04f91e213befb2e99cd819b6e0e350e19ab24ec600b4a7d2c1425651b44719,e818e358ba87e8024c8db6922d57d528eedeb31c5d1b7063a94d9023d922c497,150,False
219060fa,relaxation,5,9a04f91e213befb2e99cd819b6e0e350e19ab24ec600b4a7d2c1425651b44719,33a913c4fa80e2dc242d8fbd3cc03aed441a73d8fd7e4cb952b79b317923bf60,231,True
219060fa,interest,5,9a04f91e213befb2e99cd819b6e0e350e19ab24ec600b4a7d2c1425651b44719,0ed8caac8aafaa7cc714f97c4093a9097bc82fe626b77b4aa1dadeea78d3ea5a,118,False
219060fa,focus,5,9a04f91e213befb2e99cd819b6e0e350e19ab24ec600b4a7d2c1425651b44719,7466c595a53f1a1e6ce15e6b5b70256b7c4cd18ca3842ba31a071eed7d9553b6,192,True
21a031f6,attention,3,1d4166b8b2a97de774ee90a9ada38dad0a53fef4a8d54e7e8810e393b7ed928a,9c570f8cb8ca04b135c8e351148b4855c5d1642a2c99c8ded808a1c70ca15ba1,467,True
21a031f6,engagement,3,1d4166b8b2a97de774ee90a9ada38dad0a53fef4a8d54e7e8810e393b7ed928a,1198572c664f3cf24f0f81d49c4701b751811c7e518374564ae1b07e312cc9db,432,True
21a031f6,excitement,3,1d4166b8b2a97de774ee90a9ada38dad0a53fef4a8d54e7e8810e393b7ed928a,b5eb3768aff2b244c185f4b7f4f7790249d813ffacee0774b1e0742ecbc049c8,336,True
21a031f6,stress,3,1d4166b8b2a97de774ee90a9ada38dad0a53fef4a8d54e7e8810e393b7ed928a,56814786cf9381a8b0d89103c578b35ff0d03bc88d45b86cc7ccebdc35f987bc,482,True
21a031f6,relaxation,3,1d4166b8b2a97de774ee90a9ada38dad0a53fef4a8d54e7e8810e393b7ed928a,6174892bbca5c8d59b85f673803dbe1622b23cf883ae8da9ae614d96285b1239,404,True
21a031f6,interest,3,1d4166b8b2a97de774ee90a9ada38dad0a53fef4a8d54e7e8810e393b7ed928a,050b2959f55e2374f84b541f829036fd0011ce16e69e3bd98e491e290417f21e,283,True
21a031f6,focus,3,1d4166b8b2a97de774ee90a9ada38dad0a53fef4a8d54e7e8810e393b7ed928a,9086497b446e47f817c97f0e6ef01e0d116572d5fe1dbef4e726b50478572716,292,True
30908049,attention,4,f85c1f200ec137c131c1c85891c084ea7f5fdb95629075344d65be3e59d0ed15,a98f3daa6cfe4a1080c3d8e31249fc53c73e2c84c5dab3e58e906a150b305f0d,277,True
30908049,engagement,4,f85c1f200ec137c131c1c85891c084ea7f5fdb95629075344d65be3e59d0ed15,3e392d28dfa253fd64d771e858c3ac39a499bd3914353036b4116bd2a0d30b10,350,True
30908049,excitement,4,f85c1f200ec137c131c1c85891c084ea7f5fdb95629075344d65be3e59d0ed15,7e747215e2eca91ccba730a64c0e4d26ced5e20adea7282819c0ceacd3554705,404,True
30908049,stress,4,f85c1f200ec137c131c1c85891c084ea7f5fdb95629075344d65be3e59d0ed15,bd791354ca5d7a4deb6ab849f96434e84f8e194838f5ddd2ef31f7587115addc,162,True
30908049,relaxation,4,f85c1f200ec137c131c1c85891c084ea7f5fdb95629075344d65be3e59d0ed15,0df7fbf9ed85d781fa76b42d46a59e14bf704a70a5159bae7604623f6ff16c88,258,True
30908049,interest,4,f85c1f200ec137c131c1c85891c084ea7f5fdb95629075344d65be3e59d0ed15,54f8e3f7b45cf9085bc84744f7cfd6bdebbb83fc55aa2e50a6b9a20ea915e372,179,True
30908049,focus,4,f85c1f200ec137c131c1c85891c084ea7f5fdb95629075344d65be3e59d0ed15,0d659e7ceaab172a3a85867cc9ef1764bc9b4344f9dc3050750d45515c818229,412,True
30c140ca,attention,1,c56b46eaf9b8b455eca093baf790ae5d910abeb0d4eaaa079d9547dee4e450ec,0ed5d7f4e8a953676baa957772b489cb853eb8b7b0ec115ea26058c02c844b9d,170,True
30c140ca,engagement,1,c56b46eaf9b8b455eca093baf790ae5d910abeb0d4eaaa079d9547dee4e450ec,b7f6f77ed997514dd1d604766a8293d61d7cb76feaa867cfae5227702ff56bc9,137,True
30c140ca,excitement,1,c56b46eaf9b8b455eca093baf790ae5d910abeb0d4eaaa079d9547dee4e450ec,156805c476a35a05e48cb3733a91ca484da7b5fa15e2db079f90e1f31cc1de4b,160,True
30c140ca,stress,1,c56b46eaf9b8b455eca093baf790ae5d910abeb0d4eaaa079d9547dee4e450ec,24cace45a46912281bada25aca77a93b6cf4df8608859a3c08091187480571e9,165,True
