model,budget_seconds,participant_pm_rows,class_eligible,adaptation_applied,nonseparated_median_fallback,median_threshold_adapted,q25_threshold_adapted,q75_threshold_adapted,median_abs_shift_adapted,threshold_below_0_5_adapted,threshold_above_0_5_adapted
lightgbm,300,364,208,204,4,0.5422315913498499,0.46861068005843354,0.741075989523135,0.14528312707393828,76,128
lightgbm,600,364,288,283,5,0.5309494028203618,0.4315788746428775,0.7312525289349424,0.14359340430202094,115,168
lightgbm,900,364,312,306,6,0.5193373810183752,0.41024069120649664,0.7046529174467215,0.15608790019938598,129,177
xgboost,300,364,208,199,9,0.5122446538880467,0.46380539577512536,0.7608509734272957,0.1445590218063444,80,119
xgboost,600,364,288,278,10,0.5079316904302686,0.4420916367707832,0.7160596530884504,0.1325988695025444,116,162
xgboost,900,364,312,306,6,0.5063924088608474,0.4258392188930884,0.7175501994788647,0.13850590866059065,133,173
