model,budget_seconds,participants,participant_pm_rows,mean_pm_per_participant,min_pm_per_participant,max_pm_per_participant,zero_shot_balanced_accuracy_mean,personalized_balanced_accuracy_mean,delta_balanced_accuracy_mean,delta_balanced_accuracy_median,zero_shot_macro_f1_mean,personalized_macro_f1_mean,delta_macro_f1_mean,delta_macro_f1_median,zero_shot_low_recall_mean,personalized_low_recall_mean,delta_low_recall_mean,delta_low_recall_median,zero_shot_high_recall_mean,personalized_high_recall_mean,delta_high_recall_mean,delta_high_recall_median,zero_shot_precision_mean,personalized_precision_mean,delta_precision_mean,delta_precision_median,zero_shot_accuracy_mean,personalized_accuracy_mean,delta_accuracy_mean,delta_accuracy_median
lightgbm,300,51,204,4.0,1,7,0.7658910385573606,0.7776774745317323,0.01178643597437171,0.013908804129624364,0.7439129583564831,0.7591779604610862,0.015265002104603208,0.015178776352953005,0.7594177228380233,0.8308708982472817,0.07145317540925823,0.042982784535099544,0.7723643542766977,0.724484050816183,-0.04788030346051481,-0.03311254993312346,0.7992523406918518,0.8002408870822026,0.0009885463903509556,0.0009529770506595167,0.7817960516436797,0.7936468819064697,0.01185083026278983,0.010901573749182214
lightgbm,600,52,283,5.4423076923076925,2,7,0.7599964440410301,0.776300065522918,0.016303621481887933,0.014207939368593686,0.7298613658754461,0.7569734292029143,0.027112063327467958,0.02147960234336474,0.7580529032919967,0.8228509727115024,0.06479806941950592,0.04786341202698434,0.7619399847900638,0.7297491583343338,-0.032190826455730036,-0.015041551075997958,0.7890267250585251,0.792851473458873,0.0038247484003479113,0.0035503395280019113,0.7679595569612986,0.7931442078476146,0.025184650886315864,0.00952888528773874
lightgbm,900,52,306,5.884615384615385,3,7,0.7619909413679455,0.7826593866106398,0.02066844524269414,0.01763452367116784,0.7305001919501668,0.7623986745588,0.031898482608633406,0.023159262878220125,0.760871703847079,0.8197089355450797,0.05883723169800064,0.06310010461556013,0.7631101788888124,0.7456098376761999,-0.01750034121261235,-0.018363900898895225,0.7880397179747575,0.7930047065861024,0.004964988611345266,0.0062188855632281,0.7685034425615294,0.7965320014535975,0.02802855889206818,0.016722604705391397
xgboost,300,51,199,3.9019607843137254,1,7,0.76884766356705,0.7776578007499015,0.008810137182851355,0.011797010217357823,0.7470280273712424,0.7601934787904795,0.0131654514192371,0.015242032226574961,0.764916253850172,0.8102020514050113,0.04528579755483931,0.03210443657149248,0.7727790732839281,0.7451135500947915,-0.02766552318913661,-0.014331629310748217,0.7968310055467862,0.7976164751182275,0.0007854695714413757,0.0017271920343921998,0.7828020403583164,0.7938704690837531,0.01106842872543665,0.01205997392438074
xgboost,600,52,278,5.346153846153846,2,7,0.7583964391238817,0.7759037598665331,0.01750732074265137,0.015873605191182753,0.7278123850035138,0.7573384652060497,0.02952608020253592,0.01683388636621247,0.7561151657210944,0.8049086520645671,0.048793486343472664,0.03502066362394665,0.7606777125266693,0.7468988676684992,-0.01377884485816993,-0.009379367647042005,0.7863472917519587,0.7903169485969153,0.003969656844956273,0.0024131784592430244,0.7648407663910137,0.7924340685408714,0.027593302149857515,0.01428773395166518
xgboost,900,52,306,5.884615384615385,3,7,0.7588436725650352,0.7769639649185225,0.01812029235348754,0.016521757348778476,0.7287721151149984,0.7578918305176258,0.029119715402627495,0.020927998670817072,0.7576976904970836,0.8001084665515216,0.04241077605443804,0.024472728734700584,0.7599896546329868,0.7538194632855238,-0.0061701913474629605,-0.005811023288287807,0.7838440800620554,0.7854899614482371,0.0016458813861817525,0.002475252203345464,0.7672947066399703,0.7926521592055757,0.025357452565605357,0.014657248290913243
