model,budget_seconds,participants,participant_pm_rows,mean_pm_per_participant,min_pm_per_participant,max_pm_per_participant,class_eligible_participant_pm,adaptation_applied_participant_pm,zero_shot_balanced_accuracy_mean,personalized_balanced_accuracy_mean,delta_balanced_accuracy_mean,delta_balanced_accuracy_median,zero_shot_macro_f1_mean,personalized_macro_f1_mean,delta_macro_f1_mean,delta_macro_f1_median,zero_shot_low_recall_mean,personalized_low_recall_mean,delta_low_recall_mean,delta_low_recall_median,zero_shot_high_recall_mean,personalized_high_recall_mean,delta_high_recall_mean,delta_high_recall_median,zero_shot_precision_mean,personalized_precision_mean,delta_precision_mean,delta_precision_median,zero_shot_accuracy_mean,personalized_accuracy_mean,delta_accuracy_mean,delta_accuracy_median
lightgbm,300,53,364,6.867924528301887,5,7,208,204,0.753297042134614,0.7605521703664416,0.007255128231827673,0.005600371488657456,0.7180687803045237,0.7279524109869319,0.0098836306824082,0.00766385876138861,0.7497127318450748,0.7884401891260551,0.038727457280980086,0.017724207123348767,0.7568813524241531,0.7326641516068285,-0.024217200817324747,-0.009013068949977474,0.779105236297556,0.7803519161178761,0.0012466798203201671,0.00013641677575301374,0.759714411570703,0.7668940132654652,0.007179601694762059,0.00418363336425885
lightgbm,600,53,364,6.867924528301887,5,7,288,283,0.753297042134614,0.7658574063185053,0.01256036418389132,0.007773293493769635,0.7180687803045237,0.7391303272422595,0.02106154693773571,0.015526172982416089,0.7497127318450748,0.7986498201955581,0.048937088350483014,0.028745324106458494,0.7568813524241531,0.7330649924414527,-0.023816359982700375,-0.010969197167355647,0.779105236297556,0.7823120137703944,0.0032067774728385,0.0027346640863062615,0.759714411570703,0.7786903906101413,0.0189759790394382,0.008130769409128411
lightgbm,900,53,364,6.867924528301887,5,7,312,306,0.753297042134614,0.7713846242321752,0.018087582097561332,0.013691007585067725,0.7180687803045237,0.7461922632349294,0.02812348293040562,0.01920501884791218,0.7497127318450748,0.800416846984505,0.05070411513943019,0.048487089556977385,0.7568813524241531,0.7423524014798456,-0.014528950944307516,-0.011162365771650196,0.779105236297556,0.7834875291832945,0.004382292885738489,0.004764967535760009,0.759714411570703,0.7842173539820753,0.02450294241137208,0.013615301353572315
xgboost,300,53,364,6.867924528301887,5,7,208,199,0.7506569497654221,0.7568634806823242,0.006206530916902228,0.005898353748891662,0.7159392970338434,0.7249069256998535,0.008967628666010564,0.006580715789594452,0.7474267605476443,0.7731621227615424,0.025735362213898147,0.01685891748003549,0.7538871389831998,0.7405648386031062,-0.013322300380093693,-0.008189502463284695,0.7747498116366743,0.7758261290186563,0.0010763173819819099,0.0009179269654085522,0.7574960201370001,0.7648999457632877,0.007403925626287426,0.0051685602533060315
xgboost,600,53,364,6.867924528301887,5,7,288,278,0.7506569497654221,0.763393935358856,0.012736985593433933,0.010086757499106909,0.7159392970338434,0.7371320906309062,0.02119279359706304,0.013855348807975945,0.7474267605476443,0.7832821230372583,0.0358553624896139,0.024311524324626504,0.7538871389831998,0.743505747680454,-0.01038139130274603,-0.00790305034653089,0.7747498116366743,0.7775591094522446,0.002809297815570488,0.0010306719436940107,0.7574960201370001,0.776725934523453,0.019229914386452857,0.01031063017046672
xgboost,900,53,364,6.867924528301887,5,7,312,306,0.7506569497654221,0.7663577940812496,0.015700844315827422,0.013315102575986892,0.7159392970338434,0.7406113242697709,0.024672027235927655,0.019953297919731588,0.7474267605476443,0.7830125598556352,0.03558579930799108,0.02438033018560894,0.7538871389831998,0.7497030283068635,-0.0041841106763362374,-0.0021491283699037428,0.7747498116366743,0.7763812874596023,0.001631475822928013,0.0014655792858187919,0.7574960201370001,0.7783471121338239,0.020851091996823754,0.011353870120801713
