model,budget_seconds,subject_id,n_pm,zero_shot_balanced_accuracy,personalized_balanced_accuracy,delta_balanced_accuracy,zero_shot_macro_f1,personalized_macro_f1,delta_macro_f1,zero_shot_low_recall,personalized_low_recall,delta_low_recall,zero_shot_high_recall,personalized_high_recall,delta_high_recall,zero_shot_precision,personalized_precision,delta_precision,zero_shot_accuracy,personalized_accuracy,delta_accuracy
lightgbm,300,0001508a,3,0.7660393752992826,0.7308414360584145,-0.03519793924086826,0.7064075737020294,0.7369056035832163,0.030498029881186845,0.6538520390385204,0.8202687307026874,0.16641669166416695,0.8782267115600448,0.6414141414141414,-0.23681257014590348,0.7615515528618246,0.7742467062459336,0.012695153384108981,0.7774333781295107,0.8699748145935992,0.09254143646408841
lightgbm,300,0012905a,5,0.7501115343483102,0.7191169290175792,-0.030994605330730972,0.7410764661259798,0.7019004520732026,-0.039176014052777174,0.8572389434805767,0.8485136609326576,-0.008725282547919332,0.6429841252160435,0.5897201971025009,-0.053263928113542545,0.7668757615572455,0.7590093707437257,-0.007866390813519919,0.7485554457257539,0.7163412668964357,-0.03221417882931828
lightgbm,300,0110f12e,6,0.8213015162851954,0.8232961409028284,0.0019946246176330007,0.8170465308018854,0.8134041577841682,-0.00364237301771723,0.8505316871059572,0.8978288003509257,0.04729711324496864,0.7920713454644338,0.748763481454731,-0.043307864009702636,0.8170076053177492,0.8221558986693452,0.005148293351595816,0.8235983495791941,0.8199194981626231,-0.0036788514165710198
lightgbm,300,0182e16c,2,0.6372428577291167,0.7520087755468745,0.11476591781775775,0.5718524873686293,0.7352016033457671,0.16334911597713786,0.6075974944433219,0.634016973125884,0.02641947868256217,0.6668882210149116,0.870000577967865,0.20311235695295338,0.7463245385301585,0.807476209266442,0.061151670736283525,0.6290002935995302,0.7778919553728714,0.14889166177334118
lightgbm,300,01c2a0d8,6,0.7916540835976519,0.7894873646184899,-0.0021667189791619115,0.7915239751161222,0.7695908180232731,-0.021933157092848987,0.7622168242289606,0.9258429042301549,0.1636260800011941,0.821091342966343,0.6531318250068251,-0.16795951795951794,0.8134142603032587,0.8296189742359159,0.016204713932657377,0.8456734693032124,0.7958128250564993,-0.04986064424671305
lightgbm,300,1081b177,6,0.8080714394984426,0.8488097176720165,0.04073827817357367,0.7909357436030188,0.8333737549129645,0.04243801130994568,0.6481147646061164,0.7809009100026566,0.13278614539654016,0.9680281143907689,0.9167185253413761,-0.051309589049392736,0.8446852090464669,0.8420491585863042,-0.0026360504601627235,0.8132440899526926,0.8434480881577069,0.03020399820501422
lightgbm,300,20201194,5,0.7504477951210731,0.8126116504518499,0.06216385533077693,0.7484209061130775,0.8220776749885423,0.07365676887546499,0.7210271107403509,0.8872039545553857,0.16617684381503475,0.7798684795017954,0.7380193463483143,-0.041849133153480954,0.840568699456697,0.8450794192655502,0.0045107198088530035,0.7872343160371826,0.844677900694745,0.05744358465756243
lightgbm,300,2162c09e,6,0.7968371347117147,0.8201506876998829,0.02331355298816819,0.7932069110047423,0.7987136823476261,0.005506771342883632,0.67767055030548,0.8001238737640074,0.12245332345852754,0.9160037191179492,0.8401775016357581,-0.07582621748219114,0.8094818873259414,0.8093519617397599,-0.00012992558618141192,0.856349400050143,0.8419702136583708,-0.014379186391772473
lightgbm,300,2182c1cd,7,0.7445936301438291,0.7653252692123867,0.020731639068557763,0.7239428477354163,0.7557301133188572,0.03178726558344104,0.5623036446074978,0.654551907890496,0.09224826328299827,0.9268836156801605,0.8760986305342778,-0.05078498514588276,0.7757460688443915,0.7782940002995922,0.0025479314552006977,0.7384461102338034,0.768874975192248,0.030428864958444688
lightgbm,300,219060fa,2,0.7164983325772227,0.7536033981405834,0.03710506556336063,0.7184871498233567,0.7461227931504864,0.02763564332712959,0.8571428571428572,0.9279823269513992,0.070839469808542,0.5758538080115884,0.5792244693297677,0.0033706613181792716,0.8786893259719346,0.8444852545375359,-0.0342040714343988,0.8181661610206542,0.8275128840370425,0.009346723016388225
