model,contrast,target_budget_seconds,reference_budget_seconds,subject_id,delta_balanced_accuracy,delta_macro_f1,delta_low_recall,delta_high_recall,delta_precision,delta_accuracy
xgboost,1200s_minus_900s,1200,900,0001508a,0.006530106835677119,0.00357796323501669,-0.008306287474558638,0.021366501145913097,-0.005194308714716933,-0.007733093237294875
xgboost,1200s_minus_900s,1200,900,0012905a,0.00048183960289260863,0.0009719931954608185,-0.00219780219780219,0.0031614814035872962,-0.0004658946253194296,0.0009954364729181098
xgboost,1200s_minus_900s,1200,900,0110f12e,-0.003252219755544794,-0.005410972954158266,0.011897554634165086,-0.018401994145254785,-0.007008835118409551,-0.006418190574421168
xgboost,1200s_minus_900s,1200,900,0182e16c,-0.0009913827033359857,0.001187824122596215,-0.0035849368201638088,0.0016021714134922815,0.0027659097935943677,0.002213651573454878
xgboost,1200s_minus_900s,1200,900,01c2a0d8,0.005167545057479295,0.004109314792229535,-0.008791729011860316,0.01912681912681924,0.0013067820856230705,0.003830753830753708
xgboost,1200s_minus_900s,1200,900,1081b177,0.017677558775912594,0.0146672596216878,0.05513271816304999,-0.019777600611224577,0.01047065509423395,0.004047493224852428
xgboost,1200s_minus_900s,1200,900,20201194,-0.013532781556056417,-0.008971768154978577,0.01281142821678427,-0.039876991328896993,-0.009377871112705272,-0.0048783642118903625
xgboost,1200s_minus_900s,1200,900,2162c09e,0.0075125256862529355,0.008921294165119331,0.01791761335597708,-0.002892561983471098,0.0004502361688509815,0.008051709279394359
xgboost,1200s_minus_900s,1200,900,2182c1cd,-0.00260262203352013,-0.002458142096390059,-0.004639224130560171,-0.0005660199364799778,-0.0017392955762551843,-0.0020120220560614355
xgboost,1200s_minus_900s,1200,900,219060fa,0.0014476015033001444,0.000668828673795141,0.0059339525283799155,-0.0030387495217796268,-0.0016437293299171873,-5.1567656765505454e-05
xgboost,1200s_minus_900s,1200,900,21a031f6,-0.00034377853257627766,0.0007807184123947986,-0.008020090377785394,0.0073325333126329495,-0.0019221447913757572,-0.00032257241921218593
xgboost,1200s_minus_900s,1200,900,30908049,0.0013285632979113116,0.00017997346741172038,0.007512084046176759,-0.004854957450354025,-0.0010464513871063508,-0.00010465893523858849
xgboost,1200s_minus_900s,1200,900,30c140ca,-0.001191622903585543,-0.0017803049828442052,-0.007701996194269478,0.00531875038709817,-0.005491298405165934,-0.005900102116289441
xgboost,1200s_minus_900s,1200,900,3110e0c7,-0.029749269913555643,-0.035397722392860986,-0.09945382148771975,0.0399552816606088,-0.018964465345493453,-0.017291912056318304
xgboost,1200s_minus_900s,1200,900,40009139,0.0031065265963157174,0.011031060703373563,-0.039437203452809766,0.04565025664544131,0.003063480522631834,0.017879487915488212
xgboost,1200s_minus_900s,1200,900,41e2010c,0.010232284682967552,0.010854349505047933,0.0038483026060666115,0.016616266759868492,-0.007292398847144166,0.005829488929440463
xgboost,1200s_minus_900s,1200,900,5001d09a,-0.006655817000644548,-0.012017327765829422,0.018076518076518222,-0.03138815207780721,-0.00516842342997792,-0.013533834586466065
xgboost,1200s_minus_900s,1200,900,50c02189,-0.0029242404339063777,0.0010792195358240164,-0.016219605172821505,0.010371124305009305,0.0023223981389172144,0.0017925878596397604
xgboost,1200s_minus_900s,1200,900,517001af,0.002261078042328002,0.002386036191079244,0.0,0.004522156084656115,0.00147963004077023,0.002306187630160661
xgboost,1200s_minus_900s,1200,900,6030f0fd,0.013082679513365725,0.02442659012188475,0.009131493506493449,0.01703386552023778,-0.0045346817459615,0.02481086505349639
xgboost,1200s_minus_900s,1200,900,7072a0e0,-0.008207686249079305,-0.008159400826911356,-0.012374615113499132,-0.004040757384659366,0.0028413438284881076,-0.005293108486436049
xgboost,1200s_minus_900s,1200,900,7092f07b,-0.004505066129507851,-0.0075726712595083345,-0.013675086553795679,0.004664954294779866,-0.004783139462563923,-0.008385653642943636
xgboost,1200s_minus_900s,1200,900,7150e10a,0.010800044020935373,0.020472771876640095,0.03521261930146058,-0.013612531259590166,0.007775717113441827,0.026513609880708833
xgboost,1200s_minus_900s,1200,900,71a251fa,-0.0014509915371984095,-0.0015385437821585635,-0.009770114942528774,0.006868131868131733,0.003868413680674365,0.0005885676617384261
xgboost,1200s_minus_900s,1200,900,71c09041,-0.03186405265106451,-0.026290774975186504,-0.07561515482967496,0.011887049527546156,-0.014258227047460603,-0.017424458612620985
xgboost,1200s_minus_900s,1200,900,71e10186,0.0,0.0,0.0,0.0,0.0,0.0
xgboost,1200s_minus_900s,1200,900,71f0603f,-0.0019596500494781788,-0.0029978131043818523,0.017691522998064868,-0.021610823097021115,-0.0011179973108110808,-0.0035096292652941896
xgboost,1200s_minus_900s,1200,900,71f21142,0.000983436853002173,0.0007605713623271004,0.0031746031746031633,-0.0012077294685990392,0.0008617124170965385,0.000685871056241294
xgboost,1200s_minus_900s,1200,900,8030618f,0.0001431364334590901,-8.199195716040997e-05,-0.0008658008658010141,0.0011520737327188613,-0.0005262406624576554,0.0003579277864991237
xgboost,1200s_minus_900s,1200,900,8191f1d9,0.005612157859861688,-0.004116653805713355,-0.018746165455864716,0.02997048117558765,-0.0027786479016703725,-0.009490516811772487
xgboost,1200s_minus_900s,1200,900,81e150c1,-0.00540265758736469,-0.0009529322831702824,-0.01754385964912275,0.006738544474393482,-0.0009829323412150481,0.0015932023366966863
xgboost,1200s_minus_900s,1200,900,81f1f0fe,-0.006102696763640392,-0.009422782907179794,-0.0016182297094661235,-0.010587163817814771,-0.0035095004470236946,-0.011056199749159723
xgboost,1200s_minus_900s,1200,900,a02151ac,-0.010794373465507823,-0.015029511016649955,-0.0387675816247246,0.017178834693709066,0.007137466759599809,-0.009158051435562253
xgboost,1200s_minus_900s,1200,900,a1721173,0.0,0.0,0.0,0.0,0.0,0.0
xgboost,1200s_minus_900s,1200,900,a1b210fc,0.011218178744400786,0.00838171202726401,0.0628478327897165,-0.040411475300914934,0.006888967598056683,0.0061524817075027105
xgboost,1200s_minus_900s,1200,900,b0700166,0.005470783733514617,0.00031022652205048296,0.017335290440643747,-0.006393722973614291,-0.01054452713871401,-0.010243526017170157
xgboost,1200s_minus_900s,1200,900,b112005d,0.004031283400473651,0.005671413401676428,0.0031085813654497807,0.004953985435497743,0.001133739342351614,0.010621380686049009
xgboost,1200s_minus_900s,1200,900,b1c2f044,-0.0005640237921278324,-0.0007648288699062533,0.003073633088013006,-0.004201680672268893,-0.0010460809517961467,-0.0005185556365402411
xgboost,1200s_minus_900s,1200,900,c060c06a,0.002643342062069176,0.009817630168619473,0.005384397628144577,-9.771350400633594e-05,0.00864379664681103,0.010593401007667258
