model,budget_seconds,subject_id,n_pm,zero_shot_balanced_accuracy,personalized_balanced_accuracy,delta_balanced_accuracy,zero_shot_macro_f1,personalized_macro_f1,delta_macro_f1,zero_shot_low_recall,personalized_low_recall,delta_low_recall,zero_shot_high_recall,personalized_high_recall,delta_high_recall,zero_shot_precision,personalized_precision,delta_precision,zero_shot_accuracy,personalized_accuracy,delta_accuracy
lightgbm,900,0001508a,7,0.7443275287394232,0.7822797460698995,0.037952217330476365,0.7061191293564819,0.7803646182170475,0.0742454888605656,0.6432969190590685,0.7507651185527291,0.10746819949366074,0.845358138419778,0.8137943735870701,-0.031563764832708,0.7946181552727619,0.824518229427775,0.029900074155012963,0.7465691407383178,0.8177976248750786,0.07122848413676064
lightgbm,900,0012905a,7,0.7511309734566913,0.7495750970629073,-0.001555876393783914,0.7376741043190213,0.737638541957452,-3.5562361569287303e-05,0.8451871721917552,0.8262855031952705,-0.01890166899648487,0.6570747747216277,0.6728646909305445,0.01578991620891696,0.7637195997091842,0.7722823341295858,0.008562734420401594,0.7482461561766595,0.751706912075185,0.0034607558985255533
lightgbm,900,0110f12e,7,0.8183764121412735,0.8182942549301551,-8.21572111185149e-05,0.8148661472382785,0.8104691983532397,-0.004396948885038816,0.8214259927633287,0.866854313303368,0.04542832054003936,0.8153268315192183,0.7697341965569421,-0.04559263496227629,0.8190524900309699,0.8124165353535061,-0.006635954677463807,0.8240837301127298,0.818320104356593,-0.005763625756136727
lightgbm,900,0182e16c,7,0.714197188031225,0.8253003153550426,0.11110312732381726,0.6651291120759613,0.7973502156973932,0.13222110362143202,0.6787742400636452,0.8216873454309221,0.1429131053672771,0.749620135998805,0.8289132852791623,0.07929314928035745,0.7864004161166287,0.7881557607679772,0.0017553446513485385,0.7190533454920262,0.8279997152437445,0.10894636975171837
lightgbm,900,01c2a0d8,7,0.7844816344238733,0.7867833635075014,0.0023017290836281823,0.7624481128440769,0.7614897554414858,-0.0009583574025909813,0.7478955275802642,0.9163875179633333,0.16849199038306914,0.8210677412674824,0.6571792090516695,-0.1638885322158128,0.7909924606768204,0.7960149176630275,0.0050224569862070845,0.8136702195012747,0.7954558935049301,-0.01821432599634465
lightgbm,900,1081b177,7,0.7755634481942756,0.7912193431746052,0.015655894980329647,0.7618605525294041,0.7830172253187905,0.02115667278938647,0.5992408486804186,0.6648214157325193,0.06558056705210077,0.9518860477081325,0.917617270616691,-0.03426877709144146,0.8161059830986567,0.8042578443633558,-0.011848138735300677,0.7930455600714522,0.8068272523096723,0.013781692238219964
lightgbm,900,20201194,7,0.7376714249756154,0.7871372343223527,0.049465809346737215,0.7070357268261281,0.7715143831007801,0.06447865627465191,0.7184780202077332,0.7412698139612549,0.02279179375352164,0.756864829743498,0.8330046546834508,0.07613982493995276,0.7702646824735785,0.8068669610026534,0.036602278529074814,0.7390739783421292,0.8050206805360968,0.06594670219396771
lightgbm,900,2162c09e,7,0.7841306580724491,0.8145419586714074,0.030411300598958486,0.7660628840605627,0.7880204362952302,0.021957552234667506,0.6395995676087279,0.7365977263494662,0.09699815874073822,0.9286617485361699,0.8924861909933488,-0.036175557542821264,0.8080198507635659,0.8142172747766532,0.006197424013087237,0.8185349847391494,0.82394950436934,0.005414519630190652
lightgbm,900,2182c1cd,7,0.7329682922925842,0.7661440431215915,0.03317575082900738,0.6967566854147346,0.7419176351661392,0.04516094975140466,0.5532289373067274,0.6584842803378603,0.10525534303113292,0.912707647278441,0.8738038059053227,-0.03890384137311816,0.7533968063946777,0.7673617597989587,0.013964953404281008,0.7075423351717419,0.7507976828538876,0.04325534768214566
lightgbm,900,219060fa,5,0.7696224509968135,0.7923935685322984,0.02277111753548493,0.7694883883357322,0.7978862213483282,0.028397833012595953,0.8009543466509411,0.7976437068674026,-0.003310639783538427,0.7382905553426857,0.787143430197194,0.04885287485450829,0.8362804987868323,0.825717354222123,-0.010563144564709193,0.8108745349712967,0.8234509773415442,0.012576442370247487
lightgbm,900,21a031f6,7,0.7723198952312095,0.7671085746563112,-0.005211320574898244,0.7373022795266183,0.7410102315417122,0.003707952015093774,0.7619642864717106,0.8859614997597627,0.123997213288052,0.7826755039907084,0.6482556495528599,-0.13441985443784854,0.7617912550863591,0.7822618314495136,0.020470576363154334,0.7528734174683746,0.7684575835296713,0.015584166061296851
lightgbm,900,30908049,7,0.7304021394397112,0.7515070163564214,0.021104876916710227,0.6680920239873872,0.6623124634313361,-0.005779560556051134,0.805668078754078,0.8882701716954199,0.0826020929413421,0.6551362001253447,0.6147438610174231,-0.040392339107921636,0.7368204512800134,0.695324382883153,-0.041496068396860326,0.7217378774481522,0.6932725088213809,-0.028465368626771275
lightgbm,900,30c140ca,7,0.7708719561466337,0.7137406503136459,-0.05713130583298783,0.6585487728864665,0.607617121923868,-0.05093165096259857,0.7124646796051624,0.6536908298428067,-0.05877384976235585,0.8292792326881049,0.7737904707844853,-0.05548876190361981,0.718278597608429,0.7160166661631957,-0.0022619314452331546,0.6800316442978366,0.6603255497983758,-0.01970609449946075
lightgbm,900,3110e0c7,7,0.6051401838568295,0.584218355216026,-0.020921828640803546,0.54929446137942,0.5272954038801422,-0.021999057499277688,0.5528385973437915,0.49233114416274615,-0.060507453181045286,0.6574417703698675,0.6761055662693058,0.018663795899438198,0.6011362620559142,0.5896744041450672,-0.011461857910846926,0.5888137208988227,0.5735286074390639,-0.015285113459758812
lightgbm,900,40009139,7,0.8019252719583053,0.7985824662402983,-0.003342805718007031,0.7874486894833657,0.7864256969586159,-0.0010229925247496727,0.8079040191209216,0.8769135211499096,0.0690095020289879,0.7959465247956891,0.720251411330687,-0.0756951134650019,0.811961376981681,0.8103253729577131,-0.0016360040239679868,0.8049046690866444,0.8058164996231261,0.000911830536481885
lightgbm,900,41e2010c,7,0.7325864647888599,0.7838032528569617,0.05121678806810183,0.7121150295918428,0.769633676454682,0.0575186468628392,0.7856611790216654,0.8433731237712552,0.05771194474958979,0.6795117505560544,0.7242333819426682,0.04472163138661383,0.8181342742259814,0.7948087061262716,-0.023325568099709853,0.7681034679210558,0.8006575038717528,0.032554035950696995
lightgbm,900,5001d09a,7,0.7998383522351145,0.8064037728669907,0.006565420631876357,0.7554405130915302,0.7627238393353147,0.007283326243784615,0.9421992115821229,0.9252001827160056,-0.016999028866117465,0.6574774928881059,0.6876073630179761,0.03012987012987015,0.7886291505815911,0.7829945492506095,-0.005634601330981545,0.7788489368066217,0.7835277850901212,0.004678848283499436
lightgbm,900,50c02189,7,0.6568495365393102,0.7240962587531664,0.06724672221385601,0.5814915077937117,0.7246573627915652,0.14316585499785353,0.5705684739869455,0.692084580012076,0.1215161060251303,0.7431305990916751,0.7561079374942568,0.012977338402581686,0.7285773012832576,0.7372997624020485,0.008722461118790952,0.6635865529178092,0.7495342403330046,0.08594768741519519
lightgbm,900,517001af,7,0.8278479081400796,0.8110912721228948,-0.016756636017184832,0.8266275092201643,0.7838705868859922,-0.042756922334172165,0.754097988139241,0.8928608578417594,0.1387628697025183,0.9015978281409182,0.7293216864040303,-0.17227614173688802,0.8497731531845645,0.8170083882268757,-0.03276476495768881,0.8640949531971742,0.8332401641877939,-0.030854789009380323
lightgbm,900,6030f0fd,7,0.7632452386226802,0.782440633019368,0.019195394396687604,0.7230241396337982,0.742166672058527,0.019142532424728836,0.8394228539317824,0.815040904712171,-0.024381949219611565,0.6870676233135781,0.7498403613265648,0.06277273801298675,0.7540680647173919,0.7675408757872296,0.01347281106983768,0.7547663064345203,0.7661208268054354,0.011354520370915238
