model,budget_seconds,participants,participant_pm_rows,mean_pm_per_participant,min_pm_per_participant,max_pm_per_participant,zero_shot_balanced_accuracy_mean,personalized_balanced_accuracy_mean,delta_balanced_accuracy_mean,delta_balanced_accuracy_median,zero_shot_macro_f1_mean,personalized_macro_f1_mean,delta_macro_f1_mean,delta_macro_f1_median,zero_shot_low_recall_mean,personalized_low_recall_mean,delta_low_recall_mean,delta_low_recall_median,zero_shot_high_recall_mean,personalized_high_recall_mean,delta_high_recall_mean,delta_high_recall_median,zero_shot_precision_mean,personalized_precision_mean,delta_precision_mean,delta_precision_median,zero_shot_accuracy_mean,personalized_accuracy_mean,delta_accuracy_mean,delta_accuracy_median
lightgbm,900,49,288,5.877551020408164,3,7,0.7644215395787767,0.7810796375975475,0.016658098018770905,0.01386141115812205,0.7289080932659516,0.7555933325810794,0.026685239315127684,0.02039284190456958,0.7614180956794204,0.8169241813165161,0.05550608563709577,0.05771194474958979,0.767424983478133,0.7452350938785789,-0.022189889599553952,-0.0260869274396552,0.7873951737205385,0.7921981632584087,0.004802989537870282,0.0050224569862070845,0.7637069567399963,0.788670960686271,0.024964003946274436,0.015584166061296851
lightgbm,1200,49,308,6.285714285714286,3,7,0.7638933550276095,0.7818720135533203,0.01797865852571067,0.010360717462879794,0.7262988487065698,0.7555389252337292,0.029240076527159486,0.020223508143859363,0.7607408871477707,0.8129746520386529,0.05223376489088239,0.0449979391839857,0.7670458229074489,0.7507693750679878,-0.016276447839461035,-0.010536209869971502,0.7839809421069678,0.7902764801344075,0.006295538027439724,0.005931041028616143,0.7613548580017584,0.7883435785652229,0.026988720563464512,0.020971671815422747
lightgbm,1800,48,320,6.666666666666667,5,7,0.7569453837169998,0.7811475033097542,0.024202119592754562,0.016680551015873367,0.7165041916879981,0.7554797313233753,0.03897553963537714,0.029743234449135052,0.7534151938306306,0.8061592480009568,0.05274405417032618,0.043759754056778906,0.7604755736033688,0.7561357586185516,-0.004339814984817054,-0.0007079501909981745,0.7781094195632855,0.7832616479670135,0.005152228403727953,0.0067821656105502125,0.7537020557395521,0.789244719337112,0.03554266359756,0.026997304666455106
xgboost,900,49,288,5.877551020408164,3,7,0.7622472625946392,0.7778815538867199,0.015634291292080636,0.01148062551648226,0.7285274488838009,0.7549341332844453,0.026406684400644087,0.012900190811586982,0.7578662027320836,0.7978407929962443,0.039974590264160774,0.028257014179418918,0.7666283224571949,0.7579223147771952,-0.00870600767999951,-0.0024548589977682945,0.7839372703559131,0.7879784055747004,0.004041135218787316,0.0010543985874824319,0.7633312092769853,0.7874385809697527,0.024107371692767245,0.013875866409868614
xgboost,1200,49,311,6.346938775510204,4,7,0.7597192299318618,0.7748734869825842,0.015154257050722165,0.015938537526722047,0.7224538631766105,0.7481739134512977,0.025720050274686924,0.01745128131733864,0.7556805026709453,0.7906210214994103,0.03494051882846487,0.023298617643584967,0.7637579571927784,0.7591259524657579,-0.004632004727020543,4.4091710758380796e-05,0.7781912074180862,0.7812939629347263,0.0031027555166400268,0.0022887907788337997,0.7583477519233307,0.781825226309166,0.023477474385835292,0.016732290574047015
xgboost,1800,48,318,6.625,4,7,0.755049080917475,0.776775117837043,0.02172603691956794,0.016300087395211306,0.7176917334936999,0.7523248677018611,0.034633134208161075,0.022115995837134878,0.7529476738030266,0.7915868390443364,0.0386391652413097,0.02308080271739164,0.7571504880319235,0.7619633966297498,0.004812908597826184,-8.957600377598344e-05,0.7749363458942587,0.7795613484176463,0.004625002523387747,0.00312795649594099,0.7545679992674653,0.7837359444914634,0.029167945223998362,0.01789505509919158
