model,budget_seconds,subject_id,n_pm,zero_shot_balanced_accuracy,personalized_balanced_accuracy,delta_balanced_accuracy,zero_shot_macro_f1,personalized_macro_f1,delta_macro_f1,zero_shot_low_recall,personalized_low_recall,delta_low_recall,zero_shot_high_recall,personalized_high_recall,delta_high_recall,zero_shot_precision,personalized_precision,delta_precision,zero_shot_accuracy,personalized_accuracy,delta_accuracy
lightgbm,900,0001508a,7,0.7443275287394232,0.7822797460698995,0.037952217330476365,0.7061191293564819,0.7803646182170475,0.0742454888605656,0.6432969190590685,0.7507651185527291,0.10746819949366074,0.845358138419778,0.8137943735870701,-0.031563764832708,0.7946181552727619,0.824518229427775,0.029900074155012963,0.7465691407383178,0.8177976248750786,0.07122848413676064
lightgbm,900,0012905a,7,0.7511309734566913,0.7495750970629073,-0.001555876393783914,0.7376741043190213,0.737638541957452,-3.5562361569287303e-05,0.8451871721917552,0.8262855031952705,-0.01890166899648487,0.6570747747216277,0.6728646909305445,0.01578991620891696,0.7637195997091842,0.7722823341295858,0.008562734420401594,0.7482461561766595,0.751706912075185,0.0034607558985255533
lightgbm,900,0110f12e,7,0.8183764121412735,0.8182942549301551,-8.21572111185149e-05,0.8148661472382785,0.8104691983532397,-0.004396948885038816,0.8214259927633287,0.866854313303368,0.04542832054003936,0.8153268315192183,0.7697341965569421,-0.04559263496227629,0.8190524900309699,0.8124165353535061,-0.006635954677463807,0.8240837301127298,0.818320104356593,-0.005763625756136727
lightgbm,900,0182e16c,6,0.7174827469742246,0.8471030621853449,0.12962031521112014,0.661512349617007,0.8157703038420111,0.15425795422500402,0.6833761482913071,0.8501081045531302,0.16673195626182327,0.7515893456571422,0.8440980198175594,0.09250867416041703,0.8035520630554148,0.8055999651486548,0.0020479020932399616,0.720895569740697,0.8479996677843685,0.12710409804367143
lightgbm,900,01c2a0d8,7,0.7844816344238733,0.7867833635075014,0.0023017290836281823,0.7624481128440769,0.7614897554414858,-0.0009583574025909813,0.7478955275802642,0.9163875179633333,0.16849199038306914,0.8210677412674824,0.6571792090516695,-0.1638885322158128,0.7909924606768204,0.7960149176630275,0.0050224569862070845,0.8136702195012747,0.7954558935049301,-0.01821432599634465
lightgbm,900,1081b177,6,0.8103059037832466,0.8285711145936313,0.018265210810384586,0.7938739413209347,0.8185567262418858,0.024682784920950884,0.6466029079353742,0.7231135694961583,0.07651066156078425,0.974008899631119,0.934028659691104,-0.03998023994001504,0.8555894192222544,0.8417665906977371,-0.013822828524517458,0.8121930001599892,0.8282716411045793,0.016078640944589957
lightgbm,900,20201194,7,0.7376714249756154,0.7871372343223527,0.049465809346737215,0.7070357268261281,0.7715143831007801,0.06447865627465191,0.7184780202077332,0.7412698139612549,0.02279179375352164,0.756864829743498,0.8330046546834508,0.07613982493995276,0.7702646824735785,0.8068669610026534,0.036602278529074814,0.7390739783421292,0.8050206805360968,0.06594670219396771
lightgbm,900,2162c09e,6,0.8058447421101649,0.8413245928089498,0.0354798506987849,0.8049280360175999,0.8305451802913786,0.025617144273778758,0.6949174442614647,0.808081962792326,0.11316451853086125,0.9167720399588649,0.8745672228255735,-0.042204817133291474,0.8240527158744064,0.8312830438896749,0.007230328015268443,0.8647614037643017,0.8710783433328575,0.006316939568555761
lightgbm,900,2182c1cd,7,0.7329682922925842,0.7661440431215915,0.03317575082900738,0.6967566854147346,0.7419176351661392,0.04516094975140466,0.5532289373067274,0.6584842803378603,0.10525534303113292,0.912707647278441,0.8738038059053227,-0.03890384137311816,0.7533968063946777,0.7673617597989587,0.013964953404281008,0.7075423351717419,0.7507976828538876,0.04325534768214566
lightgbm,900,219060fa,4,0.7745349356536584,0.8029988325730145,0.028463896919356163,0.7736953683590626,0.8091926596248076,0.03549729126574494,0.8364870509607352,0.8323487512313121,-0.004138299729423034,0.7125828203465815,0.7736489139147168,0.06106609356813536,0.8549223973985858,0.8417184666926992,-0.01320393070588649,0.8234890020474541,0.8392095550102635,0.01572055296280936
lightgbm,900,21a031f6,7,0.7723198952312095,0.7671085746563112,-0.005211320574898244,0.7373022795266183,0.7410102315417122,0.003707952015093774,0.7619642864717106,0.8859614997597627,0.123997213288052,0.7826755039907084,0.6482556495528599,-0.13441985443784854,0.7617912550863591,0.7822618314495136,0.020470576363154334,0.7528734174683746,0.7684575835296713,0.015584166061296851
lightgbm,900,30908049,7,0.7304021394397112,0.7515070163564214,0.021104876916710227,0.6680920239873872,0.6623124634313361,-0.005779560556051134,0.805668078754078,0.8882701716954199,0.0826020929413421,0.6551362001253447,0.6147438610174231,-0.040392339107921636,0.7368204512800134,0.695324382883153,-0.041496068396860326,0.7217378774481522,0.6932725088213809,-0.028465368626771275
lightgbm,900,30c140ca,5,0.8009184336407482,0.7209346054745651,-0.07998382816618296,0.7642659573923087,0.6929616460446708,-0.07130431134763801,0.8408459415181493,0.7585625518508512,-0.08228338966729819,0.760990925763347,0.6833066590982793,-0.07768426666506774,0.7777354911972552,0.7745687871739289,-0.0031667040233264165,0.7742139272635193,0.7466253949642743,-0.02758853229924505
lightgbm,900,3110e0c7,3,0.7220968980211175,0.6732792978592426,-0.04881760016187494,0.6964451778394053,0.645114043674424,-0.05133113416498127,0.6469136840924703,0.5057296266700314,-0.141184057422439,0.7972801119497648,0.840828969048454,0.04354885709868913,0.7125292679135719,0.6857849327882622,-0.026744335125309493,0.7087369693204701,0.6730717045810329,-0.03566526473943723
lightgbm,900,40009139,5,0.8238377028390056,0.8191577748337957,-0.004679928005209844,0.8219119577549243,0.8204797682202747,-0.0014321895346495416,0.7791608648645283,0.8757741677051115,0.09661330284058306,0.8685145408134829,0.7625413819624803,-0.10597315885100267,0.8453160736778328,0.8430256680442776,-0.0022904056335551815,0.8453814569156115,0.8466580196666861,0.001276562751074639
lightgbm,900,41e2010c,7,0.7325864647888599,0.7838032528569617,0.05121678806810183,0.7121150295918428,0.769633676454682,0.0575186468628392,0.7856611790216654,0.8433731237712552,0.05771194474958979,0.6795117505560544,0.7242333819426682,0.04472163138661383,0.8181342742259814,0.7948087061262716,-0.023325568099709853,0.7681034679210558,0.8006575038717528,0.032554035950696995
lightgbm,900,5001d09a,6,0.791291684317792,0.7989513417216476,0.00765965740385575,0.7415805872804743,0.7500778012315562,0.00849721395108205,0.9505837648638281,0.9307515645200244,-0.019832200343803712,0.6319996037717557,0.6671511189232708,0.03515151515151518,0.7807699567242746,0.7741962551714628,-0.006573701552811802,0.7683062157480762,0.7737648720788256,0.005458656330749341
lightgbm,900,50c02189,7,0.6568495365393102,0.7240962587531664,0.06724672221385601,0.5814915077937117,0.7246573627915652,0.14316585499785353,0.5705684739869455,0.692084580012076,0.1215161060251303,0.7431305990916751,0.7561079374942568,0.012977338402581686,0.7285773012832576,0.7372997624020485,0.008722461118790952,0.6635865529178092,0.7495342403330046,0.08594768741519519
lightgbm,900,517001af,5,0.8634057221897622,0.8399464317657035,-0.023459290424058764,0.8564100607658925,0.7965503694980515,-0.059859691267841034,0.7688800405377945,0.9631480581213202,0.19426801758352563,0.9579314038417299,0.7167448054100867,-0.2411865984316432,0.880710687300726,0.8348400163599617,-0.04587067094076434,0.8731539299118186,0.8299572252986863,-0.04319670461313245
lightgbm,900,6030f0fd,5,0.7845408281846605,0.8114143803400232,0.026873552155362645,0.7562965796252221,0.7830961250198425,0.026799545394620372,0.8714988136863138,0.8373640847788575,-0.03413472890745619,0.6975828426830075,0.785464675901189,0.08788183321818145,0.7576276024512432,0.7764895379490158,0.018861935497772753,0.7973121844701766,0.8132085129894581,0.015896328519281334
