model,subject_id,n_pm,brier_improvement,log_loss_improvement,delta_balanced_accuracy_vs_median,delta_macro_f1_vs_median,delta_balanced_accuracy_vs_zero,delta_macro_f1_vs_zero
lightgbm,0001508a,7,0.025716448510019807,0.057454752303773636,-0.027038124128382055,-0.05139228282998204,0.011338620824803,0.01993837299859576
lightgbm,0012905a,5,-0.030486146196939484,-0.1773870937120132,-0.028345457423418298,-0.043230789414263594,-0.020709427109272104,-0.03110390660973541
lightgbm,0110f12e,7,-0.017539478669156876,-0.0733352735352805,-0.0034183573581219834,-0.01559803820032825,0.0003395895872238145,-0.014043571215678341
lightgbm,0182e16c,5,0.09762350417428375,0.3932782738979633,-0.11903571695240918,-0.11546473116386047,-0.021819813328636962,0.040959990669775216
lightgbm,01c2a0d8,7,-0.01893157169044074,-0.07570784715246022,-0.04805247750809553,-0.03949662052467523,-0.042515754653354075,-0.032581148821885474
lightgbm,1081b177,7,0.018822442274223968,0.05943802496342359,-0.0005621429757943774,0.003351210862188068,0.025685163655277652,0.0330974892370764
lightgbm,20201194,5,-0.018604039842376165,-0.00850665298868758,-0.046106028845433335,-0.07751771022664969,-0.004172612170457923,-0.028058430663205024
lightgbm,2162c09e,6,-0.005288336292347511,-0.02883998489819729,-0.042440115081348505,-0.031419627442330046,-0.0029003628798198178,-0.0020124327025459743
lightgbm,2182c1cd,7,0.05095971208303856,0.16208102424291354,0.01254921970510725,0.02507578704337337,0.04364253674302993,0.06838015360872178
lightgbm,219060fa,5,-0.011173746078274913,-0.04680060081864427,-0.04964087279682481,-0.062142133070638914,-0.022039930562153788,-0.032401942547257145
lightgbm,21a031f6,7,0.03115411797490444,0.1027209631218399,-0.0037143956374753,0.003023517898049951,0.007198123491767849,0.029610249670832558
lightgbm,30908049,4,0.0254960692844403,0.08661770156757836,0.024474239490839156,0.03633325420179656,0.07387697722347325,0.061499262647536024
lightgbm,30c140ca,6,-0.011941101987438321,-0.011445774021964505,-0.0012566197492177023,-0.0076639217861106486,-0.055897222668626845,-0.06389205330079702
lightgbm,3110e0c7,5,-0.05328818940813486,-0.3266321981820308,-0.05227417877392768,-0.05837785472717716,-0.08698192072121622,-0.10797062527473862
lightgbm,40009139,7,-0.003062382949567451,0.012258050386637789,-0.02845920888860246,-0.03607814099587468,-0.02759438423025454,-0.023482272618650785
lightgbm,41e2010c,7,0.05430190153476664,0.16885680708793652,-0.010467430260701785,-0.0012004722667762044,0.0677587444913093,0.0856893976522973
lightgbm,5001d09a,7,0.01815774696516113,0.06186376594004015,-0.008459238565009599,0.007432599558271501,-0.011962810760746742,0.0018762501256259936
lightgbm,50c02189,6,0.06835882022706535,0.26339860810797067,-0.04659688084639341,-0.07886649689662113,0.026334260374442642,0.08607890912516207
lightgbm,517001af,4,-0.058857087667583775,-0.15953652755392284,-0.05497454163798107,-0.05773920652259254,-0.08952941332252642,-0.1378938423726649
lightgbm,6030f0fd,7,0.02777854618693208,0.06772606100930097,-0.015560746769546838,-0.016621041674648156,0.04200931674170364,0.06228722109204236
lightgbm,7072a0e0,7,-0.022813583393014675,-0.089270286265116,-0.05203117614822222,-0.08212818968097528,-0.037972015454521856,-0.04267722506078036
lightgbm,7092f07b,7,0.04816473694123843,0.18819682653820635,-0.05100522869976914,-0.10824024178863104,-0.002087813642825081,-0.0017935546314732295
lightgbm,7150e10a,6,0.030357431111189853,0.14611058952667005,-0.04506090891242378,-0.03916636310512778,-0.014078593011736343,0.011259020717973153
lightgbm,71c09041,4,0.010929956480634048,0.048738666244078944,0.015907888290929484,0.007911631152038051,-0.0011630243673453333,-0.0011926263810371762
lightgbm,71e10186,5,-0.005830961977685073,-0.010178198872034486,-0.020414488226228888,-0.018130430925842145,-0.016019873421273267,-0.01317060667598553
lightgbm,71f0603f,7,-0.01501119816923526,-0.05750242935202495,-0.008026655997606562,-0.021622752165481356,-0.004641803569774553,-0.020942175329161983
lightgbm,71f21142,4,0.0033288179285900325,0.006324817794974638,-0.011207067373636082,-0.022649907700349192,0.008869684895772861,0.01946053548160337
lightgbm,8030618f,7,0.04084769781407443,0.08519757754364947,-0.007819056599446437,-0.03593071380909115,-0.004720497573696382,0.002178024234671973
lightgbm,8191f1d9,5,0.1822016301001273,0.7874513286873857,-0.02652012451560175,-0.0891295154762174,0.06440345637980434,0.13888901288935612
lightgbm,81e150c1,4,-0.004496089117709795,-0.020110718740815867,-0.046298865291367425,-0.04305281700069988,-0.03358986204425593,-0.02165335822445963
lightgbm,81f1f0fe,6,-0.0022617789061741625,-0.03703151118216027,-0.016460627275179312,-0.028228397526290572,-0.030436769052634132,-0.032069769158275224
lightgbm,a02151ac,7,0.0009962838239518854,0.05399315922230351,-0.01905820699169693,-0.01841324836952642,-0.007991261490550516,0.003926843603871585
lightgbm,a1b210fc,7,-0.004334883318616831,-0.02516271098353633,-0.04929960974396192,-0.051745259102124574,-0.048638175852112706,-0.03229939410437605
lightgbm,b0700166,6,0.06815339499814271,0.2101394145840421,-0.03248519731083269,-0.01263005307832619,0.01152611123321253,0.07508316835947686
lightgbm,b112005d,7,-0.07451760464116686,-0.27506790210463133,-0.06105129345432322,-0.10101143617001253,-0.052079799205557754,-0.09937194806504915
lightgbm,b1c2f044,6,0.005999360422748542,-0.01734676387759869,-0.046831666421320216,-0.01712052499084236,-0.04494579809095639,-0.010942878189308503
lightgbm,c060c06a,6,0.03138647926652024,0.09604897692615762,-0.04541247210515157,-0.023602397998257845,0.00238417080041442,0.03595726785044967
lightgbm,c112918e,6,0.09688266394974444,0.3097725657056481,0.004002636537392357,0.0014582830720256124,0.10614000140285712,0.15798052170275637
lightgbm,c1a150b1,3,0.06144351011215717,0.2321644311668767,-0.11429371644757365,-0.15641233857033376,-0.036390115166637184,-6.746428894159144e-05
lightgbm,d0724095,7,0.03377724235424341,0.09084880995133458,-0.001989007022907036,0.013677919437842008,0.01145828659402984,0.04728223066398502
lightgbm,d0e2d025,7,0.013772817361927505,0.03730943086661916,-0.05632853421953976,-0.043156536423361466,-0.028209392834770215,-0.002919513316935613
lightgbm,d111e017,5,-0.007662920409964258,-0.020547301783171816,-0.012711089689489374,-0.01352793278298281,-0.00927257878893777,-0.010444609260312144
lightgbm,d151b0c4,5,-0.008842021153814484,-0.03158328909375054,0.0009559235541501066,-0.017083986934590213,0.001060679865647951,-0.007287358085147799
lightgbm,d18000a3,7,0.004409280067895054,0.016532841200500883,-0.01089977133288822,-0.022454247392500903,0.00640678803783585,0.0005025777960992224
lightgbm,f0f2a1e1,5,-0.007498063096475204,-0.03507871175045672,-0.03133237878119086,-0.02108701021097901,-0.03134987166261605,-0.018994307779462517
lightgbm,f121f1e0,6,0.09398542910521053,0.4341747691885092,0.03536267909868113,0.04398229415657364,0.09234492003503832,0.11194131457800849
lightgbm,f1a0c120,5,-0.029647950880023928,-0.09163474203914229,-0.08576757380519943,-0.09988451034538186,-0.0627272109340622,-0.06606529701629246
lightgbm,f1d06060,7,0.0690030475556177,0.19992111029732546,-0.0011852998550140167,-0.0018049242274841598,0.07990347092490024,0.10532973491749817
xgboost,0001508a,7,0.04222416106400675,0.19113623097951232,-0.02617248834704065,-0.03403245618431509,0.016529779416294903,0.037050403927663136
xgboost,0012905a,5,-0.027963896436794193,-0.2742489831705862,-0.025833598343115625,-0.03977130346559214,-0.022094567895868854,-0.030415296164284046
xgboost,0110f12e,7,-0.014480225761049115,-0.09566151968759282,0.0017919787042632387,-0.009888013910212514,0.0038744625874022054,-0.009384889840542436
xgboost,0182e16c,5,0.128841914813117,0.8273983875497999,-0.0775232215917027,-0.05361954900073555,0.03976596698263701,0.11945107159830651
xgboost,01c2a0d8,7,-0.015525538217502018,-0.06883487328640822,-0.05430125208088251,-0.04106393384491353,-0.039937011964221614,-0.028966926398238484
xgboost,1081b177,7,0.020864389436793643,0.12841087299040926,-0.000799563626822478,0.004322098645946697,0.02262323690704815,0.03203888949535145
xgboost,20201194,5,-0.0042343704580609706,0.09658539980358857,-0.024356960289389874,-0.04682393081932022,0.007777979183628126,-0.0027170559703935003
xgboost,2162c09e,6,-0.001501883034092479,-0.02926224487440395,-0.013649563978237337,-0.007041551114167081,-0.0034244400867083726,0.0031694142876717013
xgboost,2182c1cd,7,0.06320199496665006,0.289754931563827,0.0418491152849351,0.05130402545833147,0.07014954089237693,0.09294453892894579
xgboost,219060fa,5,0.010205059027521224,0.02302911675563568,0.008648768496056402,0.00768144336366845,0.02888358233389554,0.03276356699193108
xgboost,21a031f6,7,0.03948483553458532,0.16803527430251605,-0.0054451871629042714,0.009030095001502694,0.010071544746205783,0.038722035194059576
xgboost,30908049,4,0.031683607460058265,0.24518748303393567,0.011592603911324384,0.010347908286545832,0.05484697952823048,0.04805488925815725
xgboost,30c140ca,6,-0.03957278583167602,-0.1348807748984586,-0.004964155265484993,-0.005962842662822136,-0.051957493684183176,-0.06473213610753702
xgboost,3110e0c7,5,-0.050389675300615,-0.4713154507444517,-0.0692017048796439,-0.07857651480888055,-0.0956871995828649,-0.1106061385946204
xgboost,40009139,7,0.005848834134894266,0.06746275412894212,-0.0031855605334720283,-0.006178449934171667,-0.007338483388644497,-0.00033862660495046333
xgboost,41e2010c,7,0.052526782793848016,0.2986880079117921,0.008423980117476344,0.014619426382554075,0.05337951898532779,0.06799022977905837
xgboost,5001d09a,7,0.010174211708008122,0.076701515120626,-0.013724841285755065,-0.005823123437053157,-0.009227947413861206,-0.0015227531808262227
xgboost,50c02189,6,0.10124623429458736,0.5584079739627054,-0.019360163833895994,-0.02436419651319453,0.07900024423860065,0.14667079026312116
xgboost,517001af,4,-0.04528131683289562,-0.1458928801895895,-0.05192514121683031,-0.06340964699640711,-0.062063566730541,-0.09636790204628187
xgboost,6030f0fd,7,0.03747652116686185,0.12023473816742085,-0.0027225457896578836,-0.00804603928471413,0.03749982958210918,0.05759100916423121
xgboost,7072a0e0,7,-0.0056058762473097145,-0.07287024639203861,-0.04021328509836968,-0.06390708567342311,-0.023732284198554998,-0.017216181492645737
xgboost,7092f07b,7,0.08489274722675047,0.46067973751556035,-0.01354500537684982,-0.044684136805680605,0.0399339780009506,0.06433001531791793
xgboost,7150e10a,6,0.0531964378207051,0.36191527691562464,-0.011282746821538459,0.006109317297134449,0.009881286236354592,0.041998388061444236
xgboost,71c09041,4,0.011901175667960773,0.08028050745970165,0.046037700160523415,0.042903230378531054,-0.00041993292166994656,0.0066830549834214215
xgboost,71e10186,5,-0.003020895171500873,-0.008031215971280259,-0.004421818036702075,-0.003177398371683604,-0.0037564624155942195,-0.0023421189426352297
xgboost,71f0603f,7,-0.002725527360939018,-0.03424967854141334,-0.004774145509900106,-0.013406822665794753,0.004035062956901846,-0.004808814379053973
xgboost,71f21142,4,0.013113403987119146,0.026174437176770933,-0.009720900400291332,-0.015391096101511764,0.026830158781973396,0.03827357397274081
xgboost,8030618f,7,0.055527830096744404,0.1921985424450041,0.002861370533488783,-0.014716871102439586,0.008671128509484245,0.015511586278891336
xgboost,8191f1d9,5,0.16614813488957636,1.3391993607134212,-0.01826630507711231,0.031466227640560604,0.03627196295359569,0.12198803582799655
xgboost,81e150c1,4,0.004121933427225024,0.03865375729020337,-0.018633980128518357,-0.014323163168888875,-0.01398176347086133,-0.004160749137622793
xgboost,81f1f0fe,6,0.015738337518827316,-0.06029248218939545,0.00473997356585934,-0.00676753091558673,0.01605075734988934,-0.0010629896761034745
xgboost,a02151ac,7,-0.010781489888281797,0.08336711109843332,-0.019800840604107566,-0.02222303406368185,-0.013236137741900657,-0.008450415951278054
xgboost,a1b210fc,7,-0.0007420754933839634,-0.05341805843563622,-0.048760545787286155,-0.04887611474430008,-0.04879825331625295,-0.03032800654759555
xgboost,b0700166,6,0.11324261331170443,0.5549212467650368,0.01757289200313154,0.04960100094545427,0.04259144692575578,0.11129253752825051
