model,outer_fold,subject_id,pm,calibration_low,calibration_high,calibration_extreme,budget_fully_available,logit_calibration_eligible,logit_calibration_applied,logit_offset,equivalent_original_probability_threshold,frozen_median_threshold,evaluation_low,evaluation_high,evaluation_extreme,evaluation_sample_hash,zero_shot_brier,personalized_brier,brier_improvement,zero_shot_log_loss,personalized_log_loss,log_loss_improvement,zero_shot_ece10,personalized_ece10,zero_shot_balanced_accuracy,frozen_median_balanced_accuracy,candidate_balanced_accuracy,delta_balanced_accuracy_vs_median,delta_balanced_accuracy_vs_zero,zero_shot_macro_f1,frozen_median_macro_f1,candidate_macro_f1,delta_macro_f1_vs_median,delta_macro_f1_vs_zero
xgboost,5,0001508a,interest,31,39,70,True,True,True,-1.0246440982110419,0.7358762258064203,0.7080723643302917,21,44,65,3147d2d7f3d401978bf693033a3839371d7a9026364d769dda1da1b696935e02,0.1392843664360857,0.11266323812929821,0.026621128306787478,0.5667756606891756,0.4588086386109239,0.1079670220782517,0.1622820888216106,0.13042978467505803,0.702922077922078,0.7981601731601732,0.7981601731601732,0.0,0.09523809523809523,0.7246660149885957,0.8240601503759399,0.8240601503759399,0.0,0.0993941353873442
lightgbm,5,0001508a,interest,31,39,70,True,True,True,-0.6009278657881059,0.6458685585943428,0.6781410011519993,21,44,65,3147d2d7f3d401978bf693033a3839371d7a9026364d769dda1da1b696935e02,0.12470131523954123,0.10302158395055493,0.0216797312889863,0.383076740162845,0.33455715396444746,0.048519586198397524,0.12428737900651374,0.10893538801025252,0.7267316017316017,0.8582251082251082,0.8582251082251082,0.0,0.13149350649350655,0.7512755102040816,0.8717948717948718,0.8717948717948718,0.0,0.12051936159079024
xgboost,5,0001508a,focus,99,33,132,True,True,True,0.37982655575489255,0.4061687303898046,0.3312538554891944,28,32,60,a6da05ff73ab07be2c1c59108a7c70f81ec913ebe49946db8d35516772651370,0.22511220819903585,0.21475507145302006,0.010357136746015794,0.7655649478255407,0.7075088537062116,0.058056094119329105,0.23455506201911097,0.22642026733179693,0.6763392857142857,0.7388392857142857,0.7075892857142857,-0.03125,0.03125,0.6632996632996633,0.7330367074527253,0.6986607142857143,-0.03437599316701101,0.035361050986051024
lightgbm,5,0001508a,focus,99,33,132,True,True,True,-0.06834075567864356,0.5170785423845121,0.3386180350870343,28,32,60,a6da05ff73ab07be2c1c59108a7c70f81ec913ebe49946db8d35516772651370,0.1907238877023554,0.19406932931497103,-0.0033454416126156294,0.574594946270959,0.5862623291686071,-0.011667382897648126,0.21093400785974414,0.20090687492098663,0.7790178571428572,0.7388392857142857,0.7633928571428572,0.024553571428571508,-0.015625,0.7624434389140271,0.7330367074527253,0.7442455242966752,0.01120881684394992,-0.018197914617351874
xgboost,3,0012905a,attention,61,4,65,True,False,False,0.0,0.5022942870855331,0.5022942870855331,184,143,327,756c5c9f90afedff9199742311a319fe7be24d9fd008935c30eeb4b09dbaff93,0.17091055983139622,0.17091055983139622,0.0,0.571505246063525,0.571505246063525,0.0,0.11924047091336792,0.11924047091336792,0.7455913651565825,0.7455913651565825,0.7455913651565825,0.0,0.0,0.7487868680287456,0.7487868680287456,0.7487868680287456,0.0,0.0
lightgbm,3,0012905a,attention,61,4,65,True,False,False,0.0,0.6988057518042283,0.6988057518042283,184,143,327,756c5c9f90afedff9199742311a319fe7be24d9fd008935c30eeb4b09dbaff93,0.14729603507276717,0.14729603507276717,0.0,0.4582384678977931,0.4582384678977931,0.0,0.06134538879466234,0.06134538879466234,0.7630928853754941,0.7335246275463667,0.7335246275463667,0.0,-0.02956825782912742,0.7634944803958889,0.7367149758454106,0.7367149758454106,0.0,-0.026779504550478284
xgboost,3,0012905a,engagement,112,32,144,True,True,True,2.7223732906481324,0.06166599688671722,0.455684216768077,271,170,441,981fa535735ab847bd4a0f1bc87adc16aa6ba9a1eace7bc27a02acd1002f1bdf,0.16429306079776335,0.1125248201470645,0.05176824065069885,0.7753351800154369,0.43862203071974615,0.33671314929569074,0.17831256889929803,0.10466668181797845,0.7632081614933797,0.7720316909051443,0.8322444106794009,0.06021271977425657,0.06903624918602125,0.7793062200956937,0.7887226571738721,0.8430844304376557,0.05436177326378355,0.06377821034196196
lightgbm,3,0012905a,engagement,112,32,144,True,True,True,1.6467051972712206,0.16155474894213884,0.3626294293560891,271,170,441,981fa535735ab847bd4a0f1bc87adc16aa6ba9a1eace7bc27a02acd1002f1bdf,0.1480430370317998,0.09824225932704823,0.04980077770475157,0.500012009764589,0.3091064948317327,0.19090551493285635,0.17080032853960525,0.0763274366061287,0.7584219665726069,0.7970045582808769,0.8384740612112003,0.041469502930323365,0.08005209463859342,0.7739234449760766,0.8130387677233972,0.8471284161560138,0.034089648432616526,0.07320497117993718
xgboost,3,0012905a,excitement,121,16,137,True,True,True,-4.878540396931838,0.9924493355424263,0.5000900607847143,122,252,374,731df22ebbf080fbe184e012807fb5817afa27a9477c57dd405f26c07bf2a3bb,0.21009534523047396,0.3721621654513267,-0.16206682022085273,1.0109502297591477,2.493192697584569,-1.4822424678254211,0.2285095502940595,0.404784235345941,0.8008066614623992,0.8008066614623992,0.6883619568045798,-0.11244470465781942,-0.11244470465781942,0.7444538132759573,0.7444538132759573,0.5811629576453696,-0.16329085563058765,-0.16329085563058765
lightgbm,3,0012905a,excitement,121,16,137,True,True,True,-2.5804388821904105,0.9295919996762338,0.5007435741868833,122,252,374,731df22ebbf080fbe184e012807fb5817afa27a9477c57dd405f26c07bf2a3bb,0.19752744230593886,0.3372185630334775,-0.13969112072753867,0.6707400380824784,1.447734440188774,-0.7769944021062956,0.2268134327942671,0.382806894800796,0.7967083008066616,0.7947241738225346,0.6940541243819932,-0.10067004944054136,-0.10265417642466834,0.741553009638116,0.7390166603669351,0.5956061897157916,-0.14341047065114354,-0.1459468199223244
xgboost,3,0012905a,stress,123,21,144,True,True,True,1.238313957730556,0.22472960214008633,0.0314113369677215,183,252,435,38ad2ba9b860a3bec66587ca6c8a8705c6500c8c96d0b6dbd288aa0823839a77,0.28032349746122265,0.2590560808450187,0.02126741661620396,1.1465114366172777,0.9615977673254951,0.18491366929178266,0.25666100999382063,0.2288376022747819,0.6717408274785324,0.6707975539942752,0.686312776476711,0.015515222482435753,0.014571948998178597,0.6476725904044975,0.6730616130630606,0.6770943796394486,0.004032766576388069,0.02942178923495109
lightgbm,3,0012905a,stress,123,21,144,True,True,True,0.29998328390410056,0.42556156958200764,0.1219098820607062,183,252,435,38ad2ba9b860a3bec66587ca6c8a8705c6500c8c96d0b6dbd288aa0823839a77,0.22577963172776166,0.21373447761740827,0.012045154110353395,0.6915385651448362,0.6448144468765661,0.046724118268270165,0.17991824469196416,0.15179355178655643,0.7005269320843092,0.6896304970075462,0.6987704918032787,0.009139994795732465,-0.0017564402810305024,0.6778732227488151,0.6927126059611703,0.6804530152572917,-0.012259590703878609,0.0025797925084766193
xgboost,3,0012905a,relaxation,21,54,75,True,True,True,2.586737755174691,0.06999684850450823,0.3879256343934685,104,203,307,e57f352fa35bafbda6870ebf14e1b9acb3f775b1baa817fbe24a7625d95ded67,0.14030393979151745,0.17709543886045928,-0.03679149906894183,0.5208140927887299,0.7845450631940898,-0.26373097040535987,0.11967204065805473,0.1761666587478215,0.782232853353543,0.7777804092459265,0.6848001136794241,-0.09298029556650245,-0.09743273967411892,0.7881092208028092,0.7897914721444133,0.7000574712643678,-0.08973400088004546,-0.08805174953844142
lightgbm,3,0012905a,relaxation,21,54,75,True,True,True,2.2258096100507734,0.09745660149028573,0.3404970257578915,104,203,307,e57f352fa35bafbda6870ebf14e1b9acb3f775b1baa817fbe24a7625d95ded67,0.1309060527918559,0.1785188452305333,-0.04761279243867739,0.40539690983761534,0.6414565514777706,-0.23605964164015525,0.07627220952674867,0.18455141380313303,0.7774251610458507,0.7562050018946571,0.6753031451307313,-0.0809018567639258,-0.10212201591511938,0.783823815073815,0.7703523385695992,0.688508197926623,-0.08184414064297618,-0.09531561714719206
xgboost,3,0012905a,interest,70,65,135,True,True,True,2.148637312852146,0.10445862975512217,0.1910287500359118,227,204,431,470bdaa130941cedb57e10b2c47a2dab9467b1d8ece19f67d3bf4990d41616b3,0.20223713508619043,0.21623395524726965,-0.013996820161079226,0.6561639037208046,0.8030621999304282,-0.14689829620962358,0.15984004015561853,0.16422256117725345,0.7244428608447784,0.7397102012611212,0.7402392675131726,0.0005290662520514022,0.015796406668394214,0.7247943722943723,0.7350866977225673,0.7308604970650681,-0.004226200657499235,0.006066124770695791
lightgbm,3,0012905a,interest,70,65,135,True,True,True,1.4792501630705046,0.1855407044469298,0.2174508445343782,227,204,431,470bdaa130941cedb57e10b2c47a2dab9467b1d8ece19f67d3bf4990d41616b3,0.17583345875106082,0.20280620838464716,-0.02697274963358634,0.5180183514511262,0.6295294094658679,-0.1115110580147417,0.09660659856272787,0.16886977133509368,0.7187958883994126,0.752494169473957,0.7417292908352768,-0.010764878638680142,0.02293340243586428,0.719279201042119,0.7419667348804807,0.7292373413745445,-0.01272939350593616,0.009958140332425591
xgboost,3,0012905a,focus,153,4,157,True,False,False,0.0,0.5287092365324497,0.5287092365324497,130,211,341,9547408fcd139eaec45a82de730c032e3a1a512c209e656365b8fc386d0fdee1,0.23690749992825455,0.23690749992825455,0.0,0.8518179777257158,0.8518179777257158,0.0,0.23493473610629262,0.23493473610629262,0.7382063434196136,0.7358366751731681,0.7358366751731681,0.0,-0.0023696682464454666,0.6979368232754544,0.6950120399036808,0.6950120399036808,0.0,-0.0029247833717735983
lightgbm,3,0012905a,focus,153,4,157,True,False,False,0.0,0.5276182518464541,0.5276182518464541,130,211,341,9547408fcd139eaec45a82de730c032e3a1a512c209e656365b8fc386d0fdee1,0.20522955275509233,0.20522955275509233,0.0,0.6214094958087607,0.6214094958087607,0.0,0.19987430750823737,0.19987430750823737,0.7429456799125045,0.7420524972657674,0.7420524972657674,0.0,-0.0008931826467371007,0.7037715563583193,0.7008771929824561,0.7008771929824561,0.0,-0.0028943633758632403
xgboost,5,0110f12e,attention,62,58,120,True,True,True,-0.40321346120201507,0.5994594832656054,0.5126315318048,132,194,326,de27c37c9a269aca55e18311f3a4b14e9c0989f38008f19c4d59acf7bd86d3aa,0.20816159845985002,0.21494073482637863,-0.006779136366528604,0.7796667160677213,0.8147217925983011,-0.03505507653057982,0.1572444099221232,0.18580059656854353,0.7280927835051547,0.7255154639175257,0.7289909403311465,0.0034754764136207816,0.0008981568259918138,0.7201236263736264,0.717216201016138,0.7159848484848486,-0.0012313525312894757,-0.0041387778887778115
lightgbm,5,0110f12e,attention,62,58,120,True,True,True,-0.49252401493360576,0.620700845247925,0.5715634122146561,132,194,326,de27c37c9a269aca55e18311f3a4b14e9c0989f38008f19c4d59acf7bd86d3aa,0.17961345750314867,0.1942138988251344,-0.014600441321985735,0.5766304152956896,0.626892125514655,-0.050261710218965416,0.11754613092198621,0.15603720108392477,0.7676507341455795,0.757029053420806,0.7517182130584192,-0.005310840362386715,-0.015932521087160256,0.7600076485491658,0.7436402740011558,0.7351996675356076,-0.008440606465548228,-0.02480798101355819
xgboost,5,0110f12e,engagement,57,61,118,True,True,True,-2.2630419294851594,0.9057695835751415,0.6898272484540939,143,190,333,2a1ea53c775c18dc4b8bd55c1828be144e891962ee6a5d557783405fcb989bba,0.10598449949341769,0.10564400278128379,0.0003404967121339031,0.38833937484962133,0.3359117970814555,0.05242757776816581,0.09791616933260547,0.06412674404299756,0.853974972396025,0.8486382039013618,0.8607471475892529,0.01210894368789106,0.006772175193227814,0.8629616514657046,0.8534454505445113,0.8571897840190523,0.0037443334745410617,-0.005771867446652257
lightgbm,5,0110f12e,engagement,57,61,118,True,True,True,-1.1383557852872825,0.7573776313166266,0.676899362771368,143,190,333,2a1ea53c775c18dc4b8bd55c1828be144e891962ee6a5d557783405fcb989bba,0.10635290598729584,0.10075829534328462,0.005594610644011219,0.3419889516783848,0.32185230970052464,0.020136641977860137,0.08091761581631284,0.06721857979101013,0.8364924549135075,0.865218991534781,0.8555207949944792,-0.009698196540301796,0.01902834008097165,0.8458095385090292,0.8673835125448028,0.8536370961834299,-0.01374641636137297,0.007827557674400687
xgboost,5,0110f12e,excitement,60,44,104,True,True,True,-1.579608631895876,0.8291490835689662,0.5010944014065899,146,162,308,4a1ee735f5a95e473f34f5ab4268a0850097486c5bc8da107ee303c756a267a7,0.15368460800425232,0.1552778373902197,-0.0015932293859673707,0.6880959228217737,0.8064083711372212,-0.11831244831544752,0.13965466988323685,0.1383474251318937,0.8138846609166244,0.817309318450871,0.8296127177405717,0.0123033992897007,0.01572805682394729,0.8116883116883117,0.8149331140697638,0.8242009132420092,0.009267799172245406,0.012512601553697489
lightgbm,5,0110f12e,excitement,60,44,104,True,True,True,-1.0291963981648276,0.7367600711974517,0.5074499305494502,146,162,308,4a1ee735f5a95e473f34f5ab4268a0850097486c5bc8da107ee303c756a267a7,0.13512259663872747,0.14566404451440304,-0.01054144787567557,0.4600664477736441,0.5432307156078175,-0.08316426783417347,0.09473356628001701,0.11569197206478742,0.8340943683409436,0.8340943683409436,0.8203534584813124,-0.013740909859631278,-0.013740909859631278,0.8311403508771931,0.8311403508771931,0.8142281197422304,-0.016912231134962652,-0.016912231134962652
xgboost,5,0110f12e,stress,88,33,121,True,True,True,-0.1259405617336078,0.5314435907839635,0.4972505026962608,173,196,369,78cc4de0249588d36844785f653a8a3da27154ecfdc2009b8cf6d6829464882a,0.11813570202399187,0.11760164560166676,0.0005340564223251104,0.48377240720135467,0.4881730911011675,-0.004400683899812852,0.09266275476424382,0.08718499155497059,0.8493423380913059,0.8493423380913059,0.8467913176831426,-0.0025510204081632404,-0.0025510204081632404,0.8480498852873698,0.8480498852873698,0.8453649176205915,-0.002684967666778282,-0.002684967666778282
lightgbm,5,0110f12e,stress,88,33,121,True,True,True,-0.3924486142058916,0.5968720140866964,0.5063844729537847,173,196,369,78cc4de0249588d36844785f653a8a3da27154ecfdc2009b8cf6d6829464882a,0.10400803926366783,0.1058588555061236,-0.001850816242455769,0.36057299752269684,0.3780328126064509,-0.01745981508375405,0.06605337397959704,0.0714919380151895,0.8605638787306831,0.8580128583225197,0.8705910109708623,0.012578152648342611,0.01002713224017926,0.8589532490443987,0.8562629996839652,0.8672086720867209,0.01094567240275568,0.008255423042322185
xgboost,5,0110f12e,relaxation,86,22,108,True,True,True,-3.1123289973086044,0.9573984490582147,0.5092250443994999,121,236,357,3c0f51a9cea8302ecaea698fb4dc5ffdab602ae45b99fca51cfbe573ecb238bf,0.10924138775816686,0.17256102691240258,-0.06331963915423572,0.4107159710091529,0.7913746031334029,-0.38065863212425,0.09750233540806381,0.19636347612441027,0.8554944670121866,0.863758929822104,0.8309287014988094,-0.03283022832329463,-0.02456576551337719,0.8404812288703599,0.8469807118544355,0.7833599488981157,-0.0636207629563198,-0.057121279972244254
lightgbm,5,0110f12e,relaxation,86,22,108,True,True,True,-1.9687259186377144,0.8774741984403451,0.5346340821475227,121,236,357,3c0f51a9cea8302ecaea698fb4dc5ffdab602ae45b99fca51cfbe573ecb238bf,0.09808500831864457,0.15898604297357682,-0.060901034654932254,0.31160186008303453,0.552724744947416,-0.24112288486438144,0.05976933895412148,0.20377391413188567,0.8558096372040902,0.861955455946211,0.8351659896344026,-0.026789466311808452,-0.020643647569687618,0.8472269770626497,0.8510587574181134,0.7887371249440215,-0.06232163247409195,-0.05848985211862823
xgboost,5,0110f12e,interest,48,31,79,True,True,True,-1.5884892716125512,0.830403447993833,0.5598454512655735,87,205,292,6503ba40faff8d93881a19984721146ac4c77a4f907d9ab7c4f93d09a8ee7e18,0.13544389284709613,0.15941320774408035,-0.02396931489698423,0.48398430261519937,0.6582916781396412,-0.1743073755244418,0.10579183185009618,0.1597899698361234,0.8078777684328567,0.8226801233529577,0.8493131483038968,0.02663302495093911,0.04143537987104007,0.792699752193423,0.8026582563640459,0.7990867579908676,-0.0035714983731782723,0.006387005797444556
