pm,target_id,n_folds,participant_macro_balanced_accuracy_mean,participant_macro_balanced_accuracy_std,valid_folds_balanced_accuracy,valid_participants_balanced_accuracy,participant_macro_f1_mean,participant_macro_f1_std,valid_folds_f1,valid_participants_f1,participant_macro_roc_auc_mean,participant_macro_roc_auc_std,valid_folds_roc_auc,valid_participants_roc_auc,participant_macro_pr_auc_mean,participant_macro_pr_auc_std,valid_folds_pr_auc,valid_participants_pr_auc,participant_macro_low_recall_mean,participant_macro_low_recall_std,valid_folds_low_recall,valid_participants_low_recall,participant_macro_high_recall_mean,participant_macro_high_recall_std,valid_folds_high_recall,valid_participants_high_recall,participant_macro_precision_mean,participant_macro_precision_std,valid_folds_precision,valid_participants_precision,participant_macro_accuracy_mean,participant_macro_accuracy_std,valid_folds_accuracy,valid_participants_accuracy
attention,target_attention,5,0.7164667577520358,0.03550181373438206,5,53,0.6841313777470684,0.03950610687288279,5,53,0.8587669250544142,0.009629751446928505,5,53,0.8433855841616857,0.024128349166371174,5,53,0.7354730787080939,0.08268189775587198,5,53,0.6974604367959778,0.12500965300784375,5,53,0.7583326350890014,0.01618983027922603,5,53,0.7197519702411468,0.03780716006883061,5,53
engagement,target_engagement,5,0.7289270804129921,0.01852199344864836,5,53,0.7064865805606866,0.04146323898746808,5,53,0.8543891121926201,0.015759995861239984,5,53,0.8367642677999674,0.05182119586939046,5,53,0.7016345476220589,0.05023335318471371,5,53,0.7562196132039254,0.06464788632650709,5,53,0.7662570139744682,0.02432585482102214,5,53,0.7514580929432134,0.04402930239577996,5,53
excitement,target_excitement,5,0.840492119928548,0.027482687371579495,5,54,0.8120234512975932,0.028184833478469326,5,54,0.942546523845035,0.013632041795670699,5,53,0.9399590446951483,0.008690679039650432,5,53,0.839892653427819,0.04723943111635062,5,54,0.838732237959594,0.06021182762827178,5,53,0.8360607652411816,0.03226689239043812,5,54,0.8472909981509424,0.03283241244899969,5,54
stress,target_stress,5,0.7359171226749165,0.0320695278830718,5,54,0.6888364033004883,0.02641577656147727,5,54,0.8646950812850525,0.026000272927145154,5,53,0.8675033967251402,0.05196410455170333,5,53,0.7059020221823701,0.0696347035284975,5,54,0.7716042385646769,0.06141927576474356,5,53,0.7509824853297211,0.01729413993245816,5,54,0.7265872968981434,0.029588638611157913,5,54
relaxation,target_relaxation,5,0.7916740549470239,0.047692647371076015,5,54,0.7709716420498914,0.04004712605406814,5,54,0.9274650177137964,0.012136480702231289,5,53,0.9245610352214795,0.007839495312231185,5,53,0.7877020850880682,0.10252626605050215,5,54,0.7925293530262791,0.03930940401625192,5,53,0.8351641294487153,0.019718452666415066,5,54,0.8186305841517513,0.028536552004976443,5,54
interest,target_interest,5,0.7360809856358802,0.044036605256523816,5,54,0.6798961919876136,0.0502020554586384,5,54,0.8495354473816997,0.03372550892581453,5,53,0.8470255481671698,0.0520723897586329,5,53,0.7339934398538712,0.03463692271281327,5,54,0.7347667447960319,0.061295500889297735,5,53,0.743841395830592,0.018049818463719523,5,54,0.715319387474079,0.05781190919963833,5,54
focus,target_focus,5,0.7009918184643378,0.014862875362040217,5,54,0.6637182059120065,0.029143691537382003,5,54,0.8153517859536977,0.01358631595499428,5,53,0.7776960052860735,0.02652201248337303,5,53,0.6864766612319528,0.05022016483449892,5,54,0.720071136349101,0.04339944511219591,5,53,0.7092178940829749,0.022079824373475433,5,54,0.728034838703058,0.04219420724945533,5,54
