pm,attention,engagement,excitement,stress,relaxation,interest,focus
attention,1,0.144815352363,0.269472665699,0.0265279793582,0.158243796271,0.306563457507,0.00258022899532
engagement,0.144815352363,1,0.0663602644735,0.208837284309,0.1340939787,0.312449604902,0.152959200129
excitement,0.269472665699,0.0663602644735,1,0.138174194778,0.294573938951,0.431751477034,0.0664379645512
stress,0.0265279793582,0.208837284309,0.138174194778,1,0.55350778565,0.424661711454,0.412616733371
relaxation,0.158243796271,0.1340939787,0.294573938951,0.55350778565,1,0.497817759148,0.233128132845
interest,0.306563457507,0.312449604902,0.431751477034,0.424661711454,0.497817759148,1,0.145035258243
focus,0.00258022899532,0.152959200129,0.0664379645512,0.412616733371,0.233128132845,0.145035258243,1
