model,budget_seconds,strategy,pm,participant_rows,class_eligible,adaptation_applied,delta_balanced_accuracy_mean,delta_macro_f1_mean,delta_low_recall_mean,delta_high_recall_mean,delta_precision_mean,delta_accuracy_mean
xgboost,300,empirical_balanced_accuracy,focus,53,29,29,-0.0093602724952263,-0.03095921866797001,0.044106837330884864,-0.06282738232133744,-0.005438660622336145,-0.03515491088679864
xgboost,300,empirical_balanced_accuracy,interest,52,39,39,-0.0009894744507586589,0.00968560869918633,0.056349091167637914,-0.05832804006915525,0.01192558210243187,0.02195144927713385
xgboost,300,empirical_balanced_accuracy,relaxation,53,31,31,-0.001102636842467854,-0.002432516157065563,0.005570034963037506,-0.007775308647973212,-0.0022058825115005773,-0.003463367417949937
xgboost,300,empirical_balanced_accuracy,stress,52,38,38,0.0037978983607030213,0.010597677949126427,0.06980226262130079,-0.06220646589989475,-0.004744615433603738,0.006479094400411287
xgboost,300,median_midpoint,attention,52,20,19,0.0018151604370426515,0.007016549535923907,0.017069076735730996,-0.013438755861645698,-0.0008949395044760961,0.008378313204984998
xgboost,300,median_midpoint,engagement,53,12,11,0.0009567750260593872,0.0026594521709094555,0.015613459211404187,-0.013699909159285411,-0.00311642756808373,0.00041984373676852085
xgboost,300,median_midpoint,excitement,53,39,38,0.005126700758579947,0.0069295607214719356,0.039018458336017706,-0.028765056818857798,0.004317350074673083,0.005974426006768077
xgboost,300,median_midpoint,focus,53,29,27,0.008035422927385063,0.0039387391670361585,0.033255447046916034,-0.017184601192145925,0.0006733901146789645,-0.0011874999872780545
xgboost,300,median_midpoint,interest,52,39,37,0.004265872867519135,0.014860049090292825,0.02860880471763601,-0.020077058982597745,0.005026817415213525,0.020207292725101852
xgboost,300,median_midpoint,relaxation,53,31,31,0.006162159449686809,0.008449568865197384,0.013702273215741396,-0.0013779543163677758,0.002118200096121447,0.00544765578621847
xgboost,300,median_midpoint,stress,52,38,36,0.02041948311307293,0.02701779561522227,0.03621002527697647,0.004628940949169397,0.0012413224282280427,0.022282392571520464
