model,budget_seconds,budget_role,strategy,strategy_role,subject_id,n_adapted_pm,delta_balanced_accuracy,delta_macro_f1,delta_low_recall,delta_high_recall,delta_precision,delta_accuracy
lightgbm,60,exploratory,median_midpoint,primary,40f0714a,2,-0.014285714285714235,-0.020758905225244706,0.0,-0.028571428571428567,-0.003925120772946877,-0.010000000000000009
lightgbm,60,exploratory,median_midpoint,primary,41e2010c,3,-0.011033010198910342,-0.01246980912272975,0.004566210045662118,-0.026632230443482712,-0.0075662393830305446,-0.012757095845331154
lightgbm,60,exploratory,median_midpoint,primary,50c02189,3,0.03699088318897129,0.10557345637036965,0.25228455999671556,-0.17830279361877296,-0.00017288260137597136,0.03905149864452188
lightgbm,60,exploratory,median_midpoint,primary,6030f0fd,1,-0.050831367585294274,-0.10796799437539817,-0.2774869109947644,0.17582417582417575,-0.08327166470669001,-0.13120567375886527
lightgbm,60,exploratory,median_midpoint,primary,71e10186,1,-0.0013736263736263687,-0.0016027433444806283,0.0,-0.0027472527472527375,-0.0015920495570623805,-0.0016000000000000458
lightgbm,60,exploratory,median_midpoint,primary,71f0603f,1,0.00026595744680857347,-0.011905941281402321,0.07500000000000007,-0.07446808510638292,-0.014342173783663204,-0.016233766233766267
lightgbm,60,exploratory,median_midpoint,primary,81e150c1,1,-0.018108698684271785,-0.02473865459285496,0.06569343065693423,-0.1019108280254778,-0.0036911224160856015,-0.023809523809523836
lightgbm,60,exploratory,median_midpoint,primary,81f1f0fe,1,0.011690935916351286,0.013575661007240392,-0.10687022900763365,0.13025210084033623,-0.01779194546647178,0.006000000000000005
lightgbm,60,exploratory,median_midpoint,primary,a1721173,1,0.005494505494505475,0.006043166545587897,0.0,0.01098901098901095,0.002962180278609061,0.004566210045662156
lightgbm,60,exploratory,median_midpoint,primary,c112918e,1,0.030052820108068756,0.05728858363592404,0.1208791208791209,-0.06077348066298338,0.060611250382051285,0.06055045871559628
lightgbm,60,exploratory,median_midpoint,primary,d0724095,1,0.022076502732240377,0.030184223808493726,0.09333333333333327,-0.049180327868852514,0.00934204886846679,0.02941176470588236
lightgbm,60,exploratory,median_midpoint,primary,d0e2d025,2,-0.0561278822942044,-0.06817166436848726,0.09943605236656594,-0.21169181695497483,-0.017958613656320843,-0.05983768927149108
lightgbm,60,exploratory,median_midpoint,primary,d111e017,1,0.003810222849039757,0.0031350968422536596,-0.01109057301293892,0.018711018711018657,0.0023298519170127374,0.0029354207436399493
lightgbm,60,exploratory,median_midpoint,primary,d142d110,1,0.02564102564102566,0.0366388326585696,0.051282051282051266,0.0,0.02762885262885273,0.016528925619834656
lightgbm,60,exploratory,median_midpoint,primary,f121f1e0,1,0.08085530349478842,0.11478580605136479,-0.0357142857142857,0.19742489270386263,-0.011087837660747502,0.055276381909547756
lightgbm,60,exploratory,median_midpoint,primary,f1a0c120,1,0.10503823661718403,0.09979057472149455,-0.012145748987854255,0.22222222222222227,0.012731375997654948,0.040752351097178674
lightgbm,120,secondary,empirical_balanced_accuracy,sensitivity,0001508a,1,-0.1175579322638145,-0.14679003227418652,0.10606060606060608,-0.3411764705882353,-0.08641580616022237,-0.14569536423841056
lightgbm,120,secondary,empirical_balanced_accuracy,sensitivity,0012905a,2,-0.06446945928937697,-0.09415073006434949,-0.027798369162342462,-0.10114054941641151,-0.011224650915947043,-0.07449089162255335
lightgbm,120,secondary,empirical_balanced_accuracy,sensitivity,0110f12e,2,-0.08311308874522222,-0.10317232909057095,0.11975124378109453,-0.2859774212715389,-0.030963511514808972,-0.09438982070561014
lightgbm,120,secondary,empirical_balanced_accuracy,sensitivity,0182e16c,2,0.13143121217492593,0.19169175146062117,0.06594920361601382,0.19691322073383805,0.0468562841007471,0.16849502002622904
lightgbm,120,secondary,empirical_balanced_accuracy,sensitivity,01c2a0d8,3,0.03460451977401132,-0.01868478400038313,0.23163841807909605,-0.16242937853107345,0.006595409363185071,-0.08361581920903953
lightgbm,120,secondary,empirical_balanced_accuracy,sensitivity,1081b177,2,-0.13714868338156017,-0.1774202982464912,0.3444240944240944,-0.6187214611872146,-0.07896965867367967,-0.15830287295459983
lightgbm,120,secondary,empirical_balanced_accuracy,sensitivity,20201194,3,0.07172226098603755,0.0662280189392354,0.10996781946311457,0.033476702508960544,-0.002701139192450556,0.0424929178470255
lightgbm,120,secondary,empirical_balanced_accuracy,sensitivity,2162c09e,1,0.016052362147140564,0.03022552227567532,0.07861635220125784,-0.046511627906976716,0.026843163782042212,0.03469387755102049
lightgbm,120,secondary,empirical_balanced_accuracy,sensitivity,2182c1cd,5,0.03804340161112354,0.047124589728434876,0.14553124766669157,-0.06944444444444445,0.021042292885983627,0.04696245865810496
lightgbm,120,secondary,empirical_balanced_accuracy,sensitivity,30908049,1,0.045698924731182866,-0.16791716690418235,0.5913978494623656,-0.5,-0.201309780693667,-0.3059273422562141
lightgbm,120,secondary,empirical_balanced_accuracy,sensitivity,30c140ca,3,-0.019981308672060234,-0.0003734936592167208,0.06026970846960059,-0.10023232581372114,-0.0006785347639240621,0.01571267107073752
lightgbm,120,secondary,empirical_balanced_accuracy,sensitivity,40f0714a,3,0.0036310820624546234,0.00033746994116549506,-0.01234567901234566,0.019607843137254905,-0.00897606024911557,-0.0028985507246376643
lightgbm,120,secondary,empirical_balanced_accuracy,sensitivity,41e2010c,3,-0.06799828537764548,-0.034491828139237325,-0.12278360908497894,-0.01321296167031194,-0.00748882760445498,-0.007987110928287411
lightgbm,120,secondary,empirical_balanced_accuracy,sensitivity,5001d09a,2,0.007819722650231065,0.005164393587311911,-0.15254237288135597,0.16818181818181815,-0.00554810640203568,0.0021929824561403577
