model,outer_fold,pm,subject_id,delta_balanced_accuracy_vs_xgboost,delta_f1_vs_xgboost,delta_roc_auc_vs_xgboost,delta_pr_auc_vs_xgboost,delta_low_recall_vs_xgboost,delta_high_recall_vs_xgboost,delta_precision_vs_xgboost,delta_accuracy_vs_xgboost
random_forest,1,attention,30c140ca,0.03469525141111285,0.03860069505054187,0.03365957226451255,0.04243791925754703,-0.0325203252032521,0.1019108280254778,0.06703603603032093,0.04285714285714293
random_forest,1,attention,3110e0c7,0.007352941176470562,0.01455153192871661,-0.16409612625538028,-0.12101644607688844,0.0,0.014705882352941194,0.0019137415982076744,0.009174311926605505
random_forest,1,attention,40f0714a,0.0625,0.0503349813338716,0.07870370370370372,0.04641636824304729,0.125,0.0,0.04706526432669178,0.04347826086956519
random_forest,1,attention,7150e10a,0.014595206282551287,0.02278295874135916,-0.02000109072069367,-0.028672934420816865,-0.05069124423963134,0.0798816568047338,0.032049831240767324,0.028828828828828867
random_forest,1,attention,71f0603f,-0.003775620280474623,-0.007715439976702432,-0.02680890167405825,-0.06721064804366761,0.1035598705501618,-0.11111111111111116,0.0016575143656626379,-0.006319115323854652
random_forest,1,attention,81f1f0fe,-0.08132756132756136,-0.12540736704271643,-0.04834054834054835,-0.10492126418743075,0.02020202020202,-0.1828571428571428,-0.0784211777094157,-0.07506702412868627
random_forest,1,attention,a1721173,-0.09084063526834607,-0.09956521975171762,-0.021221248630887257,-0.05020766651584008,0.21590909090909083,-0.3975903614457831,-0.041173220211253136,-0.08187134502923976
random_forest,1,attention,c060c06a,0.09999999999999998,0.11020761643856725,0.023758573388203086,0.02694170711572952,0.28148148148148144,-0.08148148148148149,0.055761633438963565,0.09999999999999998
random_forest,1,attention,c112918e,-0.00923482849604218,-0.015611221511587281,-0.06507011095620496,-0.04062170662908371,-0.018469656992084388,0.0,-0.006755196332308588,-0.01151315789473678
random_forest,1,attention,d111e017,-0.004273367220948288,-0.003829745204792623,0.0004222589248964459,-0.0027501959111536634,-0.021791767554479424,0.013245033112582738,-0.0024005975782565026,-0.0034642032332563577
random_forest,1,attention,f1d06060,-0.11201466336224697,-0.1733902569236056,-0.016263940520445996,-0.0145706899630893,0.01388888888888895,-0.237918215613383,-0.03674541503618034,-0.18475073313783003
random_forest,1,engagement,30c140ca,-0.0033234383066598205,-0.06890277434849945,-0.00032266391326796207,-0.033903299146520016,-0.36241610738255037,0.35576923076923084,0.05467507762636081,-0.06719367588932801
random_forest,1,engagement,3110e0c7,-0.0535100012740477,-0.051683101026655076,-0.08087017454452805,-0.08863936941679584,-0.14893617021276606,0.041916167664670656,-0.038829151732377554,-0.026819923371647514
random_forest,1,engagement,40f0714a,0.05324675324675321,0.059600614439324184,0.027056277056277223,0.028828158604426002,-0.036363636363636376,0.14285714285714296,-0.008799171842650111,0.04123711340206182
random_forest,1,engagement,7150e10a,0.023035230352303482,0.020284757079368165,-0.01025348668120818,-0.011641718553793257,-0.027100271002709952,0.07317073170731714,-0.029497464848479926,0.0037523452157598447
random_forest,1,engagement,71f0603f,-0.015870187941032676,-0.015547257521906,-0.013438831831202314,-0.008011445816054286,-0.05994550408719346,0.028205128205128216,-0.011156904353359809,-0.014531043593130732
random_forest,1,engagement,81f1f0fe,-0.03061001498501492,-0.0012256044163320157,-0.012315809190809213,0.0015242977160520033,-0.1208791208791209,0.05965909090909094,0.0010388824244246253,0.02257336343115124
random_forest,1,engagement,a1721173,0.006221198156681984,0.002698261852187578,0.0185483870967742,0.008460554665483011,0.02857142857142858,-0.016129032258064613,-0.04437293129976616,-0.0062893081761006275
