outer_fold,pm,target_id,task,condition,lag_seconds,model,estimator,seed,model_params_hash,q_low,q_high,threshold_hash,n_train,n_test,n_test_participants,train_sample_hash,test_sample_hash,matched_target_sample_hash,specification_hash,run_id
1,attention,target_attention,binary_classification,lag_minus_10s,-10,random_forest,RandomForestClassifier,42,10764a881b0350bcd7d69a9dfe40e64dbe28c03e5649c47c6247d17314de711c,0.40640833333333337,0.5057536666666667,40889ed77c7a49254028614aa69c424c2355cbd1baaed50dc47082b1864510f7,15241,4275,11,ac837e636c0af28f8f72f207807d0e14cc379ae7c862995d0eb12a18fdab8cd7,de154b1d153684c0260152372adf02e4ae0c6c7af5b1e8a263cb7029826d6bff,8f0effbe6e21bb783e8a2a320305bd69e1f60a57d53cb1abbdc12f306a852be6,65f655b9d2a47f57817f9ac40baa98385cf3096ccadc659197ce81368b1f0b86,random_forest__fold_01__attention__low_high__65f655b9d2a4
1,engagement,target_engagement,binary_classification,lag_minus_10s,-10,random_forest,RandomForestClassifier,42,10764a881b0350bcd7d69a9dfe40e64dbe28c03e5649c47c6247d17314de711c,0.5800476666666666,0.6855443333333333,7d374ea6928381e1ee56d96473fa6567757f8df43407f81bbd24c398d82e419e,15934,4556,11,2f364e6dd6dac221493bbb8db98c51438d544371f8f0610cd470727d40b9c04b,67f354ee89ea37a61a3ada66cd680b7acca6402cf988484a3f103bbe6a1ea308,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,00ba28c314d458397cc07aefdd89eb2739105e3cf0072ea71934bbc2e09c1634,random_forest__fold_01__engagement__low_high__00ba28c314d4
1,excitement,target_excitement,binary_classification,lag_minus_10s,-10,random_forest,RandomForestClassifier,42,10764a881b0350bcd7d69a9dfe40e64dbe28c03e5649c47c6247d17314de711c,0.198928,0.3627136666666666,f13db677a8358b59d7e0528258ba7ff9bf95b5314741ce39a724cf74d183ddaa,15941,4710,11,46755c1e20e5799d3c8e3c0be4a2f4a3f18856086f1b6fe611eda5fc71a849dd,e43df2977fae51181563a89ebe1901ff393e6b5cba8ed408ad7fc9b9f35a396f,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,6b6a427f81c6708c264ad87e2982efa75a33f001ad5d5c0a0c1af85bb0871772,random_forest__fold_01__excitement__low_high__6b6a427f81c6
1,stress,target_stress,binary_classification,lag_minus_10s,-10,random_forest,RandomForestClassifier,42,10764a881b0350bcd7d69a9dfe40e64dbe28c03e5649c47c6247d17314de711c,0.4029856666666667,0.461275,bc3be14a13e7a39ebeab010389e1c408e3b117b37aecad2317d7955676362ffa,15924,4905,11,5646662f70b23c348f500bc8018a5f316a9dcaa12c89cf89cf99c0ffff37fe88,27316e27e81623be5710188c4bbac0e88bcacf5cadc8bb5a949740e60da30e9c,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,a5e442d41dbeb5caa21be88ad785c6c25c04ad3abede8e0a9564668c0587fcb1,random_forest__fold_01__stress__low_high__a5e442d41dbe
1,relaxation,target_relaxation,binary_classification,lag_minus_10s,-10,random_forest,RandomForestClassifier,42,10764a881b0350bcd7d69a9dfe40e64dbe28c03e5649c47c6247d17314de711c,0.25662399999999996,0.39230799999999993,38b0c29f91cf04074516bcbbf6cf6e9362b22718f7ac54fdbe5adf6de43d5d14,15947,4860,11,80bdf541d6d3f3dc1ccae382c9f7be6cac38ef75bc83ec94bf56735813804e10,c1afb9aa0088b812a4435cbb039e93c3b5ee862be868e1f9fddad73d9039f84e,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,ecfed2a6a6f476d78a8d540e8c0e5eafa5e6fa23d48826835f98e75ae3d29f03,random_forest__fold_01__relaxation__low_high__ecfed2a6a6f4
1,interest,target_interest,binary_classification,lag_minus_10s,-10,random_forest,RandomForestClassifier,42,10764a881b0350bcd7d69a9dfe40e64dbe28c03e5649c47c6247d17314de711c,0.480751,0.5305233333333333,bd39db4c19d9f742cb059d0566f550cf160821412eeb67d3cc0780042dbd7317,15927,4692,11,5ca8d61de646678312a2d530cab97192f5b8c2fdb963f8ebda9a06db87a1f1fc,a0260a8ab39881763eb4e325fd53edc7ec081f92af2727d8594f4df8879b5c2c,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,bb4a476f37723f9d857c715c79831aafb42c95edda53cddd18156caf649b85b0,random_forest__fold_01__interest__low_high__bb4a476f3772
1,focus,target_focus,binary_classification,lag_minus_10s,-10,random_forest,RandomForestClassifier,42,10764a881b0350bcd7d69a9dfe40e64dbe28c03e5649c47c6247d17314de711c,0.368801,0.4654386666666666,7d71bb99b3a559d0df0aa3bf8b195bafc98a0dd046a82039a430a2fa4892b0d0,15934,4745,11,13c8256d6c504d64c2aafbcf8afda590c95af37fa8630180dd05588323d3acaf,381d93223110b7cd5af5a9072e8cc67788a90d37fc4f882691959ddfbd2affcf,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,350d08c6221aa350aac9f192887c61cbfd00c2031aa04a2dc28fc72a592c0af8,random_forest__fold_01__focus__low_high__350d08c6221a
2,attention,target_attention,binary_classification,lag_minus_10s,-10,random_forest,RandomForestClassifier,42,10764a881b0350bcd7d69a9dfe40e64dbe28c03e5649c47c6247d17314de711c,0.409755,0.5089703333333333,05b80bfaecd22890a7e360375d08013c2763762bc191dded6a0bbd75f29be07f,15830,3758,10,268687b6f9714bde2a4a9a04b3242317a7f895633752dd62d71cf4dc00d641ec,b4cc1d71691f8cf260d0ed50d1954ca1777308d68077cd47de86eaee2da12b48,8f0effbe6e21bb783e8a2a320305bd69e1f60a57d53cb1abbdc12f306a852be6,4bc38f438dcb5328dc9f112c6532f43eb5d253d0ec27440a8393ef3156ff5fc2,random_forest__fold_02__attention__low_high__4bc38f438dcb
2,engagement,target_engagement,binary_classification,lag_minus_10s,-10,random_forest,RandomForestClassifier,42,10764a881b0350bcd7d69a9dfe40e64dbe28c03e5649c47c6247d17314de711c,0.572122,0.682083,96921223f37aee74e8576505e04d8d93656b6d22365a8c1e79d1aadc606e3780,16404,3812,10,878c34cf2e7399941af30ed0623103fcf66324e3c84753cfd8725855ef681b41,d1c0c3f41a197b888e61f826c8d257e63f594530cdcdb07e36b2712683c8bfb2,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,68cdc8ef48bfe7e6b8d02ae318b2432795e56f84f72d1e6adf432b28ecbd69fd,random_forest__fold_02__engagement__low_high__68cdc8ef48bf
2,excitement,target_excitement,binary_classification,lag_minus_10s,-10,random_forest,RandomForestClassifier,42,10764a881b0350bcd7d69a9dfe40e64dbe28c03e5649c47c6247d17314de711c,0.194812,0.357134,8cf290447cc76b4db2bf7811a784e38768237f66e910c108ea9bd99fce1b2673,16414,4099,11,8128443e2c1fbe267985083ef437ccfcd31a09508cbb3f5c8359013491a7ae1d,69a9b4d35b261a91db756d8fd8a63d9bfcd811749fe9eb36bb3d4d3db0161c73,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,08cfde3e2b3ea3a6ee9ff40c6ac47a61e714167f3e69de292705bae0af8fc5c6,random_forest__fold_02__excitement__low_high__08cfde3e2b3e
