model,n_fold_pm_rows,participant_macro_balanced_accuracy_mean,participant_macro_balanced_accuracy_std,participant_macro_balanced_accuracy_median,participant_macro_f1_mean,participant_macro_f1_std,participant_macro_f1_median,participant_macro_roc_auc_mean,participant_macro_roc_auc_std,participant_macro_roc_auc_median,participant_macro_pr_auc_mean,participant_macro_pr_auc_std,participant_macro_pr_auc_median,participant_macro_low_recall_mean,participant_macro_low_recall_std,participant_macro_low_recall_median,participant_macro_high_recall_mean,participant_macro_high_recall_std,participant_macro_high_recall_median,participant_macro_precision_mean,participant_macro_precision_std,participant_macro_precision_median,participant_macro_accuracy_mean,participant_macro_accuracy_std,participant_macro_accuracy_median
xgboost,35,0.7500785628308192,0.054967171441077906,0.7396412613633704,0.7151519789793355,0.06173304026382306,0.707206615370653,0.873249984775188,0.04606954061022152,0.8584403701728184,0.8624135545795235,0.06177661006567115,0.8609391357541895,0.741582069730605,0.07889991502807309,0.733533942642648,0.758769108670798,0.07769647141455542,0.7601334842974249,0.7714080455709506,0.04881542974571574,0.7609826916432805,0.7581533097946191,0.061676876360797515,0.750815160796702
lightgbm,35,0.7527800012550088,0.05373574043715627,0.7364324854553795,0.7162814726168047,0.061352543107922146,0.7048021755458224,0.8789774378062091,0.04469911292112177,0.8657026479329438,0.8680745517775199,0.06058790597039236,0.8705063298434947,0.7436193480442388,0.07668415860895256,0.7324978975743103,0.7607130302400698,0.07535364133663983,0.7598160967142364,0.7749273755233115,0.04964121934032047,0.7597273337928581,0.7605476099320665,0.062458499291964634,0.7642353915066589
random_forest,35,0.7436220800027932,0.05551737401361522,0.7293734897763655,0.7082880469080978,0.06569043419605275,0.6932681185349094,0.8598861668214978,0.05362703650078382,0.8487287059115772,0.8461147673365821,0.07179846126571729,0.8445727468420213,0.7390020206772638,0.08640337722707819,0.7518164425296991,0.7518857147292711,0.07261952845372545,0.7514979940601122,0.7643106727582939,0.054504526671459594,0.7529432151792563,0.7485303822342986,0.06295932848644421,0.7384627720960514
