outer_fold,pm,threshold_hash,n_train,n_test,train_sample_hash,test_sample_hash,matched_target_sample_hash,equivalent
1,attention,40889ed77c7a49254028614aa69c424c2355cbd1baaed50dc47082b1864510f7,15241,4275,ac837e636c0af28f8f72f207807d0e14cc379ae7c862995d0eb12a18fdab8cd7,de154b1d153684c0260152372adf02e4ae0c6c7af5b1e8a263cb7029826d6bff,8f0effbe6e21bb783e8a2a320305bd69e1f60a57d53cb1abbdc12f306a852be6,True
1,engagement,7d374ea6928381e1ee56d96473fa6567757f8df43407f81bbd24c398d82e419e,15934,4556,2f364e6dd6dac221493bbb8db98c51438d544371f8f0610cd470727d40b9c04b,67f354ee89ea37a61a3ada66cd680b7acca6402cf988484a3f103bbe6a1ea308,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,True
1,excitement,f13db677a8358b59d7e0528258ba7ff9bf95b5314741ce39a724cf74d183ddaa,15941,4710,46755c1e20e5799d3c8e3c0be4a2f4a3f18856086f1b6fe611eda5fc71a849dd,e43df2977fae51181563a89ebe1901ff393e6b5cba8ed408ad7fc9b9f35a396f,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,True
1,stress,bc3be14a13e7a39ebeab010389e1c408e3b117b37aecad2317d7955676362ffa,15924,4905,5646662f70b23c348f500bc8018a5f316a9dcaa12c89cf89cf99c0ffff37fe88,27316e27e81623be5710188c4bbac0e88bcacf5cadc8bb5a949740e60da30e9c,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,True
1,relaxation,38b0c29f91cf04074516bcbbf6cf6e9362b22718f7ac54fdbe5adf6de43d5d14,15947,4860,80bdf541d6d3f3dc1ccae382c9f7be6cac38ef75bc83ec94bf56735813804e10,c1afb9aa0088b812a4435cbb039e93c3b5ee862be868e1f9fddad73d9039f84e,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,True
1,interest,bd39db4c19d9f742cb059d0566f550cf160821412eeb67d3cc0780042dbd7317,15927,4692,5ca8d61de646678312a2d530cab97192f5b8c2fdb963f8ebda9a06db87a1f1fc,a0260a8ab39881763eb4e325fd53edc7ec081f92af2727d8594f4df8879b5c2c,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,True
1,focus,7d71bb99b3a559d0df0aa3bf8b195bafc98a0dd046a82039a430a2fa4892b0d0,15934,4745,13c8256d6c504d64c2aafbcf8afda590c95af37fa8630180dd05588323d3acaf,381d93223110b7cd5af5a9072e8cc67788a90d37fc4f882691959ddfbd2affcf,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,True
2,attention,05b80bfaecd22890a7e360375d08013c2763762bc191dded6a0bbd75f29be07f,15830,3758,268687b6f9714bde2a4a9a04b3242317a7f895633752dd62d71cf4dc00d641ec,b4cc1d71691f8cf260d0ed50d1954ca1777308d68077cd47de86eaee2da12b48,8f0effbe6e21bb783e8a2a320305bd69e1f60a57d53cb1abbdc12f306a852be6,True
2,engagement,96921223f37aee74e8576505e04d8d93656b6d22365a8c1e79d1aadc606e3780,16404,3812,878c34cf2e7399941af30ed0623103fcf66324e3c84753cfd8725855ef681b41,d1c0c3f41a197b888e61f826c8d257e63f594530cdcdb07e36b2712683c8bfb2,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,True
2,excitement,8cf290447cc76b4db2bf7811a784e38768237f66e910c108ea9bd99fce1b2673,16414,4099,8128443e2c1fbe267985083ef437ccfcd31a09508cbb3f5c8359013491a7ae1d,69a9b4d35b261a91db756d8fd8a63d9bfcd811749fe9eb36bb3d4d3db0161c73,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,True
2,stress,f31c8981acf165f01f66cc01c4f2b2d6927c370f1a035493f12dece19b93ba49,16401,3382,8411423f328c85b008130bdb1aaa959cb4d1107da7454c28e84663819d643639,9f7c772dc29c2a7cf04371237e41ce51d479d7f13fe8c529976221d9e8ecd988,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,True
2,relaxation,7656df549309178054e578a36ceed79ea658632f163e5e508467b9011bdaa756,16429,3787,2e83a1c1225e05466fe0b2b5ffb2b245f458634c7a01109b8b7feb9fe9b3e86e,3cdadc6a3b976a0f38bab596a206e3d1a313ab79436aa9376b434606e095d57f,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,True
2,interest,a6f226a94e84838366c4cf62d5dbcdfa343d2e4317631dc9cd843403760f8fb3,16405,3629,c5c15f44d2e69c783960565a46f87ce02502fa98359739201710edf8deeb3c6c,795933ba013bacfaab9a48983b996ad09255b2e3dd2123782e01fbfe04c31c35,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,True
