model,n_fold_pm_rows,context_windows,earliest_context_offset_seconds,comparison_note,participant_macro_balanced_accuracy_mean,participant_macro_balanced_accuracy_std,participant_macro_balanced_accuracy_median,participant_macro_f1_mean,participant_macro_f1_std,participant_macro_f1_median,participant_macro_roc_auc_mean,participant_macro_roc_auc_std,participant_macro_roc_auc_median,participant_macro_pr_auc_mean,participant_macro_pr_auc_std,participant_macro_pr_auc_median,participant_macro_low_recall_mean,participant_macro_low_recall_std,participant_macro_low_recall_median,participant_macro_high_recall_mean,participant_macro_high_recall_std,participant_macro_high_recall_median,participant_macro_precision_mean,participant_macro_precision_std,participant_macro_precision_median,participant_macro_accuracy_mean,participant_macro_accuracy_std,participant_macro_accuracy_median
torch_shallow_convnet,35,1,-10,screening_only_different_representation_or_context,0.7017386750468947,0.06289539617194076,0.6991929549426951,0.6573262151417101,0.07117908618430892,0.6546270067386988,0.8287829851593579,0.0762232446260756,0.8399183205783644,0.8260315266799353,0.08640357823584635,0.8522512248388593,0.7096480617247763,0.12783663045741941,0.6767143182572959,0.6957998017779089,0.10652298251499569,0.6901495685279118,0.7252289665222336,0.06535703155861859,0.7298214561273217,0.7037020161541166,0.07064905566903418,0.693516402168446
torch_lstm,35,10,-100,screening_only_different_representation_or_context,0.7249154765085043,0.06525347087782393,0.7114655472772659,0.6824313355592605,0.08318242738203066,0.6831250497037928,0.8546731292652631,0.06567270694183347,0.8562851428427176,0.8495456394055632,0.06632757367764304,0.8399418525657564,0.7187737183791625,0.10729444879430432,0.7228969830613969,0.732502569720163,0.08732505755545948,0.7278476897314146,0.7477478653426803,0.06136091242300641,0.7426397632912886,0.7267192035237667,0.08165734334911297,0.7306151397380847
torch_transformer,35,8,-80,screening_only_different_representation_or_context,0.7284593698230748,0.05902686533906394,0.7267110925216174,0.6863174186932101,0.07517065721337432,0.6868780962424645,0.8535600880745995,0.059590490881369584,0.8453418457822305,0.8470300616037528,0.06717425511727057,0.8607118774887184,0.7296667164587266,0.08207985779648984,0.7259571827918236,0.7281990369816407,0.09654070696309404,0.7152321128488709,0.7501948139122067,0.05955985161863152,0.7378448599720213,0.7300873495516074,0.07206778936085616,0.7468282843501565
