model,pm,n_folds,participant_macro_balanced_accuracy_mean,participant_macro_balanced_accuracy_std,participant_macro_f1_mean,participant_macro_f1_std,participant_macro_roc_auc_mean,participant_macro_roc_auc_std,participant_macro_pr_auc_mean,participant_macro_pr_auc_std,participant_macro_low_recall_mean,participant_macro_low_recall_std,participant_macro_high_recall_mean,participant_macro_high_recall_std,participant_macro_precision_mean,participant_macro_precision_std,participant_macro_accuracy_mean,participant_macro_accuracy_std
torch_shallow_convnet,attention,5,0.6375938707219861,0.05981170269315256,0.5928065253003381,0.059545230938442203,0.7554725963541867,0.08777699623318545,0.7414419318229283,0.08964706511598973,0.6793033712850047,0.11597883853510195,0.5958843701589677,0.13803140568237027,0.6735180514917773,0.0556115390124623,0.6370025302758604,0.052750345597420326
torch_shallow_convnet,engagement,5,0.6933899055800555,0.031416039581604494,0.6538195216836059,0.04432640075928838,0.8013044539759557,0.05805824331140388,0.7899608258147942,0.0636469370176121,0.6770899917189538,0.11660450698451866,0.7096898194411575,0.11976067779759536,0.7087134674808548,0.03153717612680959,0.6997941920831867,0.04978526070911962
torch_shallow_convnet,excitement,5,0.7549262903674103,0.0447994160339792,0.7221158975605654,0.07650540649089857,0.9092140404951176,0.011852891273151223,0.9076295686694555,0.016655840005568346,0.754263914474539,0.1611795687006077,0.7709563540167177,0.11500000725886535,0.7809250642431834,0.06593583220442945,0.7564135006906394,0.06921359561129635
torch_shallow_convnet,stress,5,0.7243403947227297,0.06319082245639848,0.6715532910110731,0.044214969909731866,0.8493578492411406,0.041616715339264816,0.8672830401473318,0.03596660214092564,0.761096164284402,0.08810479160331464,0.6828268054362103,0.03390924062546305,0.7453061143044124,0.017184690961538036,0.7170868881743069,0.05191413370002812
torch_shallow_convnet,relaxation,5,0.7613046476545756,0.05046201073533134,0.7361581027763594,0.045777513825627426,0.9112079597090009,0.0136040942368508,0.9082535299732359,0.020809491762891118,0.8152454404653733,0.1306667015079447,0.7036851244991535,0.12120676135741079,0.8095983146940057,0.01566189241430208,0.7859220602623831,0.0429605375064881
torch_shallow_convnet,interest,5,0.6960452292480757,0.044395668662582384,0.6221012884796304,0.04408288870461493,0.8277512686859435,0.034272985102746636,0.8412141581165296,0.056259451105289245,0.6700026055354957,0.15222810170847284,0.7152644107181073,0.10365591839868912,0.7139411435034961,0.023332040881240218,0.6593407262510762,0.05154434862416053
torch_shallow_convnet,focus,5,0.6445703870334298,0.024015783139956205,0.6027288791803984,0.04408377199046665,0.7471727276541612,0.04450530572410475,0.7264376322152716,0.06358295143799987,0.610534944309666,0.037645487557433056,0.6922917281750482,0.05183868071916275,0.6446006099379039,0.039246189169182905,0.6703542153413637,0.05999504059097265
torch_lstm,attention,5,0.6523175624669743,0.044280392278510335,0.5880865843821073,0.054682494758241995,0.7723154284173614,0.052609672108676016,0.768922682484894,0.05251143985133044,0.6164848318630389,0.09688550658661439,0.6792760281731095,0.09399419120378462,0.6855882761729947,0.04420990732080324,0.6438657697009178,0.05153805184837435
torch_lstm,engagement,5,0.6891195617566661,0.02043282207272488,0.651537335056594,0.028258689543617665,0.8306114211949079,0.024313649967512303,0.8056900460021579,0.04493508277066395,0.6613073574716496,0.08531042226181994,0.7169317660416827,0.05385437405681961,0.7229310436316818,0.02173082004586123,0.7088921646432604,0.03643600640558442
torch_lstm,excitement,5,0.8335147599540622,0.0346603429230899,0.8121182153206924,0.04461793660174501,0.9414957771062447,0.016478534780442308,0.9436912655268387,0.015433027802474918,0.8334930066338255,0.06128456356095093,0.8335365132742989,0.06362112371806818,0.8369376428537363,0.03371866415507651,0.8388583477991247,0.04544515252527599
torch_lstm,stress,5,0.7183213560780263,0.019444251481342486,0.6635198541003416,0.03200270057618562,0.8485422306103558,0.030693621985229336,0.8638329272672388,0.030074539577955053,0.7404468183382001,0.08648236971762474,0.7052490143303024,0.0908291875758335,0.729961544319225,0.023067114668881474,0.7009525999192359,0.040364395521487274
torch_lstm,relaxation,5,0.7479659869830696,0.02514855294296035,0.7274383562259035,0.027587247326100715,0.8983202166794694,0.008967917233153436,0.8944369083604915,0.012101416523877409,0.7611667244200245,0.10020659097047445,0.7347652495461146,0.0900617636529994,0.7948621833179369,0.022579726506868607,0.7711278255345534,0.01616912462010593
torch_lstm,interest,5,0.6653844516729535,0.028576953014824883,0.6056194294278255,0.05672218558443344,0.7852810844043949,0.03822988247127652,0.7994182449520182,0.04189699737541688,0.6638545760593458,0.08000481612712457,0.6768528172481308,0.03365656927075024,0.6859776137567,0.022179136786279908,0.6347882289225085,0.052480158525940485
torch_lstm,focus,5,0.7677846566477775,0.020216554893768304,0.7286995744013594,0.040735392673380146,0.9061457464441066,0.01269171034938535,0.8708274012453037,0.038517973139356364,0.7546627138680528,0.10788822794773102,0.780906599427502,0.08486822277174245,0.7779767533464879,0.04776370406284671,0.7885494881467662,0.051462700463361585
torch_transformer,attention,5,0.6461256511872471,0.03395831580009422,0.5804854862731124,0.03935813821451701,0.7647898981857327,0.038118024584422525,0.7576894276781939,0.041680384700327026,0.6750324573112298,0.06643911863385381,0.6107834366635853,0.08564730851913788,0.6650825826895406,0.044130861129098135,0.6406696373150592,0.04823643000059785
torch_transformer,engagement,5,0.7028293052826252,0.02037372134532412,0.6710530422372716,0.04691713041119004,0.8306351693998769,0.010555922665084877,0.8015938677339468,0.05616349832904376,0.676915687415766,0.09055413850657841,0.7287429231494844,0.08658812520639218,0.7479045942920027,0.030667715055447756,0.7252447775664324,0.04834705791510637
torch_transformer,excitement,5,0.8250496940904636,0.02927662457126951,0.8001174379645735,0.0379170827223719,0.938375584553625,0.01571852501173297,0.939161815374289,0.014397216460844414,0.8180356345627322,0.05449510224639163,0.832063753618195,0.0723370670092463,0.8309762023917443,0.024635085186415752,0.8294206090606984,0.038381261877584
torch_transformer,stress,5,0.7156905150539885,0.03445889614592701,0.6521801054633579,0.025929626836239627,0.8366265161265947,0.022174717055399255,0.8531381478651523,0.0447475206065201,0.722735271872202,0.0897898369854713,0.708645758235775,0.07905093196817824,0.7218427270178679,0.021139165989224593,0.6887801686785884,0.04113343803956607
torch_transformer,relaxation,5,0.7676173685908634,0.028626872236088716,0.7503601680923916,0.03008474501154186,0.903304650731466,0.010914934833936909,0.9006170616211351,0.01630600630400487,0.7717507011572136,0.061214504306566414,0.7634840360245132,0.05568698658503631,0.8149863133087173,0.020456133768905604,0.7832520009538037,0.021495745786889075
torch_transformer,interest,5,0.704522157025895,0.02818444538601293,0.6571298763224106,0.05361208762691775,0.8165965867390949,0.041219674052724656,0.8297122378490277,0.04150267246317147,0.7213881201499005,0.05598619909630789,0.7007206988610944,0.05384964871377639,0.72220572047043,0.015491091301875664,0.6829408251779515,0.054221220445389746
torch_transformer,focus,5,0.7373808975304399,0.022266312141930693,0.6928958144993527,0.014433646361146774,0.8845922107858067,0.014139241376520107,0.8472978731045243,0.04567849851328297,0.7218091427420423,0.08561564427867807,0.7529526523188375,0.11154921224586727,0.748365557215144,0.033137878882179214,0.7603034281087179,0.031183787029295286
