temporal_model,tabular_model,outer_fold,pm,delta_balanced_accuracy_temporal_minus_tabular,delta_f1_temporal_minus_tabular,delta_roc_auc_temporal_minus_tabular,delta_pr_auc_temporal_minus_tabular,delta_low_recall_temporal_minus_tabular,delta_high_recall_temporal_minus_tabular,delta_precision_temporal_minus_tabular,delta_accuracy_temporal_minus_tabular
torch_lstm,xgboost,5,excitement,0.009163467142562998,0.01096927516334456,-0.00832817145725584,-0.011497792229282378,0.020240090721176385,-0.0019131564360503894,0.002053929809419097,0.012999311602474917
torch_lstm,xgboost,5,stress,-0.015873724723485916,-0.021213802164946838,-0.03857749442256253,-0.007776495593075916,-0.001863285492325617,-0.02988416395464588,-0.0577125978048163,-0.023975968382356827
torch_lstm,xgboost,5,relaxation,-0.04473815626435795,-0.06278582670200739,-0.02455422297855181,-0.022125660215885024,-0.009660910368791908,-0.079815402159924,-0.03672146832711487,-0.05346228865284086
torch_lstm,xgboost,5,interest,-0.05517787360702875,-0.0861174788246497,-0.037038939196174514,-0.026022030819933817,-0.07593210921413085,-0.043599284292120455,-0.026831798264654316,-0.08252414811526698
torch_lstm,xgboost,5,focus,0.06675180330907404,0.04159845319885891,0.10777544333089706,0.1127113482713552,-0.01877508882882828,0.15227869544697625,0.031146909435615378,0.04117423731180325
torch_transformer,lightgbm,1,attention,-0.08442404338937792,-0.11663443258647388,-0.11490820090034504,-0.08976776252651741,0.03254813588372141,-0.20139622266247703,-0.07967874841544975,-0.10491261592949441
torch_transformer,lightgbm,1,engagement,-0.040904983667347516,-0.04885593027389501,-0.04684058648087297,-0.03214667199504906,-0.06403664385806918,-0.017773323476625635,-0.011661805417392479,-0.016420134329579672
torch_transformer,lightgbm,1,excitement,-0.0060282889546006135,-0.0012783984571715923,-0.003353261270061525,0.005495233819019618,0.027216779420956794,-0.03927335733015791,0.0036865583068199648,-0.015279768879490896
torch_transformer,lightgbm,1,stress,0.0065003616672147935,0.0011156320279098741,-0.018558608822528577,-0.016929573011959964,0.05271592161090177,-0.039715198276472075,-0.0341335780319415,0.0018222531036112821
torch_transformer,lightgbm,1,relaxation,0.007167845202964762,0.011258253275152064,-0.0054848788529267,-0.010751447916715895,0.011282895679440186,0.0030527947264895605,-0.002579689700888066,0.005514779153373506
