model,n_fold_pm_rows,context_windows,participant_macro_balanced_accuracy_mean,participant_macro_balanced_accuracy_std,participant_macro_balanced_accuracy_median,participant_macro_f1_mean,participant_macro_f1_std,participant_macro_f1_median,participant_macro_roc_auc_mean,participant_macro_roc_auc_std,participant_macro_roc_auc_median,participant_macro_pr_auc_mean,participant_macro_pr_auc_std,participant_macro_pr_auc_median,participant_macro_low_recall_mean,participant_macro_low_recall_std,participant_macro_low_recall_median,participant_macro_high_recall_mean,participant_macro_high_recall_std,participant_macro_high_recall_median,participant_macro_precision_mean,participant_macro_precision_std,participant_macro_precision_median,participant_macro_accuracy_mean,participant_macro_accuracy_std,participant_macro_accuracy_median
lightgbm,35,1,0.7499550524326329,0.054909337132539156,0.7369624349038253,0.7178706269566871,0.06640492674579301,0.7133007491915581,0.8821158008576654,0.04494540688733044,0.8682650414051671,0.868055760547518,0.06238269958901304,0.8678205889739221,0.7427793578287604,0.07449199992367335,0.7391231532627736,0.7602101778715219,0.07999522066366159,0.7798974848060063,0.7775912672439339,0.051345877303543654,0.7627493463307168,0.75976380590952,0.06327125367063206,0.7549088280021788
xgboost,35,1,0.7502241937255136,0.05165180430615868,0.7404037804206244,0.7183645860946697,0.06272913998238057,0.7152496718034289,0.8782391741684427,0.04408569610764837,0.8668406353614982,0.8615605065818165,0.0630803230725094,0.8614323443671215,0.7396168045008271,0.07483334306718656,0.7312136007007627,0.7632902504085333,0.07346327826546177,0.7712086049766164,0.7759592601647017,0.04957709150002581,0.7584300888467158,0.7595948563992657,0.06060106618505957,0.7628921940529924
torch_lstm,35,10,0.7249154765085043,0.06525347087782393,0.7114655472772659,0.6824313355592605,0.08318242738203066,0.6831250497037928,0.8546731292652631,0.06567270694183347,0.8562851428427176,0.8495456394055632,0.06632757367764304,0.8399418525657564,0.7187737183791625,0.10729444879430432,0.7228969830613969,0.732502569720163,0.08732505755545948,0.7278476897314146,0.7477478653426803,0.06136091242300641,0.7426397632912886,0.7267192035237667,0.08165734334911297,0.7306151397380847
torch_transformer,35,8,0.7253120434300613,0.0653804155971712,0.7167584112969825,0.6812925134813506,0.08180916448127432,0.6762897172999917,0.8486207658536676,0.0677044453887325,0.8522222373497483,0.8377549782444336,0.07358576935251633,0.854752308621047,0.7311550821386303,0.09987804653025413,0.7300656966536365,0.7197066617740575,0.10111227967599212,0.7175319669718171,0.7455326880030004,0.06545982737638777,0.7332820006778991,0.725353720490545,0.07971615966105494,0.7261558976984243
