model,input_family,context_windows,input_rule,execution_source,outer_fold,pm,n_train,n_test,n_train_subjects,n_test_subjects,threshold_hash,q_low,q_high,train_target_sample_hash,test_target_sample_hash,train_input_endpoint_hash,test_input_endpoint_hash,specification_hash,run_id
torch_lstm,sequence_features,10,371-feature windows EEG(t-100s)..EEG(t-10s),reference_neural_robustness,4,relaxation,16165,3682,43,10,a5f608b86ee9061617d36b1743ad601431f955dde27218d8d7829829dc257d43,0.259306,0.403906,4bb7f060af57a0e0240f59d45cd8a8dd1e385f00aebc7ac14648cebd2b8c1398,0607a52e628a5a6fb2b73c6d5c76f5bf40c9d8ac0740b245964ac36cdadda198,d7b3a7b7997f8867906c53ee1e7a0a238e229e2f47ab23e565136cb3c07d2425,c8bfda4357d23e5542cfad44a5fedadbcf949625f4eabcad1d0c633cd5b9b24d,a029686e2d5e693e11809b7b246dbbed1e559fda37871700d556ddea10db29c8,torch_lstm__fold_04__relaxation__a029686e2d5e
torch_transformer,sequence_features,8,last 8 of common history: EEG(t-80s)..EEG(t-10s),new_training,4,relaxation,16165,3682,43,10,a5f608b86ee9061617d36b1743ad601431f955dde27218d8d7829829dc257d43,0.259306,0.403906,4bb7f060af57a0e0240f59d45cd8a8dd1e385f00aebc7ac14648cebd2b8c1398,0607a52e628a5a6fb2b73c6d5c76f5bf40c9d8ac0740b245964ac36cdadda198,d7b3a7b7997f8867906c53ee1e7a0a238e229e2f47ab23e565136cb3c07d2425,c8bfda4357d23e5542cfad44a5fedadbcf949625f4eabcad1d0c633cd5b9b24d,78561a5c280f47b0df896f3dcc1229c7183a18d43a9c5f5ae366a61eb57e9e52,torch_transformer__fold_04__relaxation__78561a5c280f
lightgbm,single_window_features,1,371 features at EEG(t-10s),new_training,4,interest,15959,3818,43,10,c4110c8ecd8ea7c835b8ea571bfeb6ad10ec8d02d986bd0e2c5b9a70c03e3241,0.4793536666666667,0.5286693333333333,5d2923d470ffaa6748a718e99a152912381719ae4ee5d010039063a0544cb306,81cfac1457b11c78cc03cfb00c7174d056a22f0c8cbaeb1b27a2cbbe9bf756c7,e5e91848a87cbeff3e6556e34dc338bc9818cc9eabbe5fb21b5f656dace18471,a73e32db033cff7f6401e281a7e8720fbe4caf0f2321e5867c1770368b2d1b7f,afc7da08624ba1c3747c445f9b9657711764f2ba721467b4028f4bdb58ef93d6,lightgbm__fold_04__interest__afc7da08624b
xgboost,single_window_features,1,371 features at EEG(t-10s),new_training,4,interest,15959,3818,43,10,c4110c8ecd8ea7c835b8ea571bfeb6ad10ec8d02d986bd0e2c5b9a70c03e3241,0.4793536666666667,0.5286693333333333,5d2923d470ffaa6748a718e99a152912381719ae4ee5d010039063a0544cb306,81cfac1457b11c78cc03cfb00c7174d056a22f0c8cbaeb1b27a2cbbe9bf756c7,e5e91848a87cbeff3e6556e34dc338bc9818cc9eabbe5fb21b5f656dace18471,a73e32db033cff7f6401e281a7e8720fbe4caf0f2321e5867c1770368b2d1b7f,b4c318f5ac8116c64b0d702b7ccfa2875d79f86d4bec2a144c4179466cefb5a5,xgboost__fold_04__interest__b4c318f5ac81
torch_lstm,sequence_features,10,371-feature windows EEG(t-100s)..EEG(t-10s),reference_neural_robustness,4,interest,15959,3818,43,10,c4110c8ecd8ea7c835b8ea571bfeb6ad10ec8d02d986bd0e2c5b9a70c03e3241,0.4793536666666667,0.5286693333333333,5d2923d470ffaa6748a718e99a152912381719ae4ee5d010039063a0544cb306,81cfac1457b11c78cc03cfb00c7174d056a22f0c8cbaeb1b27a2cbbe9bf756c7,e5e91848a87cbeff3e6556e34dc338bc9818cc9eabbe5fb21b5f656dace18471,a73e32db033cff7f6401e281a7e8720fbe4caf0f2321e5867c1770368b2d1b7f,561f7904dc037846c9c7c777b26a48320abc0bf5a292fb8be6ac066289179c6a,torch_lstm__fold_04__interest__561f7904dc03
torch_transformer,sequence_features,8,last 8 of common history: EEG(t-80s)..EEG(t-10s),new_training,4,interest,15959,3818,43,10,c4110c8ecd8ea7c835b8ea571bfeb6ad10ec8d02d986bd0e2c5b9a70c03e3241,0.4793536666666667,0.5286693333333333,5d2923d470ffaa6748a718e99a152912381719ae4ee5d010039063a0544cb306,81cfac1457b11c78cc03cfb00c7174d056a22f0c8cbaeb1b27a2cbbe9bf756c7,e5e91848a87cbeff3e6556e34dc338bc9818cc9eabbe5fb21b5f656dace18471,a73e32db033cff7f6401e281a7e8720fbe4caf0f2321e5867c1770368b2d1b7f,6d7bde9ee9f9b531ce9c2dd0d12f55c5733968a2b882d85b0fb907f40560b636,torch_transformer__fold_04__interest__6d7bde9ee9f9
lightgbm,single_window_features,1,371 features at EEG(t-10s),new_training,4,focus,15990,3603,43,10,bcbf7453b6c3768b7f4446c03f027f80397a24d1f0f54a82146b8fe6d4a67bdf,0.365106,0.46338333333333337,51f4c135e03d133dd3e4f09f27fbf49dadbcc59145e6b3e65abba4cfc6643b11,10634789403fe9879056ab2934a7f114987d6407dc097e00635256063ab2dc9c,8a1dd2e940097de663ed4311b845b7bca7cd79fe11dd5c0a7b48a04cf1df4fb8,6ddcbabc54e603c78ca8beb477f979929d7fc00e139e50341b54537e33a61135,8fb5fc3083113b0330bd6b562f69e75754b296f574a31195a75f5ded1c252a41,lightgbm__fold_04__focus__8fb5fc308311
xgboost,single_window_features,1,371 features at EEG(t-10s),new_training,4,focus,15990,3603,43,10,bcbf7453b6c3768b7f4446c03f027f80397a24d1f0f54a82146b8fe6d4a67bdf,0.365106,0.46338333333333337,51f4c135e03d133dd3e4f09f27fbf49dadbcc59145e6b3e65abba4cfc6643b11,10634789403fe9879056ab2934a7f114987d6407dc097e00635256063ab2dc9c,8a1dd2e940097de663ed4311b845b7bca7cd79fe11dd5c0a7b48a04cf1df4fb8,6ddcbabc54e603c78ca8beb477f979929d7fc00e139e50341b54537e33a61135,78788234dd8fdc122fbc47c8fa176263bda16b95b906889e1b8e10024d7e8021,xgboost__fold_04__focus__78788234dd8f
torch_lstm,sequence_features,10,371-feature windows EEG(t-100s)..EEG(t-10s),reference_neural_robustness,4,focus,15990,3603,43,10,bcbf7453b6c3768b7f4446c03f027f80397a24d1f0f54a82146b8fe6d4a67bdf,0.365106,0.46338333333333337,51f4c135e03d133dd3e4f09f27fbf49dadbcc59145e6b3e65abba4cfc6643b11,10634789403fe9879056ab2934a7f114987d6407dc097e00635256063ab2dc9c,8a1dd2e940097de663ed4311b845b7bca7cd79fe11dd5c0a7b48a04cf1df4fb8,6ddcbabc54e603c78ca8beb477f979929d7fc00e139e50341b54537e33a61135,726fa72d0a7ffac5a6986323bb32bed903411e93c35283649840c4e8fd2ee7ff,torch_lstm__fold_04__focus__726fa72d0a7f
torch_transformer,sequence_features,8,last 8 of common history: EEG(t-80s)..EEG(t-10s),new_training,4,focus,15990,3603,43,10,bcbf7453b6c3768b7f4446c03f027f80397a24d1f0f54a82146b8fe6d4a67bdf,0.365106,0.46338333333333337,51f4c135e03d133dd3e4f09f27fbf49dadbcc59145e6b3e65abba4cfc6643b11,10634789403fe9879056ab2934a7f114987d6407dc097e00635256063ab2dc9c,8a1dd2e940097de663ed4311b845b7bca7cd79fe11dd5c0a7b48a04cf1df4fb8,6ddcbabc54e603c78ca8beb477f979929d7fc00e139e50341b54537e33a61135,12980ee0fea3635351812ecf4e0af1a0b61f78d9a5d428d3cdfdc2c8b9663833,torch_transformer__fold_04__focus__12980ee0fea3
lightgbm,single_window_features,1,371 features at EEG(t-10s),new_training,5,attention,15382,3675,42,11,2f86d0e8c455b4f21168d0123e21d085836ed48610878f7e823e2e4fab91a878,0.408289,0.5064886666666667,2a7d1e561effeaad487783807e5137aa5a627e054dc3eb15d17293065b140333,4fa85c929baa151bcb1726093e4db9f1dfa05d8e7622177c07323ed7e59c039d,a273368325c296317c15debce95a30fbf459bd4ae72940a617e6fbe66d1abc16,e80f5f22dab88504b4f67d03c1b2687b07c3593031928c167454943badc1b717,1e4f872dbab56ba3acf407ec29d0e2bfc4ec96a5b4908293e77254a927c054a5,lightgbm__fold_05__attention__1e4f872dbab5
xgboost,single_window_features,1,371 features at EEG(t-10s),new_training,5,attention,15382,3675,42,11,2f86d0e8c455b4f21168d0123e21d085836ed48610878f7e823e2e4fab91a878,0.408289,0.5064886666666667,2a7d1e561effeaad487783807e5137aa5a627e054dc3eb15d17293065b140333,4fa85c929baa151bcb1726093e4db9f1dfa05d8e7622177c07323ed7e59c039d,a273368325c296317c15debce95a30fbf459bd4ae72940a617e6fbe66d1abc16,e80f5f22dab88504b4f67d03c1b2687b07c3593031928c167454943badc1b717,0f9ce2d0c25105f9d7d26d01e88d70e20bfe22d66f91dd01f1eb1b8036b35fed,xgboost__fold_05__attention__0f9ce2d0c251
torch_lstm,sequence_features,10,371-feature windows EEG(t-100s)..EEG(t-10s),reference_neural_robustness,5,attention,15382,3675,42,11,2f86d0e8c455b4f21168d0123e21d085836ed48610878f7e823e2e4fab91a878,0.408289,0.5064886666666667,2a7d1e561effeaad487783807e5137aa5a627e054dc3eb15d17293065b140333,4fa85c929baa151bcb1726093e4db9f1dfa05d8e7622177c07323ed7e59c039d,a273368325c296317c15debce95a30fbf459bd4ae72940a617e6fbe66d1abc16,e80f5f22dab88504b4f67d03c1b2687b07c3593031928c167454943badc1b717,25a910c47bc6228a1271ba3a2c8707ec236294a59e069b0f1f57f459fa9f32b9,torch_lstm__fold_05__attention__25a910c47bc6
torch_transformer,sequence_features,8,last 8 of common history: EEG(t-80s)..EEG(t-10s),new_training,5,attention,15382,3675,42,11,2f86d0e8c455b4f21168d0123e21d085836ed48610878f7e823e2e4fab91a878,0.408289,0.5064886666666667,2a7d1e561effeaad487783807e5137aa5a627e054dc3eb15d17293065b140333,4fa85c929baa151bcb1726093e4db9f1dfa05d8e7622177c07323ed7e59c039d,a273368325c296317c15debce95a30fbf459bd4ae72940a617e6fbe66d1abc16,e80f5f22dab88504b4f67d03c1b2687b07c3593031928c167454943badc1b717,5fc0023d3a05c359603fd7b6bd8eb83d8c79428d81b8106c3ef1b74e323b8d63,torch_transformer__fold_05__attention__5fc0023d3a05
lightgbm,single_window_features,1,371 features at EEG(t-10s),new_training,5,engagement,15793,4056,42,11,fd819c1414dbc4a71c004ee2f223fde45d23c5e1a929dfb308519bdd81be5cc8,0.5812246666666667,0.6832976666666667,7b80cca84fb23604d37d1b190926c28cf9e422d406b04f037e535cc0d2d0c557,87f1575b35a3ffd9a6bb7985b6b487620e2f123c50f9b68dfc18f29615d95b79,9b32b2cd03c230388808f95c52b7daf741decbc9be074a4f058c3b25f46b0629,5acd71adbc2a88743e53e77afa7bb1c463f4d7b00b762131054bc391ee5cef29,94ce5371fdc1d3af5f846bc4cc1b26bfe87aef51e5e3ef5e9d050445fdc4adcd,lightgbm__fold_05__engagement__94ce5371fdc1
xgboost,single_window_features,1,371 features at EEG(t-10s),new_training,5,engagement,15793,4056,42,11,fd819c1414dbc4a71c004ee2f223fde45d23c5e1a929dfb308519bdd81be5cc8,0.5812246666666667,0.6832976666666667,7b80cca84fb23604d37d1b190926c28cf9e422d406b04f037e535cc0d2d0c557,87f1575b35a3ffd9a6bb7985b6b487620e2f123c50f9b68dfc18f29615d95b79,9b32b2cd03c230388808f95c52b7daf741decbc9be074a4f058c3b25f46b0629,5acd71adbc2a88743e53e77afa7bb1c463f4d7b00b762131054bc391ee5cef29,cc95c8e1e038e1c300cb6de98b166e5ce9117762dc2fe81b538d35449526bd72,xgboost__fold_05__engagement__cc95c8e1e038
torch_lstm,sequence_features,10,371-feature windows EEG(t-100s)..EEG(t-10s),reference_neural_robustness,5,engagement,15793,4056,42,11,fd819c1414dbc4a71c004ee2f223fde45d23c5e1a929dfb308519bdd81be5cc8,0.5812246666666667,0.6832976666666667,7b80cca84fb23604d37d1b190926c28cf9e422d406b04f037e535cc0d2d0c557,87f1575b35a3ffd9a6bb7985b6b487620e2f123c50f9b68dfc18f29615d95b79,9b32b2cd03c230388808f95c52b7daf741decbc9be074a4f058c3b25f46b0629,5acd71adbc2a88743e53e77afa7bb1c463f4d7b00b762131054bc391ee5cef29,10253ee7e1792255bd6c48868a498cc34d0f3381d5e559b0038b64598c9afdae,torch_lstm__fold_05__engagement__10253ee7e179
torch_transformer,sequence_features,8,last 8 of common history: EEG(t-80s)..EEG(t-10s),new_training,5,engagement,15793,4056,42,11,fd819c1414dbc4a71c004ee2f223fde45d23c5e1a929dfb308519bdd81be5cc8,0.5812246666666667,0.6832976666666667,7b80cca84fb23604d37d1b190926c28cf9e422d406b04f037e535cc0d2d0c557,87f1575b35a3ffd9a6bb7985b6b487620e2f123c50f9b68dfc18f29615d95b79,9b32b2cd03c230388808f95c52b7daf741decbc9be074a4f058c3b25f46b0629,5acd71adbc2a88743e53e77afa7bb1c463f4d7b00b762131054bc391ee5cef29,ebad483b9def617def2fb72f9d9a38334e071a087380a60c39379a4a0e440579,torch_transformer__fold_05__engagement__ebad483b9def
lightgbm,single_window_features,1,371 features at EEG(t-10s),new_training,5,excitement,15980,3746,42,11,e83502bfb241187a15bbe01f2a2df8a2dcfd119976c2c47635b1515b95a004a5,0.196205,0.361125,3317afb7154742b2ef541993dcd9841fa46ec0823b0a58a5437692fd31f8d8e9,1aba059c379a70f8e0e66ec883a401f537fcc5489d79ec87d78a15173d3f7613,914222f44b0c63b6b4e0552899df314d51aeb4980f27a1672a600aa692fddb58,679d17955dec14a690ed9ede2385903667feffe54a346a32a024110fb439f9a8,93ce096bcd283367525d6fd5b36ee8ab1d3370462fe778867e903cc0f4149865,lightgbm__fold_05__excitement__93ce096bcd28
xgboost,single_window_features,1,371 features at EEG(t-10s),new_training,5,excitement,15980,3746,42,11,e83502bfb241187a15bbe01f2a2df8a2dcfd119976c2c47635b1515b95a004a5,0.196205,0.361125,3317afb7154742b2ef541993dcd9841fa46ec0823b0a58a5437692fd31f8d8e9,1aba059c379a70f8e0e66ec883a401f537fcc5489d79ec87d78a15173d3f7613,914222f44b0c63b6b4e0552899df314d51aeb4980f27a1672a600aa692fddb58,679d17955dec14a690ed9ede2385903667feffe54a346a32a024110fb439f9a8,ac62f37f12a24ce09c11d061c537164ee0e311893f71bfb05bb19e73807cb70f,xgboost__fold_05__excitement__ac62f37f12a2
torch_lstm,sequence_features,10,371-feature windows EEG(t-100s)..EEG(t-10s),reference_neural_robustness,5,excitement,15980,3746,42,11,e83502bfb241187a15bbe01f2a2df8a2dcfd119976c2c47635b1515b95a004a5,0.196205,0.361125,3317afb7154742b2ef541993dcd9841fa46ec0823b0a58a5437692fd31f8d8e9,1aba059c379a70f8e0e66ec883a401f537fcc5489d79ec87d78a15173d3f7613,914222f44b0c63b6b4e0552899df314d51aeb4980f27a1672a600aa692fddb58,679d17955dec14a690ed9ede2385903667feffe54a346a32a024110fb439f9a8,d52f8eeda1509473cb5add8007523b0815e2c2456587b7d8e05a7eb99feb65a0,torch_lstm__fold_05__excitement__d52f8eeda150
torch_transformer,sequence_features,8,last 8 of common history: EEG(t-80s)..EEG(t-10s),new_training,5,excitement,15980,3746,42,11,e83502bfb241187a15bbe01f2a2df8a2dcfd119976c2c47635b1515b95a004a5,0.196205,0.361125,3317afb7154742b2ef541993dcd9841fa46ec0823b0a58a5437692fd31f8d8e9,1aba059c379a70f8e0e66ec883a401f537fcc5489d79ec87d78a15173d3f7613,914222f44b0c63b6b4e0552899df314d51aeb4980f27a1672a600aa692fddb58,679d17955dec14a690ed9ede2385903667feffe54a346a32a024110fb439f9a8,10d2125dd93e80e87c48c10910663b6ef3952a2c07cead95c825464befc5edee,torch_transformer__fold_05__excitement__10d2125dd93e
lightgbm,single_window_features,1,371 features at EEG(t-10s),new_training,5,stress,15836,4168,42,11,f830184ed4091f7c1893003e91eb518737ed15e8b5f007bf46bf30fa7cf23cdb,0.4021516666666667,0.4598493333333333,a943e3acf45ad3900024ab76367962b8f0c2a1147f783e65c6a1decc00c41e3b,a345bbdf52f4a3d0ffd186f0934f8c664b2f7f3b385058a1cb7010bbe0cbd901,f53f395b8aed3fcc6b60b7642cf32cac9cedb5e388f9eaac4acdd6b30e33c884,8b2e0f9ddda74527036b9cbbf6ab83e6817d71f0d3cc47bc921161849f3efe31,d66bd2a9ea0cb87f6888b24ee8e3a10b8399c36abfeceaedac647c0e23f71d7e,lightgbm__fold_05__stress__d66bd2a9ea0c
xgboost,single_window_features,1,371 features at EEG(t-10s),new_training,5,stress,15836,4168,42,11,f830184ed4091f7c1893003e91eb518737ed15e8b5f007bf46bf30fa7cf23cdb,0.4021516666666667,0.4598493333333333,a943e3acf45ad3900024ab76367962b8f0c2a1147f783e65c6a1decc00c41e3b,a345bbdf52f4a3d0ffd186f0934f8c664b2f7f3b385058a1cb7010bbe0cbd901,f53f395b8aed3fcc6b60b7642cf32cac9cedb5e388f9eaac4acdd6b30e33c884,8b2e0f9ddda74527036b9cbbf6ab83e6817d71f0d3cc47bc921161849f3efe31,00b3d0b8294ccb8b296899ec576ee467934de23940810462e51b1cff1e38904d,xgboost__fold_05__stress__00b3d0b8294c
torch_lstm,sequence_features,10,371-feature windows EEG(t-100s)..EEG(t-10s),reference_neural_robustness,5,stress,15836,4168,42,11,f830184ed4091f7c1893003e91eb518737ed15e8b5f007bf46bf30fa7cf23cdb,0.4021516666666667,0.4598493333333333,a943e3acf45ad3900024ab76367962b8f0c2a1147f783e65c6a1decc00c41e3b,a345bbdf52f4a3d0ffd186f0934f8c664b2f7f3b385058a1cb7010bbe0cbd901,f53f395b8aed3fcc6b60b7642cf32cac9cedb5e388f9eaac4acdd6b30e33c884,8b2e0f9ddda74527036b9cbbf6ab83e6817d71f0d3cc47bc921161849f3efe31,8b9ae4668e60995dcd5cf4d5abf8c557cb698f7279a2fc96c520ae81d6a1f236,torch_lstm__fold_05__stress__8b9ae4668e60
torch_transformer,sequence_features,8,last 8 of common history: EEG(t-80s)..EEG(t-10s),new_training,5,stress,15836,4168,42,11,f830184ed4091f7c1893003e91eb518737ed15e8b5f007bf46bf30fa7cf23cdb,0.4021516666666667,0.4598493333333333,a943e3acf45ad3900024ab76367962b8f0c2a1147f783e65c6a1decc00c41e3b,a345bbdf52f4a3d0ffd186f0934f8c664b2f7f3b385058a1cb7010bbe0cbd901,f53f395b8aed3fcc6b60b7642cf32cac9cedb5e388f9eaac4acdd6b30e33c884,8b2e0f9ddda74527036b9cbbf6ab83e6817d71f0d3cc47bc921161849f3efe31,072e560a433365f56c260d046e1c572a9ccd62bae2de90657ef1a509c5b09f92,torch_transformer__fold_05__stress__072e560a4333
lightgbm,single_window_features,1,371 features at EEG(t-10s),new_training,5,relaxation,16049,4059,42,11,a638d2bb20962ed825b35f176b1a4005a8304bfc01370b1636d6ce403b817a6a,0.256914,0.3938446666666667,fa3860f8e9536c99113588b43cf85d95914a028e33991597f8f7abe69e33df27,b84237f379d804a62498ef2950f960f1fcb39d08de9989d97f60fe6e558070b3,d07e81edd1058ff00a1635b776149e1c450603a62ebded465881b28b9adc88f3,8810fcade6d6ba771422a9262e2ea0c3121fd5701cb5cb3c3e937e359b2c5c78,8f643ada5ec3fec113905ff0b725835c38ee1a561ed0586e36b7d354b0404fc1,lightgbm__fold_05__relaxation__8f643ada5ec3
xgboost,single_window_features,1,371 features at EEG(t-10s),new_training,5,relaxation,16049,4059,42,11,a638d2bb20962ed825b35f176b1a4005a8304bfc01370b1636d6ce403b817a6a,0.256914,0.3938446666666667,fa3860f8e9536c99113588b43cf85d95914a028e33991597f8f7abe69e33df27,b84237f379d804a62498ef2950f960f1fcb39d08de9989d97f60fe6e558070b3,d07e81edd1058ff00a1635b776149e1c450603a62ebded465881b28b9adc88f3,8810fcade6d6ba771422a9262e2ea0c3121fd5701cb5cb3c3e937e359b2c5c78,f001e907b734e15053607d8232506582a4e9b2423d36ae13a03f61c2f34290bc,xgboost__fold_05__relaxation__f001e907b734
torch_lstm,sequence_features,10,371-feature windows EEG(t-100s)..EEG(t-10s),reference_neural_robustness,5,relaxation,16049,4059,42,11,a638d2bb20962ed825b35f176b1a4005a8304bfc01370b1636d6ce403b817a6a,0.256914,0.3938446666666667,fa3860f8e9536c99113588b43cf85d95914a028e33991597f8f7abe69e33df27,b84237f379d804a62498ef2950f960f1fcb39d08de9989d97f60fe6e558070b3,d07e81edd1058ff00a1635b776149e1c450603a62ebded465881b28b9adc88f3,8810fcade6d6ba771422a9262e2ea0c3121fd5701cb5cb3c3e937e359b2c5c78,e63036751be9cbb106ef6f4c634cff4a26624dc121a9343ceec0ecc040b10997,torch_lstm__fold_05__relaxation__e63036751be9
torch_transformer,sequence_features,8,last 8 of common history: EEG(t-80s)..EEG(t-10s),new_training,5,relaxation,16049,4059,42,11,a638d2bb20962ed825b35f176b1a4005a8304bfc01370b1636d6ce403b817a6a,0.256914,0.3938446666666667,fa3860f8e9536c99113588b43cf85d95914a028e33991597f8f7abe69e33df27,b84237f379d804a62498ef2950f960f1fcb39d08de9989d97f60fe6e558070b3,d07e81edd1058ff00a1635b776149e1c450603a62ebded465881b28b9adc88f3,8810fcade6d6ba771422a9262e2ea0c3121fd5701cb5cb3c3e937e359b2c5c78,9f2ba0caa85acee321e82aeaf9c12491b3efa8ee7334bbbf6ef94aa13cca3001,torch_transformer__fold_05__relaxation__9f2ba0caa85a
lightgbm,single_window_features,1,371 features at EEG(t-10s),new_training,5,interest,15858,3595,42,11,df1d4a9a8a978ee0e3bcd8ba820067c8fc420fd3f5f02f8d6b88fa7e63bbaac1,0.47852433333333333,0.529754,e7f5119708193b9b96b45280d7040f6cee1ed6730ed51a0ed6d7880f0b7b3393,2dc745550248ca3d5d0222c38887456f0048575f473a10d25c07881a35c99224,c324e73f6748a6c907022dd21d8b8300f84fef6e6020a3d49597acf766f2845c,bb1a3a69cff6fda38205fd9aed18ab63a4f69d23da16db634813c2f014f16fcf,ca695badcdc0f871815718ed26c39017da4b4b945dbedb8b617294595a05af29,lightgbm__fold_05__interest__ca695badcdc0
xgboost,single_window_features,1,371 features at EEG(t-10s),new_training,5,interest,15858,3595,42,11,df1d4a9a8a978ee0e3bcd8ba820067c8fc420fd3f5f02f8d6b88fa7e63bbaac1,0.47852433333333333,0.529754,e7f5119708193b9b96b45280d7040f6cee1ed6730ed51a0ed6d7880f0b7b3393,2dc745550248ca3d5d0222c38887456f0048575f473a10d25c07881a35c99224,c324e73f6748a6c907022dd21d8b8300f84fef6e6020a3d49597acf766f2845c,bb1a3a69cff6fda38205fd9aed18ab63a4f69d23da16db634813c2f014f16fcf,dcca45f36322ef6b37ac0be0cb38d18130ad495d9bc01be4dc9e8437e846c852,xgboost__fold_05__interest__dcca45f36322
torch_lstm,sequence_features,10,371-feature windows EEG(t-100s)..EEG(t-10s),reference_neural_robustness,5,interest,15858,3595,42,11,df1d4a9a8a978ee0e3bcd8ba820067c8fc420fd3f5f02f8d6b88fa7e63bbaac1,0.47852433333333333,0.529754,e7f5119708193b9b96b45280d7040f6cee1ed6730ed51a0ed6d7880f0b7b3393,2dc745550248ca3d5d0222c38887456f0048575f473a10d25c07881a35c99224,c324e73f6748a6c907022dd21d8b8300f84fef6e6020a3d49597acf766f2845c,bb1a3a69cff6fda38205fd9aed18ab63a4f69d23da16db634813c2f014f16fcf,e258716b35af81fce6626c98eca84d6af7d99c2923f5d6c51e88ea9113b2cac9,torch_lstm__fold_05__interest__e258716b35af
torch_transformer,sequence_features,8,last 8 of common history: EEG(t-80s)..EEG(t-10s),new_training,5,interest,15858,3595,42,11,df1d4a9a8a978ee0e3bcd8ba820067c8fc420fd3f5f02f8d6b88fa7e63bbaac1,0.47852433333333333,0.529754,e7f5119708193b9b96b45280d7040f6cee1ed6730ed51a0ed6d7880f0b7b3393,2dc745550248ca3d5d0222c38887456f0048575f473a10d25c07881a35c99224,c324e73f6748a6c907022dd21d8b8300f84fef6e6020a3d49597acf766f2845c,bb1a3a69cff6fda38205fd9aed18ab63a4f69d23da16db634813c2f014f16fcf,909ff93ae4ba7e0f1c460fa7c4dda454e6135f6b475ade973f3f029bf99136ce,torch_transformer__fold_05__interest__909ff93ae4ba
lightgbm,single_window_features,1,371 features at EEG(t-10s),new_training,5,focus,15923,3573,42,11,d1251c35ecfb7ccdf7b0d7e26663f103bb7b943f31fc83ad844ddbed424760ce,0.367191,0.4675926666666666,a36d91760f027769f11697e1a86b46081646285107362e31bca8fc08923eade2,875f2b7a50dd4534041a99400f9fbf92de681283546d716970f7db6b706110e8,4204ec11b51e357bd497021363341a70d1bf172711edb1a875aa7bfd2159abd4,772bf6ae41bce579ce6641c9226ed5c88dccab3b3a29d9ea2d361bae5103980a,f7b954769d6b8983a38925e30aa7f0696793f2a8656f3d41b35072ce89ac148d,lightgbm__fold_05__focus__f7b954769d6b
xgboost,single_window_features,1,371 features at EEG(t-10s),new_training,5,focus,15923,3573,42,11,d1251c35ecfb7ccdf7b0d7e26663f103bb7b943f31fc83ad844ddbed424760ce,0.367191,0.4675926666666666,a36d91760f027769f11697e1a86b46081646285107362e31bca8fc08923eade2,875f2b7a50dd4534041a99400f9fbf92de681283546d716970f7db6b706110e8,4204ec11b51e357bd497021363341a70d1bf172711edb1a875aa7bfd2159abd4,772bf6ae41bce579ce6641c9226ed5c88dccab3b3a29d9ea2d361bae5103980a,666d779da44ff9da861cabde3a2ccf6ea53b1c814992e6425d072ca3e37aa083,xgboost__fold_05__focus__666d779da44f
torch_lstm,sequence_features,10,371-feature windows EEG(t-100s)..EEG(t-10s),reference_neural_robustness,5,focus,15923,3573,42,11,d1251c35ecfb7ccdf7b0d7e26663f103bb7b943f31fc83ad844ddbed424760ce,0.367191,0.4675926666666666,a36d91760f027769f11697e1a86b46081646285107362e31bca8fc08923eade2,875f2b7a50dd4534041a99400f9fbf92de681283546d716970f7db6b706110e8,4204ec11b51e357bd497021363341a70d1bf172711edb1a875aa7bfd2159abd4,772bf6ae41bce579ce6641c9226ed5c88dccab3b3a29d9ea2d361bae5103980a,a58e73645da5733e600b30444f5dfe3dc09be39b52dfb51e6ebbcf4fdcff5d26,torch_lstm__fold_05__focus__a58e73645da5
torch_transformer,sequence_features,8,last 8 of common history: EEG(t-80s)..EEG(t-10s),new_training,5,focus,15923,3573,42,11,d1251c35ecfb7ccdf7b0d7e26663f103bb7b943f31fc83ad844ddbed424760ce,0.367191,0.4675926666666666,a36d91760f027769f11697e1a86b46081646285107362e31bca8fc08923eade2,875f2b7a50dd4534041a99400f9fbf92de681283546d716970f7db6b706110e8,4204ec11b51e357bd497021363341a70d1bf172711edb1a875aa7bfd2159abd4,772bf6ae41bce579ce6641c9226ed5c88dccab3b3a29d9ea2d361bae5103980a,a0eafa43320e41acba9b70845d3aaa513fcf89ecd56a17e239d9ef18db8bb306,torch_transformer__fold_05__focus__a0eafa43320e
