model,input_family,context_windows,input_rule,execution_source,outer_fold,pm,n_train,n_test,n_train_subjects,n_test_subjects,threshold_hash,q_low,q_high,train_target_sample_hash,test_target_sample_hash,train_input_endpoint_hash,test_input_endpoint_hash,specification_hash,run_id
torch_lstm,sequence_features,10,371-feature windows EEG(t-100s)..EEG(t-10s),reference_neural_robustness,3,focus,15827,3942,42,11,0c7365a9f52cdea7f5ff5bd02009df8f23994345c83ad7446745f49568834711,0.3654773333333333,0.46152833333333326,e857e23b1935c1e52f585a2a261ecc7c50a49fe68a5475c6477aef12a6dd8acd,9ee4ca4fe8e2dc5be45091a4578e257a77fabc02e7794a1ed43c4e76bef6bcae,aa440aa5313daca0f59324bb101a020d573c95894f83e27d09d9d69f392f99fe,e8d4247107a69319c54dd4107c1298eff455837ccdedcf1c9e09253195b1d282,38c416abb92ce59f6906498645f60ec54a7852a0b099bf6776d9ef3aece81b91,torch_lstm__fold_03__focus__38c416abb92c
torch_transformer,sequence_features,8,last 8 of common history: EEG(t-80s)..EEG(t-10s),new_training,3,focus,15827,3942,42,11,0c7365a9f52cdea7f5ff5bd02009df8f23994345c83ad7446745f49568834711,0.3654773333333333,0.46152833333333326,e857e23b1935c1e52f585a2a261ecc7c50a49fe68a5475c6477aef12a6dd8acd,9ee4ca4fe8e2dc5be45091a4578e257a77fabc02e7794a1ed43c4e76bef6bcae,aa440aa5313daca0f59324bb101a020d573c95894f83e27d09d9d69f392f99fe,e8d4247107a69319c54dd4107c1298eff455837ccdedcf1c9e09253195b1d282,3d5a8f23672b8c1a91dfe945018e1481901f93fc6f6606d5a2798d128dbbc188,torch_transformer__fold_03__focus__3d5a8f23672b
lightgbm,single_window_features,1,371 features at EEG(t-10s),new_training,4,attention,15424,3721,43,10,4404f50166a53629f16deb855b5dbdefb3de95149a3eec0eec91689ced0aaf96,0.410495,0.5079906666666667,8e8db65694da89070a8ad83f541c0fa54a532b27772c67f507b75cd39c4f5136,3363fe63940bfdae1e6c39fbde63aa5e2fd269416e488d7d7dab747cee9fb83f,16dd64eafb04d2335f4d152420eb67262eb5629a8a0c8bd2270c0ca42f78aacb,bb10ba444fb273e4186f209e1cfb451a887e5e794b42efaea10c11a6363fa2c8,0ea09e1045ea480c467b1cf50e99fb9a8d49d117cbd8708b9d466269949f0cea,lightgbm__fold_04__attention__0ea09e1045ea
xgboost,single_window_features,1,371 features at EEG(t-10s),new_training,4,attention,15424,3721,43,10,4404f50166a53629f16deb855b5dbdefb3de95149a3eec0eec91689ced0aaf96,0.410495,0.5079906666666667,8e8db65694da89070a8ad83f541c0fa54a532b27772c67f507b75cd39c4f5136,3363fe63940bfdae1e6c39fbde63aa5e2fd269416e488d7d7dab747cee9fb83f,16dd64eafb04d2335f4d152420eb67262eb5629a8a0c8bd2270c0ca42f78aacb,bb10ba444fb273e4186f209e1cfb451a887e5e794b42efaea10c11a6363fa2c8,908fc8605043dc00252b675ab36a903e05a504dbd5314d9123627f47c190ae44,xgboost__fold_04__attention__908fc8605043
torch_lstm,sequence_features,10,371-feature windows EEG(t-100s)..EEG(t-10s),reference_neural_robustness,4,attention,15424,3721,43,10,4404f50166a53629f16deb855b5dbdefb3de95149a3eec0eec91689ced0aaf96,0.410495,0.5079906666666667,8e8db65694da89070a8ad83f541c0fa54a532b27772c67f507b75cd39c4f5136,3363fe63940bfdae1e6c39fbde63aa5e2fd269416e488d7d7dab747cee9fb83f,16dd64eafb04d2335f4d152420eb67262eb5629a8a0c8bd2270c0ca42f78aacb,bb10ba444fb273e4186f209e1cfb451a887e5e794b42efaea10c11a6363fa2c8,83c52ae4f4a4d31a9f3dad7ef62ccec1add674da37ecbf30ab54720eb1a8f0f5,torch_lstm__fold_04__attention__83c52ae4f4a4
torch_transformer,sequence_features,8,last 8 of common history: EEG(t-80s)..EEG(t-10s),new_training,4,attention,15424,3721,43,10,4404f50166a53629f16deb855b5dbdefb3de95149a3eec0eec91689ced0aaf96,0.410495,0.5079906666666667,8e8db65694da89070a8ad83f541c0fa54a532b27772c67f507b75cd39c4f5136,3363fe63940bfdae1e6c39fbde63aa5e2fd269416e488d7d7dab747cee9fb83f,16dd64eafb04d2335f4d152420eb67262eb5629a8a0c8bd2270c0ca42f78aacb,bb10ba444fb273e4186f209e1cfb451a887e5e794b42efaea10c11a6363fa2c8,9449c7a8ece22144193370bd77f39b0494e074c65b8c287278e1d24c12dda6c6,torch_transformer__fold_04__attention__9449c7a8ece2
lightgbm,single_window_features,1,371 features at EEG(t-10s),new_training,4,engagement,15902,3534,43,10,4efdbb963e4328ea609ced0c43ea79ec54863afcf8b6dc3b54e36caff30afe16,0.5819393333333334,0.6880023333333333,039b017512d677764271315885a4370f1b19c53cfb167cb1a23856ff2c760cbb,74a7be6068b3a0cb731706cba451d25deb8d18b89033e4532d8dc75dea9c989d,238724f5eaf250a12a0b8434cf082ff1c72ed726ab7a934c89f615d7670da2f3,989efbd569bfc04aef6386e059b0aba3d29aec9988597cf1299a61b1897ae7f8,3d70bc9f29ca37f8ae56caae6e8b69f27ad3120cc29d5d4da99286b176afee26,lightgbm__fold_04__engagement__3d70bc9f29ca
xgboost,single_window_features,1,371 features at EEG(t-10s),new_training,4,engagement,15902,3534,43,10,4efdbb963e4328ea609ced0c43ea79ec54863afcf8b6dc3b54e36caff30afe16,0.5819393333333334,0.6880023333333333,039b017512d677764271315885a4370f1b19c53cfb167cb1a23856ff2c760cbb,74a7be6068b3a0cb731706cba451d25deb8d18b89033e4532d8dc75dea9c989d,238724f5eaf250a12a0b8434cf082ff1c72ed726ab7a934c89f615d7670da2f3,989efbd569bfc04aef6386e059b0aba3d29aec9988597cf1299a61b1897ae7f8,79f9235ad1e57c562913445e9b17eb538ecde7bb7970042710fe2180f4822d26,xgboost__fold_04__engagement__79f9235ad1e5
torch_lstm,sequence_features,10,371-feature windows EEG(t-100s)..EEG(t-10s),reference_neural_robustness,4,engagement,15902,3534,43,10,4efdbb963e4328ea609ced0c43ea79ec54863afcf8b6dc3b54e36caff30afe16,0.5819393333333334,0.6880023333333333,039b017512d677764271315885a4370f1b19c53cfb167cb1a23856ff2c760cbb,74a7be6068b3a0cb731706cba451d25deb8d18b89033e4532d8dc75dea9c989d,238724f5eaf250a12a0b8434cf082ff1c72ed726ab7a934c89f615d7670da2f3,989efbd569bfc04aef6386e059b0aba3d29aec9988597cf1299a61b1897ae7f8,33442a1ceafa787f33ff90d4e5ce9cf740da73914245ae771da458f6a7dfd067,torch_lstm__fold_04__engagement__33442a1ceafa
torch_transformer,sequence_features,8,last 8 of common history: EEG(t-80s)..EEG(t-10s),new_training,4,engagement,15902,3534,43,10,4efdbb963e4328ea609ced0c43ea79ec54863afcf8b6dc3b54e36caff30afe16,0.5819393333333334,0.6880023333333333,039b017512d677764271315885a4370f1b19c53cfb167cb1a23856ff2c760cbb,74a7be6068b3a0cb731706cba451d25deb8d18b89033e4532d8dc75dea9c989d,238724f5eaf250a12a0b8434cf082ff1c72ed726ab7a934c89f615d7670da2f3,989efbd569bfc04aef6386e059b0aba3d29aec9988597cf1299a61b1897ae7f8,df4f52e2b4381a4584a5bf4c821d5b3ae1bb823ad3913d517075116e4a2085d0,torch_transformer__fold_04__engagement__df4f52e2b438
