method,feature_set,analysis_unit,seeds,subjects,balanced_accuracy_mean,balanced_accuracy_seed_std,macro_f1_mean,macro_f1_seed_std,ordinal_mae_mean,ordinal_mae_seed_std,severe_error_rate_mean,severe_error_rate_seed_std,subject_analysis
categorical Transformer,EEG+POW sequence,window sequence,7|42|123,53,0.36679659771443845,0.001809660886752842,0.3688195278755872,0.0009438321131793879,0.9846782353918416,0.0043231015658929854,0.2519369308141906,0.0030367281806272686,53 subject-level paired units
pure CORN,EEG+POW sequence,window sequence,7|42|123,53,0.3640402764613964,0.004769189948172697,0.3690298707340882,0.004159371987491774,0.9475707187410327,0.010748364515175086,0.23185024088925135,0.004937925933802337,53 subject-level paired units
auxiliary CORN policy,EEG+POW sequence,window sequence,7|42|123,53,0.3650218163913766,0.0014146941732074841,0.36796109028597085,0.0008472490195755972,0.9799208614622507,0.007776161726815462,0.24948272997749688,0.003903110356097169,53 subject-level paired units
