target_id,processed_column,source,upstream_field_available,n_windows,missing_rate,minimum,maximum,mean,std,q10,q25,median,q75,q90,unique_values,n_subjects,n_source_records,n_logical_records
activity_interest,PM.Interest.IsActive__mean,Old_EEG,True,24208,0.00325276897105,0,1,0.892019167217,0.310362613065,0,1,1,1,1,2,44,49,48
activity_interest,PM.Interest.IsActive__mean,gpn_data,True,26916,0.00388586654824,0,1,0.885941447466,0.317888272055,0,1,1,1,1,2,42,71,71
activity_focus,PM.Focus.IsActive__mean,all,True,51124,0.00358618539019,0,1,0.887723965261,0.315708847479,0,1,1,1,1,2,55,120,86
activity_focus,PM.Focus.IsActive__mean,Old_EEG,True,24208,0.00325276897105,0,1,0.890532055519,0.312231870156,0,1,1,1,1,2,44,49,48
activity_focus,PM.Focus.IsActive__mean,gpn_data,True,26916,0.00388586654824,0,1,0.885198395007,0.318788287357,0,1,1,1,1,2,42,71,71
target_main,target_main,all,True,45384,0.115459577454,0.004077,0.991193,0.430048260742,0.124996575895,0.2864125,0.346808,0.414493,0.501859,0.5988121,29360,54,119,86
target_main,target_main,Old_EEG,True,21558,0.112364639519,0.004077,0.991193,0.433588003572,0.129357131084,0.2847475,0.34817225,0.418782,0.50698075,0.6066377,21061,43,48,48
target_main,target_main,gpn_data,True,23826,0.118241367825,0.033242,0.991193,0.426845466486,0.120829063387,0.2876535,0.345637,0.410904,0.49744675,0.592483,22592,42,71,71
label_q5,label_q5,all,True,45384,0.115459577454,0,4,1.99988982901,1.41429925029,0,1,2,3,4,5,54,119,86
label_q5,label_q5,Old_EEG,True,21558,0.112364639519,0,4,2.03669171537,1.42476874977,0,1,2,3,4,5,43,48,48
label_q5,label_q5,gpn_data,True,23826,0.118241367825,0,4,1.96659111895,1.40395792696,0,1,2,3,4,5,42,71,71
activity_multilabel_group,,all,True,0,,,,,,,,,,,0,0,0,0
activity_multilabel_group,,Old_EEG,True,0,,,,,,,,,,,0,0,0,0
activity_multilabel_group,,gpn_data,True,0,,,,,,,,,,,0,0,0,0
pm_long_term_excitement_candidate,,all,True,0,,,,,,,,,,,0,0,0,0
pm_long_term_excitement_candidate,,Old_EEG,True,0,,,,,,,,,,,0,0,0,0
pm_long_term_excitement_candidate,,gpn_data,True,0,,,,,,,,,,,0,0,0,0
label_attention_q3_candidate,,all,True,0,,,,,,,,,,,0,0,0,0
label_attention_q3_candidate,,Old_EEG,True,0,,,,,,,,,,,0,0,0,0
label_attention_q3_candidate,,gpn_data,True,0,,,,,,,,,,,0,0,0,0
label_attention_q5_candidate,,all,True,0,,,,,,,,,,,0,0,0,0
label_attention_q5_candidate,,Old_EEG,True,0,,,,,,,,,,,0,0,0,0
label_attention_q5_candidate,,gpn_data,True,0,,,,,,,,,,,0,0,0,0
label_engagement_q3_candidate,,all,True,0,,,,,,,,,,,0,0,0,0
label_engagement_q3_candidate,,Old_EEG,True,0,,,,,,,,,,,0,0,0,0
label_engagement_q3_candidate,,gpn_data,True,0,,,,,,,,,,,0,0,0,0
label_engagement_q5_candidate,,all,True,0,,,,,,,,,,,0,0,0,0
label_engagement_q5_candidate,,Old_EEG,True,0,,,,,,,,,,,0,0,0,0
label_engagement_q5_candidate,,gpn_data,True,0,,,,,,,,,,,0,0,0,0
label_excitement_q3_candidate,,all,True,0,,,,,,,,,,,0,0,0,0
label_excitement_q3_candidate,,Old_EEG,True,0,,,,,,,,,,,0,0,0,0
label_excitement_q3_candidate,,gpn_data,True,0,,,,,,,,,,,0,0,0,0
label_excitement_q5_candidate,,all,True,0,,,,,,,,,,,0,0,0,0
label_excitement_q5_candidate,,Old_EEG,True,0,,,,,,,,,,,0,0,0,0
label_excitement_q5_candidate,,gpn_data,True,0,,,,,,,,,,,0,0,0,0
label_stress_q3_candidate,,all,True,0,,,,,,,,,,,0,0,0,0
label_stress_q3_candidate,,Old_EEG,True,0,,,,,,,,,,,0,0,0,0
label_stress_q3_candidate,,gpn_data,True,0,,,,,,,,,,,0,0,0,0
label_stress_q5_candidate,,all,True,0,,,,,,,,,,,0,0,0,0
label_stress_q5_candidate,,Old_EEG,True,0,,,,,,,,,,,0,0,0,0
label_stress_q5_candidate,,gpn_data,True,0,,,,,,,,,,,0,0,0,0
label_relaxation_q3_candidate,,all,True,0,,,,,,,,,,,0,0,0,0
label_relaxation_q3_candidate,,Old_EEG,True,0,,,,,,,,,,,0,0,0,0
label_relaxation_q3_candidate,,gpn_data,True,0,,,,,,,,,,,0,0,0,0
label_relaxation_q5_candidate,,all,True,0,,,,,,,,,,,0,0,0,0
label_relaxation_q5_candidate,,Old_EEG,True,0,,,,,,,,,,,0,0,0,0
label_relaxation_q5_candidate,,gpn_data,True,0,,,,,,,,,,,0,0,0,0
label_interest_q3_candidate,,all,True,0,,,,,,,,,,,0,0,0,0
label_interest_q3_candidate,,Old_EEG,True,0,,,,,,,,,,,0,0,0,0
label_interest_q3_candidate,,gpn_data,True,0,,,,,,,,,,,0,0,0,0
label_interest_q5_candidate,,all,True,0,,,,,,,,,,,0,0,0,0
label_interest_q5_candidate,,Old_EEG,True,0,,,,,,,,,,,0,0,0,0
label_interest_q5_candidate,,gpn_data,True,0,,,,,,,,,,,0,0,0,0
label_focus_q3_candidate,,all,True,0,,,,,,,,,,,0,0,0,0
label_focus_q3_candidate,,Old_EEG,True,0,,,,,,,,,,,0,0,0,0
label_focus_q3_candidate,,gpn_data,True,0,,,,,,,,,,,0,0,0,0
label_focus_q5_candidate,,all,True,0,,,,,,,,,,,0,0,0,0
label_focus_q5_candidate,,Old_EEG,True,0,,,,,,,,,,,0,0,0,0
label_focus_q5_candidate,,gpn_data,True,0,,,,,,,,,,,0,0,0,0
