reference,output_dir,expected_protocol_hash,actual_protocol_hash,feature_hash,cache_identity_hash,fixed_fold_hash,valid
xgboost,reports/diagnostics/pm_low_high_q3_extremes_confirmatory_v1,ac07a43b2554a2f178e9a63e28a1462cee253d613f122516e26ac0dcfe6c7431,ac07a43b2554a2f178e9a63e28a1462cee253d613f122516e26ac0dcfe6c7431,454ea5db886fce8c981dc28f8910ca07355956033b001550020a04fd4605832e,5062cac1e84a73c2e1c783f6b2c02f074e6177f2059515726e5b0433d166745f,2a176aad988fb814175c9edbf1e08266809f5c0a4ed4bf0dfd987ebf8c43c5dd,True
lightgbm,reports/diagnostics/pm_low_high_model_robustness_v1,a2c51deb4d94e33d71863f1f1c7927470266b7352647664f3a411fb5db819b4e,a2c51deb4d94e33d71863f1f1c7927470266b7352647664f3a411fb5db819b4e,454ea5db886fce8c981dc28f8910ca07355956033b001550020a04fd4605832e,5062cac1e84a73c2e1c783f6b2c02f074e6177f2059515726e5b0433d166745f,2a176aad988fb814175c9edbf1e08266809f5c0a4ed4bf0dfd987ebf8c43c5dd,True
