source,outer_fold,pm,subject_id,n_samples,n_low,n_high,balanced_accuracy,macro_f1,roc_auc,pr_auc,low_recall,high_recall,precision,accuracy
automl,1,attention,30c140ca,280,123,157,0.7850189011444255,0.7888637536214629,0.835223447775879,0.8141017953586209,0.6910569105691057,0.8789808917197452,0.8006993006993006,0.7964285714285714
automl,1,attention,3110e0c7,109,41,68,0.5514705882352942,0.38004662004662004,0.8220946915351507,0.8833831640321252,1.0,0.10294117647058823,0.7009803921568627,0.44036697247706424
automl,1,attention,40f0714a,69,24,45,0.7666666666666666,0.7717391304347826,0.8537037037037036,0.8998290169492962,0.6666666666666666,0.8666666666666667,0.7785299806576402,0.7971014492753623
automl,1,attention,7150e10a,555,217,338,0.6195838900553541,0.6187628796324448,0.7380361573909962,0.8319820089934624,0.3870967741935484,0.8520710059171598,0.6554755911653136,0.6702702702702703
automl,1,attention,71f0603f,633,309,324,0.7261326860841424,0.7262363973170871,0.7900035958288386,0.7940774514018154,0.7022653721682848,0.75,0.7267805268957228,0.7266982622432859
automl,1,attention,81f1f0fe,373,198,175,0.7059018759018758,0.7055169004419719,0.8283405483405484,0.8036140687264646,0.8232323232323232,0.5885714285714285,0.7199969164353993,0.7131367292225201
automl,1,attention,a1721173,171,88,83,0.7323384446878423,0.728485233407431,0.8796549835706461,0.8757234184274544,0.8863636363636364,0.5783132530120482,0.7589258468111078,0.7368421052631579
automl,1,attention,c060c06a,270,135,135,0.7185185185185186,0.6994551526158532,0.929766803840878,0.9420634853929307,0.4666666666666667,0.9703703703703703,0.7928093522535108,0.7185185185185186
automl,1,attention,c112918e,608,379,229,0.5616423361869318,0.4135730263292906,0.8173312901107257,0.7508269473995235,0.14511873350923482,0.9781659388646288,0.662712895377129,0.4588815789473684
automl,1,attention,d111e017,866,413,453,0.7538177017355376,0.7541683404300903,0.8488687202347546,0.8598194946379756,0.7239709443099274,0.7836644591611479,0.7550391260681122,0.7551963048498845
automl,1,attention,f1d06060,341,72,269,0.6152416356877324,0.39243938337593925,0.888217678645188,0.9667900068613501,1.0,0.23048327137546468,0.6290322580645161,0.39296187683284456
frozen_lightgbm,1,attention,30c140ca,280,123,157,0.7731603749158511,0.7758265411925294,0.8121278028066905,0.7773979607660095,0.6991869918699187,0.8471337579617835,0.7820855614973262,0.7821428571428571
frozen_lightgbm,1,attention,3110e0c7,109,41,68,0.5661764705882353,0.4076632587270885,0.8228120516499282,0.8808672870353205,1.0,0.1323529411764706,0.705,0.45871559633027525
frozen_lightgbm,1,attention,40f0714a,69,24,45,0.8625,0.8695652173913043,0.9425925925925926,0.9709774514855743,0.7916666666666666,0.9333333333333333,0.8786266924564796,0.8840579710144928
frozen_lightgbm,1,attention,7150e10a,555,217,338,0.7213072287513975,0.725925925925926,0.8307201483380142,0.8777380745043443,0.6082949308755761,0.834319526627219,0.7352600150733376,0.745945945945946
frozen_lightgbm,1,attention,71f0603f,633,309,324,0.7001678053457989,0.6999721632188347,0.7686683447201248,0.7641229276796833,0.6472491909385113,0.7530864197530864,0.7027519222986645,0.7014218009478673
frozen_lightgbm,1,attention,81f1f0fe,373,198,175,0.7316883116883117,0.7292196007259528,0.8590764790764791,0.8353160162970396,0.9090909090909091,0.5542857142857143,0.7705763397371082,0.7426273458445041
frozen_lightgbm,1,attention,a1721173,171,88,83,0.829750821467689,0.8300373581930973,0.9042990142387732,0.8906393454049091,0.8522727272727273,0.8072289156626506,0.8308379120879121,0.8304093567251462
frozen_lightgbm,1,attention,c060c06a,270,135,135,0.6925925925925926,0.663811338303905,0.9260356652949245,0.9339303582431945,0.4,0.9851851851851852,0.792890520694259,0.6925925925925925
frozen_lightgbm,1,attention,c112918e,608,379,229,0.5603230749732115,0.4112054090220798,0.8267447085527302,0.7562574010223113,0.1424802110817942,0.9781659388646288,0.6616344046185669,0.45723684210526316
frozen_lightgbm,1,attention,d111e017,866,413,453,0.8431174467766678,0.8441274446593595,0.9273340495699908,0.9288104082231313,0.7966101694915254,0.8896247240618101,0.847794639519323,0.8452655889145496
frozen_lightgbm,1,attention,f1d06060,341,72,269,0.6733529533250723,0.489702002508542,0.8654997934737712,0.9595123976169249,0.9861111111111112,0.36059479553903345,0.6409884941630973,0.49266862170087977
frozen_xgboost,1,attention,30c140ca,280,123,157,0.7763450882916473,0.7792262405382675,0.8122831546786805,0.8015598403394402,0.6991869918699187,0.8535031847133758,0.7863082783411127,0.7857142857142857
frozen_xgboost,1,attention,3110e0c7,109,41,68,0.5367647058823529,0.3512517713745867,0.8805595408895266,0.9359204956638643,1.0,0.07352941176470588,0.6971153846153846,0.42201834862385323
frozen_xgboost,1,attention,40f0714a,69,24,45,0.8180555555555555,0.8118181818181818,0.8888888888888888,0.9356960408713874,0.7916666666666666,0.8444444444444444,0.8072450805008944,0.8260869565217391
frozen_xgboost,1,attention,7150e10a,555,217,338,0.7554127014424781,0.7516394187255433,0.8617920540997464,0.9055503796152803,0.7327188940092166,0.7781065088757396,0.7494009106158639,0.7603603603603604
frozen_xgboost,1,attention,71f0603f,633,309,324,0.6931259738703104,0.6931852251604005,0.7827320308442207,0.7927337460296604,0.6763754045307443,0.7098765432098766,0.6933693369336934,0.693522906793049
frozen_xgboost,1,attention,81f1f0fe,373,198,175,0.625974025974026,0.6022657120637542,0.7778643578643578,0.7545461654752691,0.9090909090909091,0.34285714285714286,0.6897001303780965,0.6434316353887399
frozen_xgboost,1,attention,a1721173,171,88,83,0.7977135815991238,0.7946192649531588,0.8833515881708653,0.8739270832218774,0.7159090909090909,0.8795180722891566,0.8039558289069053,0.7953216374269005
frozen_xgboost,1,attention,c060c06a,270,135,135,0.7444444444444445,0.7342026793739567,0.8934979423868313,0.8992580629160083,0.5481481481481482,0.9407407407407408,0.7889854696419305,0.7444444444444445
frozen_xgboost,1,attention,c112918e,608,379,229,0.583660748234264,0.456729539871572,0.7995875148344873,0.6987325563154057,0.19788918205804748,0.9694323144104804,0.6683436891403135,0.48848684210526316
frozen_xgboost,1,attention,d111e017,866,413,453,0.8410890004222589,0.8413340341051185,0.9290284303192599,0.9383934018854609,0.8256658595641646,0.8565121412803532,0.8416898693510388,0.8418013856812933
frozen_xgboost,1,attention,f1d06060,341,72,269,0.7203118546055349,0.5629943877325556,0.877839735646427,0.9636867371297015,0.9722222222222222,0.4684014869888476,0.6565067488262911,0.5747800586510264
automl,1,engagement,30c140ca,253,149,104,0.7156685596282912,0.6672582357508439,0.8488642230252968,0.7824822772351981,0.4697986577181208,0.9615384615384616,0.7523025819115204,0.6719367588932806
automl,1,engagement,3110e0c7,261,94,167,0.645878455854249,0.6498501084850191,0.7229583386418652,0.8091592951715758,0.48936170212765956,0.8023952095808383,0.6592711086381973,0.6896551724137931
automl,1,engagement,40f0714a,97,55,42,0.7675324675324675,0.7735760971055089,0.9506493506493506,0.9372123705499503,0.9636363636363636,0.5714285714285714,0.8347778981581799,0.7938144329896907
automl,1,engagement,7150e10a,533,369,164,0.7242547425474255,0.7505557505557505,0.9081895697005751,0.8183542014039963,0.9728997289972899,0.47560975609756095,0.8465526046986721,0.8198874296435272
automl,1,engagement,71f0603f,757,367,390,0.8063927897715364,0.8066715645116149,0.8538671138126178,0.834992729256779,0.782016348773842,0.8307692307692308,0.8075056797464449,0.8071334214002642
automl,1,engagement,81f1f0fe,443,91,352,0.6591845654345654,0.648784355179704,0.7519667832167832,0.9209185324064963,0.4945054945054945,0.8238636363636364,0.6418279928793947,0.7562076749435666
automl,1,engagement,a1721173,159,35,124,0.6062211981566821,0.6246642246642247,0.845852534562212,0.948027098292777,0.22857142857142856,0.9838709677419355,0.8093959731543625,0.8176100628930818
automl,1,engagement,c060c06a,317,146,171,0.8005287190579188,0.8034474206349207,0.9377152927982056,0.9525527912887563,0.6712328767123288,0.9298245614035088,0.8295125164690382,0.8107255520504731
automl,1,engagement,c112918e,541,290,251,0.711910976782525,0.7110042735042735,0.8082428905069379,0.8042661749990135,0.8620689655172413,0.5617529880478087,0.7367249846531614,0.722735674676525
automl,1,engagement,d111e017,829,411,418,0.6774787832221563,0.6655595190429391,0.6891116311016426,0.6493427978093431,0.48175182481751827,0.8732057416267942,0.7101662553936503,0.6791314837153196
automl,1,engagement,f1d06060,366,249,117,0.7562043043970754,0.7757078073293295,0.897092644080596,0.7852758566650004,0.9397590361445783,0.5726495726495726,0.8205084163517691,0.8224043715846995
frozen_lightgbm,1,engagement,30c140ca,253,149,104,0.721186112545173,0.706735588972431,0.7929788332472896,0.7323096268552114,0.6442953020134228,0.7980769230769231,0.7154034690799397,0.7075098814229249
frozen_lightgbm,1,engagement,3110e0c7,261,94,167,0.6149509491654988,0.6174722107863319,0.7115556121798955,0.8167890099515979,0.4574468085106383,0.7724550898203593,0.6237654320987654,0.6590038314176245
frozen_lightgbm,1,engagement,40f0714a,97,55,42,0.7647186147186147,0.7703598484848485,0.9471861471861471,0.9353498232256724,0.9818181818181818,0.5476190476190477,0.8490296803652968,0.7938144329896907
frozen_lightgbm,1,engagement,7150e10a,533,369,164,0.7540650406504066,0.7840856481481482,0.9067849824839712,0.841893774027624,0.983739837398374,0.524390243902439,0.8789559301981662,0.8424015009380863
frozen_lightgbm,1,engagement,71f0603f,757,367,390,0.8203381541256201,0.8202302126114045,0.8789981136030182,0.8810715410938045,0.8201634877384196,0.8205128205128205,0.8201681493792159,0.8203434610303831
frozen_lightgbm,1,engagement,81f1f0fe,443,91,352,0.7124438061938062,0.6542282499422413,0.8010739260739262,0.9365861399856128,0.7032967032967034,0.7215909090909091,0.6494881595711963,0.7178329571106095
frozen_lightgbm,1,engagement,a1721173,159,35,124,0.6388248847926268,0.6695971867007673,0.8414746543778802,0.9372907221665976,0.2857142857142857,0.9919354838709677,0.870085995085995,0.8364779874213837
frozen_lightgbm,1,engagement,c060c06a,317,146,171,0.8153088199951934,0.8172799805842914,0.9283826003364576,0.946757339554187,0.7534246575342466,0.8771929824561403,0.8230731346958877,0.8201892744479495
frozen_lightgbm,1,engagement,c112918e,541,290,251,0.7148921555158676,0.7156569847856156,0.7912075834592665,0.7804218673596157,0.7724137931034483,0.6573705179282868,0.7184331797235023,0.7190388170055453
frozen_lightgbm,1,engagement,d111e017,829,411,418,0.7470401285230328,0.7324113272666327,0.787005669449004,0.7370836649626669,0.5036496350364964,0.9904306220095693,0.8254727833248976,0.7490952955367913
frozen_lightgbm,1,engagement,f1d06060,366,249,117,0.7240243023375553,0.7441056515828317,0.9050561219235917,0.782415108235427,0.9437751004016064,0.5042735042735043,0.8051334798260789,0.8032786885245902
frozen_xgboost,1,engagement,30c140ca,253,149,104,0.6686564274651523,0.6688963210702341,0.7725219411461022,0.7131632571428252,0.7315436241610739,0.6057692307692307,0.66915857605178,0.6798418972332015
frozen_xgboost,1,engagement,3110e0c7,261,94,167,0.653841253662887,0.654194269295235,0.7402216842909926,0.8228958565170983,0.5531914893617021,0.7544910179640718,0.6545698924731183,0.6819923371647509
frozen_xgboost,1,engagement,40f0714a,97,55,42,0.7380952380952381,0.739247311827957,0.9216450216450216,0.9063837257988362,1.0,0.47619047619047616,0.8571428571428572,0.7731958762886598
frozen_xgboost,1,engagement,7150e10a,533,369,164,0.7086720867208672,0.7342547166048423,0.8906404917707713,0.7985531066673842,0.978319783197832,0.43902439024390244,0.8484547461368653,0.8123827392120075
frozen_xgboost,1,engagement,71f0603f,757,367,390,0.8212988192552225,0.8214201462609105,0.8811150702158876,0.879982968530278,0.8092643051771117,0.8333333333333334,0.8216133995384293,0.821664464993395
frozen_xgboost,1,engagement,81f1f0fe,443,91,352,0.7256025224775224,0.680601436736406,0.8208978521478522,0.9436359039219423,0.6813186813186813,0.7698863636363636,0.6684498834498834,0.7516930022573364
frozen_xgboost,1,engagement,a1721173,159,35,124,0.6633640552995392,0.6984295576966846,0.8317972350230415,0.937525874065007,0.34285714285714286,0.9838709677419355,0.8492610837438423,0.8427672955974843
frozen_xgboost,1,engagement,c060c06a,317,146,171,0.8113834815348875,0.8136050283860503,0.9236962268685412,0.9416660820113509,0.7397260273972602,0.8830409356725146,0.8213458994708995,0.8170347003154574
frozen_xgboost,1,engagement,c112918e,541,290,251,0.7103723038878966,0.7111725878470201,0.7877455694463527,0.757845347260697,0.7793103448275862,0.6414342629482072,0.7153727144866385,0.7153419593345656
frozen_xgboost,1,engagement,d111e017,829,411,418,0.7567113703302717,0.7430317909041313,0.806054203192121,0.7274024281980319,0.5158150851581509,0.9976076555023924,0.8361266081336505,0.758745476477684
frozen_xgboost,1,engagement,f1d06060,366,249,117,0.7194933580475749,0.7405175469691598,0.9005938283046717,0.7835169370464007,0.9518072289156626,0.48717948717948717,0.8120333772507686,0.8032786885245902
automl,1,excitement,30c140ca,266,166,100,0.8415060240963856,0.8168989846842196,0.9248795180722892,0.9091001640381133,0.7530120481927711,0.93,0.8204997738579829,0.8195488721804511
automl,1,excitement,3110e0c7,310,93,217,0.8556067588325653,0.8071453963739779,0.9263168326643874,0.9605301627892491,0.946236559139785,0.7649769585253456,0.8019268795489923,0.8193548387096774
automl,1,excitement,40f0714a,126,118,8,0.8781779661016949,0.7077470233493119,0.9565677966101696,0.862794452887538,0.8813559322033898,0.875,0.6619047619047619,0.8809523809523809
automl,1,excitement,7150e10a,545,443,102,0.8367525339706989,0.8653761575120044,0.9421059620236356,0.8764296349922814,0.9774266365688488,0.696078431372549,0.9048664325244785,0.9247706422018349
automl,1,excitement,71f0603f,716,299,417,0.7689460471756374,0.7783792683328394,0.9532253795625708,0.9677280381358747,0.5618729096989966,0.9760191846522782,0.8501629004636397,0.803072625698324
automl,1,excitement,81f1f0fe,381,149,232,0.8142646378153205,0.8261226725082147,0.9546401295996297,0.9752941912673301,0.6845637583892618,0.9439655172413793,0.8551323962079111,0.84251968503937
automl,1,excitement,a1721173,187,76,111,0.9172000948316738,0.9075684005466229,0.978307254623044,0.9861040433828921,0.9605263157894737,0.8738738738738738,0.9045402298850574,0.9090909090909091
automl,1,excitement,c060c06a,277,233,44,0.8154506437768241,0.6397156684815487,0.9735661334373781,0.8295981973752744,0.630901287553648,1.0,0.6692307692307693,0.6895306859205776
automl,1,excitement,c112918e,566,369,197,0.8172657614901022,0.7728035601968475,0.9551951357077022,0.9430230871796351,0.6802168021680217,0.9543147208121827,0.7898818501759679,0.7756183745583038
automl,1,excitement,d111e017,896,411,485,0.9038126771515289,0.9025072320393412,0.9609752426819174,0.9656995029642107,0.9148418491484185,0.8927835051546392,0.9018591740554358,0.9029017857142857
automl,1,excitement,f1d06060,440,160,280,0.8008928571428571,0.819078947368421,0.9544866071428572,0.9756090778149609,0.6375,0.9642857142857143,0.8669425087108014,0.8454545454545455
frozen_lightgbm,1,excitement,30c140ca,266,166,100,0.8224698795180723,0.7980084533276023,0.9089759036144578,0.8949788368264251,0.7349397590361446,0.91,0.8026858919988691,0.8007518796992481
frozen_lightgbm,1,excitement,3110e0c7,310,93,217,0.8110599078341014,0.771079484425349,0.8897973341261582,0.946865959617063,0.8709677419354839,0.7511520737327189,0.7657142857142857,0.7870967741935484
frozen_lightgbm,1,excitement,40f0714a,126,118,8,0.902542372881356,0.6511375947995666,0.9703389830508474,0.7966925883256528,0.8050847457627118,1.0,0.6290322580645161,0.8174603174603174
frozen_lightgbm,1,excitement,7150e10a,545,443,102,0.8454277873677688,0.8703492244742601,0.9433231531890409,0.8797759447172756,0.9751693002257337,0.7156862745098039,0.9030704472678442,0.926605504587156
frozen_lightgbm,1,excitement,71f0603f,716,299,417,0.7436097944386966,0.750558631325515,0.9590962681359929,0.9720472615488389,0.5183946488294314,0.9688249400479616,0.8299226624956553,0.7807262569832403
frozen_lightgbm,1,excitement,81f1f0fe,381,149,232,0.8264869243230734,0.8382852292020373,0.9565783383476048,0.9762512542346442,0.7046979865771812,0.9482758620689655,0.8653846153846154,0.8530183727034121
frozen_lightgbm,1,excitement,a1721173,187,76,111,0.9262091038406828,0.9182048814626892,0.9743954480796586,0.9842083402142803,0.9605263157894737,0.8918918918918919,0.9147058823529411,0.9197860962566845
frozen_lightgbm,1,excitement,c060c06a,277,233,44,0.8154506437768241,0.6397156684815487,0.960983222785798,0.8017482364443784,0.630901287553648,1.0,0.6692307692307693,0.6895306859205776
frozen_lightgbm,1,excitement,c112918e,566,369,197,0.8601309617157085,0.8330302293540806,0.949376143507628,0.9318327333789606,0.7913279132791328,0.9289340101522843,0.8290472599296129,0.8392226148409894
frozen_lightgbm,1,excitement,d111e017,896,411,485,0.9357714400381267,0.9368912501006199,0.9787844583239271,0.9794082511288911,0.9148418491484185,0.9567010309278351,0.9384814969990358,0.9375
frozen_lightgbm,1,excitement,f1d06060,440,160,280,0.84375,0.8564905414220483,0.9521651785714286,0.9736254525932341,0.7375,0.95,0.8787878787878788,0.8727272727272727
frozen_xgboost,1,excitement,30c140ca,266,166,100,0.8043975903614458,0.7762187905491152,0.8992168674698796,0.8766454651634668,0.6987951807228916,0.91,0.786695035460993,0.7781954887218046
frozen_xgboost,1,excitement,3110e0c7,310,93,217,0.815668202764977,0.7771888055343426,0.8972796194440316,0.956176995343437,0.8709677419354839,0.7603686635944701,0.770612973110743,0.7935483870967742
frozen_xgboost,1,excitement,40f0714a,126,118,8,0.8315677966101696,0.6136792452830189,0.9671610169491526,0.852328431372549,0.788135593220339,0.875,0.6040558510638299,0.7936507936507936
frozen_xgboost,1,excitement,7150e10a,545,443,102,0.8307219050148276,0.8588091408052729,0.9438321604036649,0.8674860874632392,0.9751693002257337,0.6862745098039216,0.8976160068114091,0.9211009174311927
frozen_xgboost,1,excitement,71f0603f,716,299,417,0.7536432392547501,0.7616527081813111,0.9527762405460247,0.9703043479986291,0.5384615384615384,0.9688249400479616,0.835337405098189,0.7891061452513967
frozen_xgboost,1,excitement,81f1f0fe,381,149,232,0.787173108076834,0.8009761346005411,0.9468872946077297,0.9696141354556513,0.6174496644295302,0.9568965517241379,0.8488298545224542,0.8241469816272966
frozen_xgboost,1,excitement,a1721173,187,76,111,0.9348624940730204,0.9239837398373985,0.9783072546230441,0.9872611617386253,0.9868421052631579,0.8828828828828829,0.9210858585858586,0.9251336898395722
frozen_xgboost,1,excitement,c060c06a,277,233,44,0.8004291845493563,0.6184290432953653,0.9644947327350761,0.8792255649960293,0.6008583690987125,1.0,0.6605839416058394,0.6642599277978339
frozen_xgboost,1,excitement,c112918e,566,369,197,0.8040595380573095,0.7588639053254438,0.9400492482082181,0.9210626367910287,0.6639566395663956,0.9441624365482234,0.778515625,0.7614840989399293
frozen_xgboost,1,excitement,d111e017,896,411,485,0.9430707101111195,0.9437250970993303,0.9792058594827803,0.9800868054126377,0.9294403892944039,0.9567010309278351,0.9445336447233981,0.9441964285714286
frozen_xgboost,1,excitement,f1d06060,440,160,280,0.8473214285714286,0.8611338398597311,0.9514285714285713,0.9727719762218455,0.7375,0.9571428571428572,0.8861042183622829,0.8772727272727273
automl,1,stress,30c140ca,305,135,170,0.7697167755991285,0.7447310355322225,0.8919825708061002,0.9240795743040854,0.9629629629629629,0.5764705882352941,0.7975103335576277,0.7475409836065574
automl,1,stress,3110e0c7,219,138,81,0.37493290391841116,0.30284380305602715,0.537842190016103,0.5562499518601711,0.14492753623188406,0.6049382716049383,0.3390142791340396,0.3150684931506849
automl,1,stress,40f0714a,143,101,42,0.6964875058934464,0.7173720438901383,0.8948609146628949,0.7806190357034952,0.9405940594059405,0.4523809523809524,0.7825423728813559,0.7972027972027972
automl,1,stress,7150e10a,562,352,210,0.6833739177489178,0.6897630389891845,0.899986471861472,0.8540876772650101,0.9857954545454546,0.38095238095238093,0.8343198914786041,0.7597864768683275
automl,1,stress,71f0603f,645,264,381,0.8272936053447864,0.8259454106579192,0.8977173307881969,0.9208371830111063,0.8068181818181818,0.847769028871391,0.8248071117074807,0.8310077519379845
automl,1,stress,81f1f0fe,535,156,379,0.6880708341790136,0.5960931382360481,0.7347777552263041,0.8850373417780688,0.9038461538461539,0.47229551451187335,0.6680850742207577,0.5981308411214953
automl,1,stress,a1721173,251,194,57,0.7136462289744981,0.7426453190314694,0.8903056610598662,0.706090681500104,0.9536082474226805,0.47368421052631576,0.8052325581395349,0.8446215139442231
automl,1,stress,c060c06a,361,218,143,0.682283313017258,0.6064928909952607,0.9092833771732854,0.8699199077723712,0.37155963302752293,0.993006993006993,0.7483827257627416,0.6177285318559557
automl,1,stress,c112918e,347,194,153,0.5778249444107539,0.47116022925958134,0.8056060912337444,0.7431945951194318,0.17525773195876287,0.9803921568627451,0.7013949433304272,0.5302593659942363
automl,1,stress,d111e017,1048,565,483,0.847340552227047,0.8501450341136577,0.9301965957602741,0.9231017817415614,0.9203539823008849,0.7743271221532091,0.8596552469920433,0.8530534351145038
automl,1,stress,f1d06060,489,274,215,0.6071634696995417,0.5119194076274924,0.8978950942115091,0.888335565492908,0.21897810218978103,0.9953488372093023,0.7418032786885246,0.5603271983640081
