source,subject_id,balanced_accuracy,macro_f1,roc_auc,pr_auc
automl,0001508a,0.7092417543540961,0.6668308621767997,0.8664495472302367,0.8368001573967726
automl,0012905a,0.7527616446949656,0.7522854781115228,0.8732953867810673,0.854669310276094
automl,0110f12e,0.8217897924845176,0.821913428069589,0.8942170365736846,0.9102362809435013
automl,0182e16c,0.6674981530295391,0.6063760364716023,0.8729033717670607,0.8250318081732146
automl,01c2a0d8,0.7685891911936685,0.745609843754454,0.885888243022943,0.8650507947364785
automl,1081b177,0.7823488111162551,0.7657447558821718,0.9142131694931547,0.923926864081765
automl,20201194,0.7210200387211092,0.7068117570157098,0.8696509039673448,0.8377272029343421
automl,2162c09e,0.7778328628620518,0.7700225109628753,0.924814916196359,0.9308316689170039
automl,2182c1cd,0.7499724282489051,0.7335955058833675,0.8966831123147907,0.8923040149179435
automl,219060fa,0.7735562776263217,0.7628451563822851,0.9063555001781863,0.9227216070685511
automl,21a031f6,0.7691294717702852,0.7424803141309002,0.8767402335847779,0.8411045487091694
automl,30908049,0.7137413913097149,0.668333245257177,0.8709628455789097,0.8954894436044102
automl,30c140ca,0.7236211203931988,0.7067352181067887,0.8188657105719325,0.7703770834480459
automl,3110e0c7,0.6213287129951078,0.5747432607243356,0.7377275409221975,0.7849703053619667
automl,40009139,0.8056456931487512,0.7980107825927829,0.9257649318884319,0.9164038604394452
automl,40f0714a,0.7522699142261008,0.6773613497813681,0.9386615178971676,0.8435156785359034
automl,41e2010c,0.7481073820958223,0.7192563753635692,0.9114726062151545,0.9326681937285787
automl,5001d09a,0.8041389641235644,0.7865613462028602,0.9236232114292584,0.9443086350928269
automl,50c02189,0.6447872713176279,0.5622575307304006,0.8405350249640476,0.8438398198764216
automl,517001af,0.795521833220237,0.7950918960383762,0.9216423884518029,0.9175602005485176
automl,6030f0fd,0.7699627404666273,0.7437579499900515,0.8902394584659247,0.8776265373333011
automl,7072a0e0,0.740315526623308,0.6785468012726152,0.8557611602477379,0.9008604897217546
automl,7092f07b,0.7009835915811918,0.6691007493690381,0.8808282433081807,0.8595962403214269
automl,7150e10a,0.6767929878338332,0.6447723799552225,0.8279062068959494,0.8081412562170948
automl,71a251fa,0.8398130534488184,0.8241055214327686,0.9261112564779158,0.8679720161342894
automl,71c09041,0.7590660337377384,0.70365768586134,0.8384267498056388,0.8614380335085905
automl,71e10186,0.9508827867089893,0.9529108093676939,0.9902037706800239,0.9926838830526256
automl,71f0603f,0.7899387578501252,0.7924653476181093,0.8809272529556704,0.8895111094228404
automl,71f21142,0.7659136592622604,0.7465354445736058,0.8846734664910821,0.8622764243253788
automl,8030618f,0.7618502358970859,0.6987518607645179,0.8971705221356877,0.8928407389761469
automl,8191f1d9,0.6747519857443033,0.5684930685517288,0.8497250620124303,0.7084583034147843
automl,81e150c1,0.7567061973055693,0.704076282174738,0.858593313059236,0.8412738222803811
automl,81f1f0fe,0.7210068772559813,0.6842586687145934,0.8253366104867494,0.8997730403271179
automl,9192c107,0.9,0.4666666666666666,,
automl,a02151ac,0.721503629907286,0.6964184137773898,0.8118289257912464,0.7877174065820521
automl,a1721173,0.7561187052186772,0.7622148131041543,0.87584351619752,0.8594154079571755
automl,a1b210fc,0.7895549631739857,0.7775558815311443,0.8908889828323702,0.8730636597528578
automl,b0700166,0.6671998947787727,0.592723855942283,0.8584778843590951,0.8924860663273566
automl,b112005d,0.7159144616096839,0.7046352542176884,0.8289524226201103,0.8014825063151669
automl,b1c2f044,0.8146133421382968,0.7947632690606117,0.9370364085685334,0.8756926543255806
automl,c060c06a,0.7170389213549718,0.6604756467218306,0.8964777262630852,0.8183938642431136
automl,c112918e,0.6413798691019886,0.5575314691932672,0.8613626636114647,0.8243284397008809
automl,c1a150b1,0.7119767664501714,0.6716010797201172,0.834298402956048,0.7990462903787726
automl,d0724095,0.7546583517321418,0.7290772663007515,0.8971364104210251,0.8611277146244266
automl,d0e2d025,0.762171402035794,0.7451695581562985,0.9179294761634255,0.9347713241437532
automl,d111e017,0.8204748078407661,0.818832237633657,0.8847251186387994,0.8786209488005383
automl,d142d110,0.7933915055729689,0.7766103554033581,0.877274276024318,0.826184221664043
automl,d151b0c4,0.775515556451316,0.7649838684465539,0.8776320010937722,0.8576654745129779
automl,d18000a3,0.8370040709195788,0.8256018793650163,0.9346826748660005,0.9513573535038946
automl,e0c0408a,0.7145540568786911,0.6435707207339585,0.9111418409023739,0.8844757776525728
automl,f0f2a1e1,0.8105852600893267,0.7781221987407261,0.907805617193047,0.9311853315313137
automl,f121f1e0,0.705318618900395,0.6677244374594666,0.8671457331910098,0.9013827151140944
automl,f1a0c120,0.7341951120731858,0.7390428884209603,0.8733268106363499,0.8916893470132498
automl,f1d06060,0.7071925072083663,0.6440602324451099,0.9020862476160295,0.8968877650625159
frozen_lightgbm,0001508a,0.7366326643853125,0.7053201343497897,0.8882691478775053,0.8599685085273302
frozen_lightgbm,0012905a,0.751288696762796,0.7504626260860692,0.8721122140860909,0.8589353330769632
frozen_lightgbm,0110f12e,0.8182246656849194,0.8189335463897363,0.8924023165793968,0.9094673328858482
frozen_lightgbm,0182e16c,0.690665517941792,0.624602126626461,0.8880606386870512,0.8264806921739197
frozen_lightgbm,01c2a0d8,0.767930276061258,0.7448908373971237,0.882594052241758,0.8595734658816853
frozen_lightgbm,1081b177,0.7820066065004434,0.7655651761553511,0.9086195936440332,0.9200051501273544
frozen_lightgbm,20201194,0.7184114958977694,0.7070692707180236,0.8604734589801629,0.8287286311467303
frozen_lightgbm,2162c09e,0.7691208396652536,0.7608268937501548,0.914660740213214,0.9244446990809477
frozen_lightgbm,2182c1cd,0.7545368403028857,0.737163690247186,0.8876582648051425,0.8793139783023431
frozen_lightgbm,219060fa,0.778085190388207,0.7698137079942661,0.9106330716326986,0.9236177276144394
frozen_lightgbm,21a031f6,0.7679952452224393,0.7412978207150714,0.8711400977660564,0.8308830962801771
frozen_lightgbm,30908049,0.7189458055483255,0.6714229143385093,0.8627336267481479,0.8902217756867581
frozen_lightgbm,30c140ca,0.7006752354929128,0.6816405215652066,0.7804281692692251,0.7367874889583824
frozen_lightgbm,3110e0c7,0.6131011129603412,0.563545341956914,0.724302801860687,0.7769048548342466
frozen_lightgbm,40009139,0.8059113825631286,0.7978876576493314,0.9220498456532719,0.9142206132736862
frozen_lightgbm,40f0714a,0.7861468046351819,0.7024600043571763,0.9564337277247171,0.8599497733398488
frozen_lightgbm,41e2010c,0.7374284356227477,0.7057550638576255,0.9105126819246021,0.9344637861276611
frozen_lightgbm,5001d09a,0.8138326857355634,0.7956634176300215,0.9238714327587186,0.9452929134241238
frozen_lightgbm,50c02189,0.6354832391926665,0.5498686376602582,0.8105162480449513,0.829292894918048
frozen_lightgbm,517001af,0.7856519118828222,0.7785503902165791,0.9175419516745988,0.8973903061777344
frozen_lightgbm,6030f0fd,0.758858919812342,0.7351096929452796,0.8839192330273733,0.871331547001991
frozen_lightgbm,7072a0e0,0.7387513591426682,0.6781808764701729,0.85367775109265,0.8999142980835594
frozen_lightgbm,7092f07b,0.6952292558827091,0.6650258832925285,0.8697495731634268,0.8562220185061568
frozen_lightgbm,7150e10a,0.697631453412184,0.6601978355203989,0.8470331722997049,0.8219688295498889
frozen_lightgbm,71a251fa,0.8347786972124498,0.8157967756111549,0.927555595921277,0.8734198062985509
frozen_lightgbm,71c09041,0.7521754373778873,0.6937587971254645,0.8203607717429193,0.8555497703441021
frozen_lightgbm,71e10186,0.9410255236548809,0.9429226227386857,0.9844707901576141,0.988169363052792
frozen_lightgbm,71f0603f,0.7835799659375484,0.7847854695689247,0.880964334358865,0.8919902872576407
frozen_lightgbm,71f21142,0.7666671228713853,0.7475552407630742,0.8777408776304891,0.8633856031910234
frozen_lightgbm,8030618f,0.7707082271762008,0.7065780523050949,0.8884597236619894,0.8857035971929206
