source,balanced_accuracy,macro_f1,roc_auc,pr_auc
automl,0.7529860915941489,0.7146607632652957,0.8815551587169125,0.8697917668496797
frozen_lightgbm,0.7536625019623153,0.7146966055874012,0.8788220008746772,0.8676899518063723
frozen_xgboost,0.7504040574836892,0.7134127837079872,0.8728378681102518,0.8618580088457379
