reference,metric,observed_delta,ci95_low,ci95_high,bootstrap_unit,bootstrap_replicates,bootstrap_seed
frozen_lightgbm,balanced_accuracy,-0.0006764103681665279,-0.004601265460878943,0.0029447903388245874,subject_id,10000,42
frozen_lightgbm,macro_f1,-3.584232210558492e-05,-0.0043309530601030495,0.0038495722018583173,subject_id,10000,42
frozen_lightgbm,roc_auc,0.002733157842235253,-0.0010399430326902188,0.006184185511038815,subject_id,10000,42
frozen_lightgbm,pr_auc,0.002101815043307418,-0.0015431699441035682,0.005336478363302054,subject_id,10000,42
frozen_xgboost,balanced_accuracy,0.002582034110459599,-0.0022954153358267265,0.008129372702954126,subject_id,10000,42
frozen_xgboost,macro_f1,0.0012479795573085593,-0.0028632363197517987,0.005161011924554451,subject_id,10000,42
frozen_xgboost,roc_auc,0.008717290606660703,0.003946037473830337,0.013030246528686864,subject_id,10000,42
frozen_xgboost,pr_auc,0.00793375800394166,0.003563112921418771,0.011879343600771133,subject_id,10000,42
