subject_id,pm,fold,full_subject_pm_timeline_hash,fixed_evaluation_extreme_sample_hash
01c2a0d8,attention,4,5adda108ab2ef7a13b4b81f7b2004a26d99ce7a1ca61645e1ae573aef3b97fb1,915fabcf7ea3a32eb3bc1a893313e0368d53bb2acc8be245d3f1c746a5ec61f6
01c2a0d8,engagement,4,5adda108ab2ef7a13b4b81f7b2004a26d99ce7a1ca61645e1ae573aef3b97fb1,04feddf85873df156461365c7b24783d440783b8262445b2e3b4a50e2e8edc35
01c2a0d8,excitement,4,5adda108ab2ef7a13b4b81f7b2004a26d99ce7a1ca61645e1ae573aef3b97fb1,fb104886812213bf41e4c0a74e7a85ab8bc5b5dc9c8d6bb6776e7f008ace00e3
01c2a0d8,stress,4,5adda108ab2ef7a13b4b81f7b2004a26d99ce7a1ca61645e1ae573aef3b97fb1,d1e1f16d82ccef7e26a0570b06b63883002ae301177771498f622df2a1e8724f
01c2a0d8,relaxation,4,5adda108ab2ef7a13b4b81f7b2004a26d99ce7a1ca61645e1ae573aef3b97fb1,e792fb1a93c9af4867c99afe2408c5a97f135ccb1b561ce105ea2a0ae837224e
01c2a0d8,interest,4,5adda108ab2ef7a13b4b81f7b2004a26d99ce7a1ca61645e1ae573aef3b97fb1,b100a4b2c0448148757f93513145c046cfa767232246d084be85ec87e133651f
01c2a0d8,focus,4,5adda108ab2ef7a13b4b81f7b2004a26d99ce7a1ca61645e1ae573aef3b97fb1,0a74748421a50013eb146e52bd455395f1dfac387980529bb0b469c53e991720
1081b177,attention,2,1bf91adf5e9c65d98ca4edc71b6f051409b93279ea000ae2322d24c69cbb6e05,9d3d1193eb7213c34e9c406a55c48794d69c08dee344d5c63aa74e0c4c43b2ce
1081b177,engagement,2,1bf91adf5e9c65d98ca4edc71b6f051409b93279ea000ae2322d24c69cbb6e05,43b6f063cded421db5a840b8c5621a48ec81c60046ea713d42448b95f8231376
1081b177,excitement,2,1bf91adf5e9c65d98ca4edc71b6f051409b93279ea000ae2322d24c69cbb6e05,d7e1eccb74ec6f423d769c90c007aa4fbf951ba8c2164067529c5f5146212ef0
1081b177,stress,2,1bf91adf5e9c65d98ca4edc71b6f051409b93279ea000ae2322d24c69cbb6e05,360cd2c1c10ee9958705de0785fea2a2b488de098c5314fb2f20502d512f9ec4
1081b177,relaxation,2,1bf91adf5e9c65d98ca4edc71b6f051409b93279ea000ae2322d24c69cbb6e05,3e531d47c4c3f7f11cc6cfdd5129f026c010d0c1ba478d5cfcc6236489eecbb1
1081b177,interest,2,1bf91adf5e9c65d98ca4edc71b6f051409b93279ea000ae2322d24c69cbb6e05,d5fc7cf96632bdea51d558c8af08942b7d160022e55614f5152ecb96977fb3b9
1081b177,focus,2,1bf91adf5e9c65d98ca4edc71b6f051409b93279ea000ae2322d24c69cbb6e05,870a869384993533116bc8052baec7e1241829f3617031f0a84da36044321417
20201194,attention,3,7d5395e583f9c6c5d8cd2a5499286e578a2b8ed40a7819fc55818286235f4bfd,f3b4d9d11fc84fd7cbb9a77a471b6b8d76423c4698819e6ca525e25dacec30b5
20201194,engagement,3,7d5395e583f9c6c5d8cd2a5499286e578a2b8ed40a7819fc55818286235f4bfd,19db3ea09690a53dee74598ea38fdb595e48d2d6d3217a45a7d29a1b5dc41698
20201194,excitement,3,7d5395e583f9c6c5d8cd2a5499286e578a2b8ed40a7819fc55818286235f4bfd,44b4caa9c5477ba61cc931eed38f8fe4358960e6cb808777238831ab0b007536
20201194,stress,3,7d5395e583f9c6c5d8cd2a5499286e578a2b8ed40a7819fc55818286235f4bfd,1df0a38eb74237d88d1a42d0aecf72a5b99584f262a60814abf8e29e8d7217ac
20201194,relaxation,3,7d5395e583f9c6c5d8cd2a5499286e578a2b8ed40a7819fc55818286235f4bfd,8139a39d7cf3c974049499c47fe7c3f39395718538ee1acb2929ce27b90c213e
20201194,interest,3,7d5395e583f9c6c5d8cd2a5499286e578a2b8ed40a7819fc55818286235f4bfd,48ed01091d052b50b719c230effe0d892f486a39c1b7c67a3fd58a0b5daf5dc3
20201194,focus,3,7d5395e583f9c6c5d8cd2a5499286e578a2b8ed40a7819fc55818286235f4bfd,a03c56ea00950989068c68bc9c165250e3084ccc30c76c9315bdf724ccd0ced7
2162c09e,attention,3,bfbb98d00f8ca427b37ff707e123e537b943381b762983f18f2b1fabb6903cbc,a44e36f8da0ee8033ea5d5e3b14f6cbf833afeb237a6e3e4593b7f4af1877ac8
2162c09e,engagement,3,bfbb98d00f8ca427b37ff707e123e537b943381b762983f18f2b1fabb6903cbc,66d5f0236090146b2929e359d1ea59895a8886f66d7a97133979d317ae169909
2162c09e,excitement,3,bfbb98d00f8ca427b37ff707e123e537b943381b762983f18f2b1fabb6903cbc,0f7176697dd5bb1b1a235bd52f303417b864ec05d70bdfbe61a351231ee3f979
2162c09e,stress,3,bfbb98d00f8ca427b37ff707e123e537b943381b762983f18f2b1fabb6903cbc,0247c41d4396dd1f1692b1a4d3de5c329c401e3d59463c9710ae1b2a2713f2ae
2162c09e,relaxation,3,bfbb98d00f8ca427b37ff707e123e537b943381b762983f18f2b1fabb6903cbc,9f1e6bffc84055a786679bd835e31fd810f46179607f05cff449db7437e8cc32
2162c09e,interest,3,bfbb98d00f8ca427b37ff707e123e537b943381b762983f18f2b1fabb6903cbc,79b9c08e1503c9fef78b5f415ddc44a2dea5e6a7652b66eb447d408906e15c71
2162c09e,focus,3,bfbb98d00f8ca427b37ff707e123e537b943381b762983f18f2b1fabb6903cbc,0f47b99bc619f45a81d591907aaa5fffdbd4c6540dc8b3d96c59a6f59eb9f8a3
2182c1cd,attention,5,0a281800322181b9daa445acd6a622cef62b065a9e3a69f4fe5f00553c67f3e0,8c23938690bc84a47739148c798a0a54d1efc4aee57472ef46687c408d0e655f
2182c1cd,engagement,5,0a281800322181b9daa445acd6a622cef62b065a9e3a69f4fe5f00553c67f3e0,04ba26f01323f2ad5e66c5e4e1b0109470cd753f1dfcd8a371fc883c7a812f88
2182c1cd,excitement,5,0a281800322181b9daa445acd6a622cef62b065a9e3a69f4fe5f00553c67f3e0,8ab91124c27d72f5a3ddd62be8c5e60eba6150dc4332fe3fa58af0e26ccb18c2
2182c1cd,stress,5,0a281800322181b9daa445acd6a622cef62b065a9e3a69f4fe5f00553c67f3e0,e65d1619c92ae1ad0ced7ecd628ab9d1242432c43545967ef5bdd90ec59f11a6
2182c1cd,relaxation,5,0a281800322181b9daa445acd6a622cef62b065a9e3a69f4fe5f00553c67f3e0,9aedc6bb33c004534057552f3dff870792d328c9f3ea018aaf31caa0d787e96d
2182c1cd,interest,5,0a281800322181b9daa445acd6a622cef62b065a9e3a69f4fe5f00553c67f3e0,42e8278207bd5ffc2956f60f58e9debef00da76d84021e9977b280da9d14e355
2182c1cd,focus,5,0a281800322181b9daa445acd6a622cef62b065a9e3a69f4fe5f00553c67f3e0,a4e8e6a9963c991542cc803018beee524562929deb431eaa0ed55e2c43c24987
219060fa,attention,5,9a04f91e213befb2e99cd819b6e0e350e19ab24ec600b4a7d2c1425651b44719,3a84fc5f9c9f185d17541aaf599f2087124cad04011a938ed8c09b4c5f608711
219060fa,engagement,5,9a04f91e213befb2e99cd819b6e0e350e19ab24ec600b4a7d2c1425651b44719,f92d5284b6b6a330fb66b943e904b57556e92bcf66b6676b3376998103fe5b23
219060fa,excitement,5,9a04f91e213befb2e99cd819b6e0e350e19ab24ec600b4a7d2c1425651b44719,df387f07051c4ca65d30864fc3506a3b50cbeda46fa91267f9b09b40fc07b275
219060fa,stress,5,9a04f91e213befb2e99cd819b6e0e350e19ab24ec600b4a7d2c1425651b44719,345686dfdb61eaeb3a0fd529cc86560b485dbbb5b73a261e62d9643800ea64eb
219060fa,relaxation,5,9a04f91e213befb2e99cd819b6e0e350e19ab24ec600b4a7d2c1425651b44719,5c1753837fa8e4872f093e185e5838f06a0194d17768628773338e1c73d169ef
219060fa,interest,5,9a04f91e213befb2e99cd819b6e0e350e19ab24ec600b4a7d2c1425651b44719,11df18e25ff489eb607f0112a65581a30ca35185ca18a636291af458de416607
219060fa,focus,5,9a04f91e213befb2e99cd819b6e0e350e19ab24ec600b4a7d2c1425651b44719,73403d7da16be114f11872eb52e8bc08a6f039b535beadd6b7c7a45879034f0d
21a031f6,attention,3,1d4166b8b2a97de774ee90a9ada38dad0a53fef4a8d54e7e8810e393b7ed928a,ada2033d17a33f005790ddaf79e9772b5c1a1f69b04078d9cdc61af52ad32eb7
21a031f6,engagement,3,1d4166b8b2a97de774ee90a9ada38dad0a53fef4a8d54e7e8810e393b7ed928a,6e94a54bbd626783b270d1824cebf2cbf732f3cfffdee09f55c5b3865607e859
21a031f6,excitement,3,1d4166b8b2a97de774ee90a9ada38dad0a53fef4a8d54e7e8810e393b7ed928a,807474663cdfaaa77823d9facffdea316357f4f718926d956955406fbd2252fd
